data_id,r,duration,method,dataset
0,0.7135892005840213,,PCA,logmap
1,0.7290740595162812,,PCA,logmap
2,0.7191153145315348,,PCA,logmap
3,0.7095280178644433,,PCA,logmap
4,0.5971735647785537,,PCA,logmap
5,0.7156333593230327,,PCA,logmap
6,0.6243951188706084,,PCA,logmap
7,0.7637966287596473,,PCA,logmap
8,0.6427578185314688,,PCA,logmap
9,0.7669128102759282,,PCA,logmap
10,0.6619787974536716,,PCA,logmap
11,0.612403245039127,,PCA,logmap
12,0.6695025020345448,,PCA,logmap
13,0.6088485326602908,,PCA,logmap
14,0.7304500233561286,,PCA,logmap
15,0.5120500865089146,,PCA,logmap
16,0.9197346604599868,,PCA,logmap
17,0.7649696538561732,,PCA,logmap
18,0.6928735169234488,,PCA,logmap
19,0.7645715507826001,,PCA,logmap
20,0.7028142136388307,,PCA,logmap
21,0.7801310617038603,,PCA,logmap
22,0.8859944976288061,,PCA,logmap
23,0.7244354134372072,,PCA,logmap
24,0.5743420388240625,,PCA,logmap
25,0.6373607628513888,,PCA,logmap
26,0.749041441631517,,PCA,logmap
27,0.7316841129190675,,PCA,logmap
28,0.6689914242621252,,PCA,logmap
29,0.4436108185316775,,PCA,logmap
30,0.6812144163843313,,PCA,logmap
31,0.7153234965841824,,PCA,logmap
32,0.5156525034390748,,PCA,logmap
33,0.8936082065362223,,PCA,logmap
34,0.7885249622093832,,PCA,logmap
35,0.7351792910481084,,PCA,logmap
36,0.6738876053446895,,PCA,logmap
37,0.5030922749357122,,PCA,logmap
38,0.7186595220245202,,PCA,logmap
39,0.7065633340968308,,PCA,logmap
40,0.7276985012625012,,PCA,logmap
41,0.5573276405501081,,PCA,logmap
42,0.7274505064885259,,PCA,logmap
43,0.7800960381261473,,PCA,logmap
44,0.5530371011758858,,PCA,logmap
45,0.5415770063807714,,PCA,logmap
46,0.646491892279317,,PCA,logmap
47,0.7523010763397672,,PCA,logmap
48,0.7645490569466139,,PCA,logmap
49,0.7335804628847129,,PCA,logmap
0,0.710521035979194,,KPCA,logmap
1,0.7260360764847408,,KPCA,logmap
2,0.7130875755320526,,KPCA,logmap
3,0.70556534930099,,KPCA,logmap
4,0.5910270916538455,,KPCA,logmap
5,0.7157883700609459,,KPCA,logmap
6,0.618532328033287,,KPCA,logmap
7,0.7606036688124546,,KPCA,logmap
8,0.6384083616715688,,KPCA,logmap
9,0.7633801012710955,,KPCA,logmap
10,0.654167808469312,,KPCA,logmap
11,0.6214402761950107,,KPCA,logmap
12,0.6707528997125727,,KPCA,logmap
13,0.6197023732327667,,KPCA,logmap
14,0.7257369849568471,,KPCA,logmap
15,0.5391921712841578,,KPCA,logmap
16,0.92455636420187,,KPCA,logmap
17,0.7640091217028976,,KPCA,logmap
18,0.6871590627176782,,KPCA,logmap
19,0.761143674464056,,KPCA,logmap
20,0.7000211427624842,,KPCA,logmap
21,0.776965534351232,,KPCA,logmap
22,0.8898708705504045,,KPCA,logmap
23,0.7200497257102314,,KPCA,logmap
24,0.5724291508223149,,KPCA,logmap
25,0.63310933566111,,KPCA,logmap
26,0.7482796558475713,,KPCA,logmap
27,0.7283983881676025,,KPCA,logmap
28,0.6646663991739223,,KPCA,logmap
29,0.4800829188001043,,KPCA,logmap
30,0.6753195220431141,,KPCA,logmap
31,0.6897632346809138,,KPCA,logmap
32,0.5442127654427693,,KPCA,logmap
33,0.8972019431791428,,KPCA,logmap
34,0.7855229095186373,,KPCA,logmap
35,0.7305829796442601,,KPCA,logmap
36,0.6701338411055476,,KPCA,logmap
37,0.5326081818771238,,KPCA,logmap
38,0.7141450678993582,,KPCA,logmap
39,0.7028955443077247,,KPCA,logmap
40,0.7233961253264649,,KPCA,logmap
41,0.5469501033905376,,KPCA,logmap
42,0.7235810196918719,,KPCA,logmap
43,0.7771442093384261,,KPCA,logmap
44,0.5649196814205023,,KPCA,logmap
45,0.5393445567092058,,KPCA,logmap
46,0.6408190448101853,,KPCA,logmap
47,0.7499855189537097,,KPCA,logmap
48,0.7611509249466447,,KPCA,logmap
49,0.7309766667343629,,KPCA,logmap
0,0.682805256223585,,ICA,logmap
1,0.7029155308672057,,ICA,logmap
2,0.7253831916632202,,ICA,logmap
3,0.6977588950590476,,ICA,logmap
4,0.5858258732209193,,ICA,logmap
5,0.724861413506796,,ICA,logmap
6,0.605124548925614,,ICA,logmap
7,0.7614897999274747,,ICA,logmap
8,0.6232794793554667,,ICA,logmap
9,0.776583308195061,,ICA,logmap
10,0.6502891466264541,,ICA,logmap
11,0.6559450253578415,,ICA,logmap
12,0.6707291505961981,,ICA,logmap
13,0.6411222961731557,,ICA,logmap
14,0.7212990327254155,,ICA,logmap
15,0.6038772153975192,,ICA,logmap
