,coefs,wcomp,n_components,method,dataset
0,0.5159441157692095,1,1,PCA,lorenz
1,0.2090226860972161,1,1,PCA,lorenz
2,0.7457092372245872,1,1,PCA,lorenz
3,0.1093184897871936,1,1,PCA,lorenz
4,0.3938807096572045,1,1,PCA,lorenz
5,0.2711837112332166,1,1,PCA,lorenz
6,0.1084782711678002,1,1,PCA,lorenz
7,0.6257567540562944,1,1,PCA,lorenz
8,0.6429050608624444,1,1,PCA,lorenz
9,0.4947590364962029,1,1,PCA,lorenz
10,0.701326420076638,1,1,PCA,lorenz
11,0.5808447981718243,1,1,PCA,lorenz
12,0.3824324820949823,1,1,PCA,lorenz
13,0.5188769323040004,1,1,PCA,lorenz
14,0.1425612568466319,1,1,PCA,lorenz
15,0.3758763233076778,1,1,PCA,lorenz
16,0.7244736355912469,1,1,PCA,lorenz
17,0.1553934704404516,1,1,PCA,lorenz
18,0.2293970743983235,1,1,PCA,lorenz
19,0.1634504873100819,1,1,PCA,lorenz
20,0.501528916562056,1,1,PCA,lorenz
21,0.2201608866970966,1,1,PCA,lorenz
22,0.1408170738068213,1,1,PCA,lorenz
23,0.8002443864967973,1,1,PCA,lorenz
24,0.66485877501532,1,1,PCA,lorenz
25,0.7510441183746087,1,1,PCA,lorenz
26,0.2756074490157794,1,1,PCA,lorenz
27,0.4858872143360352,1,1,PCA,lorenz
28,0.2821039037998076,1,1,PCA,lorenz
29,0.1279706913538003,1,1,PCA,lorenz
30,0.3620875872083368,1,1,PCA,lorenz
31,0.5634004872967657,1,1,PCA,lorenz
32,0.1982341322950838,1,1,PCA,lorenz
33,0.2549922151955344,1,1,PCA,lorenz
34,0.3933506100027272,1,1,PCA,lorenz
35,0.2331149477476051,1,1,PCA,lorenz
36,0.19107142455992,1,1,PCA,lorenz
37,0.3789387073612212,1,1,PCA,lorenz
38,0.2100402254726266,1,1,PCA,lorenz
39,0.3899653985487518,1,1,PCA,lorenz
40,0.6054013472925737,1,1,PCA,lorenz
41,0.4527579380392339,1,1,PCA,lorenz
42,0.3281326563146033,1,1,PCA,lorenz
43,0.450154840516707,1,1,PCA,lorenz
44,0.0966446220674652,1,1,PCA,lorenz
45,0.2127784744450097,1,1,PCA,lorenz
46,0.7113610121947616,1,1,PCA,lorenz
47,0.1037524524201358,1,1,PCA,lorenz
48,0.8081383651298152,1,1,PCA,lorenz
49,0.7181527886383077,1,1,PCA,lorenz
50,0.5159441157692094,1,2,PCA,lorenz
51,0.4764998435798467,2,2,PCA,lorenz
52,0.7457092372245872,1,2,PCA,lorenz
53,0.3192489672185453,2,2,PCA,lorenz
54,0.3938807096572053,1,2,PCA,lorenz
55,0.2711837112332168,1,2,PCA,lorenz
56,0.1773302914557419,2,2,PCA,lorenz
57,0.6257567540562942,1,2,PCA,lorenz
58,0.6429050608624441,1,2,PCA,lorenz
59,0.4947590364962024,1,2,PCA,lorenz
60,0.7013264200766379,1,2,PCA,lorenz
61,0.5808447981718239,1,2,PCA,lorenz
62,0.3824324820949821,1,2,PCA,lorenz
63,0.5723574531523692,2,2,PCA,lorenz
64,0.1425612568466323,1,2,PCA,lorenz
65,0.3758763233076777,1,2,PCA,lorenz
66,0.7244736355912471,1,2,PCA,lorenz
67,0.1553934704404516,1,2,PCA,lorenz
68,0.2293970743983235,1,2,PCA,lorenz
69,0.733789758977428,2,2,PCA,lorenz
70,0.5015289165620558,1,2,PCA,lorenz
71,0.3257378495512587,2,2,PCA,lorenz
72,0.1408170738068213,1,2,PCA,lorenz
73,0.8002443864967975,1,2,PCA,lorenz
74,0.6648587750153202,1,2,PCA,lorenz
75,0.7510441183746087,1,2,PCA,lorenz
76,0.2756074490157796,1,2,PCA,lorenz
77,0.541928219391533,2,2,PCA,lorenz
78,0.2821039037998077,1,2,PCA,lorenz
79,0.1279706913538003,1,2,PCA,lorenz
80,0.3620875872083369,1,2,PCA,lorenz
81,0.7338900401676459,2,2,PCA,lorenz
82,0.1982341322950838,1,2,PCA,lorenz
83,0.2549922151955344,1,2,PCA,lorenz
84,0.3933506100027272,1,2,PCA,lorenz
85,0.2331149477476051,1,2,PCA,lorenz
86,0.191071424559921,1,2,PCA,lorenz
87,0.6729898571956566,2,2,PCA,lorenz
