,r2,L
0,0.859272827063906,100
1,0.4125563719592609,100
2,0.9996115661575102,100
3,0.7984462563852146,100
4,0.8737981248441474,100
5,0.806126418215666,100
6,0.8586466098141358,100
7,0.9328809228308135,100
8,0.9850086626914228,100
9,0.9214586656723986,100
0,0.9049011033961354,300
1,0.8887674725046683,300
2,0.9581513195594301,300
3,0.8980384325109868,300
4,0.9681703715658256,300
5,0.8471331725321661,300
6,0.91646932728359,300
7,0.9706001675836207,300
8,0.937362671471785,300
9,0.9528723521566176,300
0,0.8609245933770082,500
1,0.8974670578285204,500
2,0.9020957968099481,500
3,0.8971011052983677,500
4,0.8683638284881191,500
5,0.9595229596259988,500
6,0.8895702028326828,500
7,0.8713132806000138,500
8,0.932409756337274,500
9,0.9766468097630552,500
0,0.9318717281668182,700
1,0.8662555760145018,700
2,0.8788317216597263,700
3,0.9023673849453877,700
4,0.9385387110818965,700
5,0.7620637493102077,700
6,0.9411745098810971,700
7,0.9439390978483685,700
8,0.8933183806546001,700
9,0.8603127562895494,700
0,0.9169248556329013,900
1,0.9223719175990874,900
2,0.9008243241625568,900
3,0.908937381261249,900
4,0.9095679792856355,900
5,0.9403956965945717,900
6,0.8955759120576855,900
7,0.9545718141912449,900
8,0.8717420066089714,900
9,0.9266131338487796,900
0,0.941293011625565,1000
1,0.9489407211550351,1000
2,0.9062410309809641,1000
3,0.9078788124599382,1000
4,0.8763187723811952,1000
5,0.9161750054343462,1000
6,0.9545049821162799,1000
7,0.9523397272601224,1000
8,0.9509258086000035,1000
9,0.9387343671826652,1000
0,0.9468908168255784,2000
1,0.9678902230006359,2000
2,0.9418926389654207,2000
3,0.9479473801620377,2000
4,0.8771248798920637,2000
5,0.9327290582878193,2000
6,0.9423092173934041,2000
7,0.9023705981102549,2000
8,0.9126316090239932,2000
9,0.9095121763056032,2000
0,0.9155586489990273,3000
1,0.9240774691503093,3000
2,0.9120396637223207,3000
3,0.9214285454501284,3000
4,0.9005686614997357,3000
5,0.9093471002407582,3000
6,0.9453505695348848,3000
7,0.9433326115580567,3000
8,0.9442083737136904,3000
9,0.9244361665495526,3000
