,r2,L
0,0.9761595656859897,0.001
1,0.9296484112541111,0.001
2,0.9137040505866341,0.001
3,0.9000207252559154,0.001
4,0.849871578984032,0.001
5,0.884627815479195,0.001
6,0.9547736789111005,0.001
7,0.9630100211886459,0.001
8,0.949688817856655,0.001
9,0.957649520844971,0.001
0,0.9637168280997556,0.0017782794100389228
1,0.9201347968884145,0.0017782794100389228
2,0.9054394698502651,0.0017782794100389228
3,0.8926496572357683,0.0017782794100389228
4,0.854486735306812,0.0017782794100389228
5,0.822817960768617,0.0017782794100389228
6,0.9575753663458672,0.0017782794100389228
7,0.9611771144841122,0.0017782794100389228
8,0.9652134695763085,0.0017782794100389228
9,0.9550481047377984,0.0017782794100389228
0,0.95456741321536,0.0031622776601683794
1,0.9395382629657,0.0031622776601683794
2,0.9108859230071517,0.0031622776601683794
3,0.887289630310804,0.0031622776601683794
4,0.8516477592411119,0.0031622776601683794
5,0.8539248265756839,0.0031622776601683794
6,0.9620197748557753,0.0031622776601683794
7,0.9501725446813146,0.0031622776601683794
8,0.9470094663275883,0.0031622776601683794
9,0.895817014978444,0.0031622776601683794
0,0.9327643038722746,0.005623413251903491
1,0.8984162015818521,0.005623413251903491
2,0.8894222421936001,0.005623413251903491
3,0.8935044098265369,0.005623413251903491
4,0.8587675879072201,0.005623413251903491
5,0.8593711040208049,0.005623413251903491
6,0.9568740805827299,0.005623413251903491
7,0.9531127785957525,0.005623413251903491
8,0.9492812238404108,0.005623413251903491
9,0.9199546328598571,0.005623413251903491
0,0.9302569803955697,0.01
1,0.880483026785991,0.01
2,0.8920188462771218,0.01
3,0.8557167331807298,0.01
4,0.8582486720334391,0.01
5,0.8385865036900112,0.01
6,0.9570980289740059,0.01
7,0.9116940571881297,0.01
8,0.8957493828084487,0.01
9,0.9161078018966798,0.01
0,0.8919855488415896,0.01778279410038923
1,0.8161540197715109,0.01778279410038923
2,0.8284374046722079,0.01778279410038923
3,0.7874689379587336,0.01778279410038923
4,0.823078113899569,0.01778279410038923
5,0.8452860050021602,0.01778279410038923
6,0.8790398306522705,0.01778279410038923
7,0.8762834139542662,0.01778279410038923
8,0.8839221460324669,0.01778279410038923
9,0.8687379071795178,0.01778279410038923
0,0.8541803731368379,0.03162277660168379
1,0.7322243664768557,0.03162277660168379
2,0.7497959779846669,0.03162277660168379
3,0.7517367547021797,0.03162277660168379
4,0.7938721436481487,0.03162277660168379
5,0.7374613710565027,0.03162277660168379
6,0.8212197979348643,0.03162277660168379
7,0.8664593277168074,0.03162277660168379
8,0.7945513802195134,0.03162277660168379
9,0.8301722783659798,0.03162277660168379
0,0.7079201664379068,0.05623413251903491
1,0.599525015234719,0.05623413251903491
2,0.5756441176100116,0.05623413251903491
3,0.6437151507813007,0.05623413251903491
4,0.7258177095139773,0.05623413251903491
5,0.6638225621160466,0.05623413251903491
6,0.7161892400405121,0.05623413251903491
7,0.7829015214280849,0.05623413251903491
8,0.7954549562081717,0.05623413251903491
9,0.6910202028488389,0.05623413251903491
0,0.5722026662513601,0.1
1,0.6094010652925573,0.1
2,0.4634943455273016,0.1
3,0.5714954275053812,0.1
4,0.5729012693939172,0.1
5,0.47912682092302455,0.1
6,0.5900802375547232,0.1
7,0.6475657699966555,0.1
8,0.5705259337118833,0.1
9,0.6038323192486792,0.1
0,0.5191159726213291,0.1778279410038923
1,0.4559160269488262,0.1778279410038923
2,0.42420781395115675,0.1778279410038923
3,0.4726178423033418,0.1778279410038923
4,0.4289063573628884,0.1778279410038923
5,0.46297660517190004,0.1778279410038923
6,0.5603003795274227,0.1778279410038923
7,0.6037724497097057,0.1778279410038923
8,0.5034442713456064,0.1778279410038923
9,0.4378444608717171,0.1778279410038923
0,0.23276697839721222,0.31622776601683794
1,0.17096369515568188,0.31622776601683794
2,0.2548161744530966,0.31622776601683794
3,0.21131141129193745,0.31622776601683794
4,0.24134336862667005,0.31622776601683794
5,0.3286565074306634,0.31622776601683794
6,0.30904127731135256,0.31622776601683794
7,0.5602718159621157,0.31622776601683794
8,0.39670500930836666,0.31622776601683794
9,0.41101943824561865,0.31622776601683794
0,0.17854259795878413,0.5623413251903491
1,0.234792329932735,0.5623413251903491
2,0.2335565832377313,0.5623413251903491
3,0.3298621105520609,0.5623413251903491
4,0.3462363878947038,0.5623413251903491
5,0.2576071797808942,0.5623413251903491
6,0.2401498559877209,0.5623413251903491
7,0.26424848250718264,0.5623413251903491
8,0.24988357809410236,0.5623413251903491
9,0.2214351493571672,0.5623413251903491
0,0.23225865218255054,1.0
1,0.2049747067773344,1.0
2,0.15541081896442557,1.0
3,0.280600414156821,1.0
4,0.22353809326196653,1.0
5,0.10616536952065884,1.0
6,0.25760876905951124,1.0
7,0.26119516736445386,1.0
8,0.28849397880237937,1.0
9,0.29220241647293205,1.0
0,0.24133031489489903,1.7782794100389228
1,0.2201608440385375,1.7782794100389228
2,0.268202986756208,1.7782794100389228
3,0.22144094046179505,1.7782794100389228
4,0.19760941930554513,1.7782794100389228
5,0.21702793689456276,1.7782794100389228
6,0.18569771462589085,1.7782794100389228
7,0.17595521806439213,1.7782794100389228
8,0.25499689641976037,1.7782794100389228
9,0.21740273399786963,1.7782794100389228
