data_id,r,duration,method,dataset
0,0.6059514901510165,,PCA,tentmap
1,0.2665821560772529,,PCA,tentmap
2,0.4510334281936777,,PCA,tentmap
3,0.1425324808716579,,PCA,tentmap
4,0.6706584170982799,,PCA,tentmap
5,0.1150576025128854,,PCA,tentmap
6,0.6601612808525726,,PCA,tentmap
7,0.5231353869596036,,PCA,tentmap
8,0.7243140399995035,,PCA,tentmap
9,0.3745807084434649,,PCA,tentmap
10,0.1509509447544166,,PCA,tentmap
11,0.0778821620692679,,PCA,tentmap
12,0.0808399932303752,,PCA,tentmap
13,0.5938810684649598,,PCA,tentmap
14,0.5709811344434567,,PCA,tentmap
15,0.1663501519116473,,PCA,tentmap
16,0.5735042501326643,,PCA,tentmap
17,0.3945963978017692,,PCA,tentmap
18,0.1552031765382478,,PCA,tentmap
19,0.5823539651061732,,PCA,tentmap
20,0.5728214372025084,,PCA,tentmap
21,0.2924447818723945,,PCA,tentmap
22,0.3367670099945497,,PCA,tentmap
23,0.488504963947992,,PCA,tentmap
24,0.6353775242647726,,PCA,tentmap
25,0.5063019594710799,,PCA,tentmap
26,0.3830624070749228,,PCA,tentmap
27,0.6483473781499564,,PCA,tentmap
28,0.2475896923429491,,PCA,tentmap
29,0.2180872654631252,,PCA,tentmap
30,0.5608112413209588,,PCA,tentmap
31,0.6612497950286684,,PCA,tentmap
32,0.1429621613800164,,PCA,tentmap
33,0.1536571271109613,,PCA,tentmap
34,0.3688333654424831,,PCA,tentmap
35,0.4395786633378064,,PCA,tentmap
36,0.2464313208444036,,PCA,tentmap
37,0.1450877302454742,,PCA,tentmap
38,0.1676824553199344,,PCA,tentmap
39,0.6492101660368339,,PCA,tentmap
40,0.5459486863278645,,PCA,tentmap
41,0.503341998069942,,PCA,tentmap
42,0.1287503172581748,,PCA,tentmap
43,0.517227926666321,,PCA,tentmap
44,0.432923624993568,,PCA,tentmap
45,0.1645784980895045,,PCA,tentmap
46,0.1801640391704539,,PCA,tentmap
47,0.3971707399796927,,PCA,tentmap
48,0.2790230750003033,,PCA,tentmap
49,0.5582649322045934,,PCA,tentmap
0,0.6114287655350318,,KPCA,tentmap
1,0.2649684638431094,,KPCA,tentmap
2,0.4499387339670167,,KPCA,tentmap
3,0.1433402090024282,,KPCA,tentmap
4,0.6694003677282613,,KPCA,tentmap
5,0.1154873464145484,,KPCA,tentmap
6,0.6626905233685825,,KPCA,tentmap
7,0.5228145163818956,,KPCA,tentmap
8,0.7291563462587829,,KPCA,tentmap
9,0.3730266564036291,,KPCA,tentmap
10,0.1510106668832086,,KPCA,tentmap
11,0.0780028470135106,,KPCA,tentmap
12,0.0802080844601377,,KPCA,tentmap
13,0.5962667941188574,,KPCA,tentmap
14,0.5730624644817902,,KPCA,tentmap
15,0.1711755977928485,,KPCA,tentmap
16,0.572095812678204,,KPCA,tentmap
17,0.3925578182934326,,KPCA,tentmap
18,0.1554510736237712,,KPCA,tentmap
19,0.5807863833768293,,KPCA,tentmap
20,0.5766056864099695,,KPCA,tentmap
21,0.2851286440566892,,KPCA,tentmap
22,0.3320318875283095,,KPCA,tentmap
23,0.4876192982868013,,KPCA,tentmap
24,0.6328179935067397,,KPCA,tentmap
25,0.50836392346804,,KPCA,tentmap
26,0.3811705122826576,,KPCA,tentmap
27,0.6475149016122632,,KPCA,tentmap
28,0.2460845432080319,,KPCA,tentmap
29,0.2274571655955565,,KPCA,tentmap
30,0.5583006168946418,,KPCA,tentmap
31,0.6614752305427124,,KPCA,tentmap
32,0.1426112508171935,,KPCA,tentmap
33,0.1590126112788331,,KPCA,tentmap
34,0.3659375695545775,,KPCA,tentmap
35,0.4391646359045107,,KPCA,tentmap
36,0.2509009521876844,,KPCA,tentmap
37,0.1342949474735869,,KPCA,tentmap
38,0.1632468798199441,,KPCA,tentmap
39,0.6493622399969115,,KPCA,tentmap
40,0.5454660968011229,,KPCA,tentmap
41,0.4918722713721318,,KPCA,tentmap
42,0.1274008750103543,,KPCA,tentmap
43,0.5147446093962735,,KPCA,tentmap
44,0.4368141210513233,,KPCA,tentmap
45,0.164511749333249,,KPCA,tentmap
46,0.178231481378612,,KPCA,tentmap
47,0.3876811633393289,,KPCA,tentmap
