data_id,r,duration,method,dataset
0,0.8424597773165086,NaN,ASOM,logmap
1,0.7269278803699156,NaN,ASOM,logmap
2,0.861767169139801,NaN,ASOM,logmap
3,0.8474884502956298,NaN,ASOM,logmap
4,0.7544130541704714,NaN,ASOM,logmap
5,0.9205827948816351,NaN,ASOM,logmap
6,0.6095120884109184,NaN,ASOM,logmap
7,0.7452710547511188,NaN,ASOM,logmap
8,0.5166875742738547,NaN,ASOM,logmap
9,0.6768188429380227,NaN,ASOM,logmap
10,0.5387838934816951,NaN,ASOM,logmap
11,0.9908445403176922,NaN,ASOM,logmap
12,0.7245937050713427,NaN,ASOM,logmap
13,0.7999443862940673,NaN,ASOM,logmap
14,0.8734739784254465,NaN,ASOM,logmap
15,0.5620934838147332,NaN,ASOM,logmap
16,0.968827346350621,NaN,ASOM,logmap
17,0.6778251504554589,NaN,ASOM,logmap
18,0.848372378680358,NaN,ASOM,logmap
19,0.7623562820329685,NaN,ASOM,logmap
20,0.8562348369397657,NaN,ASOM,logmap
21,0.8709972125664869,NaN,ASOM,logmap
22,0.9844999451739329,NaN,ASOM,logmap
23,0.7450033854119993,NaN,ASOM,logmap
24,0.4028738060572339,NaN,ASOM,logmap
25,0.7392070686721318,NaN,ASOM,logmap
26,0.8689388346274138,NaN,ASOM,logmap
27,0.816230526975942,NaN,ASOM,logmap
28,0.7813265430408124,NaN,ASOM,logmap
29,0.7573940015170486,NaN,ASOM,logmap
30,0.8527866074958648,NaN,ASOM,logmap
31,0.8866893492085239,NaN,ASOM,logmap
32,0.7623281773055733,NaN,ASOM,logmap
33,0.8089944847829538,NaN,ASOM,logmap
34,0.8089291940865457,NaN,ASOM,logmap
35,0.6808463381286595,NaN,ASOM,logmap
36,0.7428626417203537,NaN,ASOM,logmap
37,0.7339444562533866,NaN,ASOM,logmap
38,0.7828085500735156,NaN,ASOM,logmap
39,0.43206486291715135,NaN,ASOM,logmap
40,0.8507587111987924,NaN,ASOM,logmap
41,0.7686916931066908,NaN,ASOM,logmap
42,0.6718226577917544,NaN,ASOM,logmap
43,0.8091111741073229,NaN,ASOM,logmap
44,0.8422661312771943,NaN,ASOM,logmap
45,0.3652834377547506,NaN,ASOM,logmap
46,0.651118966220311,NaN,ASOM,logmap
47,0.7416816906332937,NaN,ASOM,logmap
48,0.6972804370386017,NaN,ASOM,logmap
49,0.8909977532802108,NaN,ASOM,logmap
