data_id,r,duration,method,dataset
0,0.6905955303369622,,DCA,logmap
1,0.7301092351597925,,DCA,logmap
2,0.7241510546157585,,DCA,logmap
3,0.7033727556057825,,DCA,logmap
4,0.5835116628147352,,DCA,logmap
5,0.705199949726956,,DCA,logmap
6,0.626415135370736,,DCA,logmap
7,0.7453955868581136,,DCA,logmap
8,0.6415908737905643,,DCA,logmap
9,0.7578381281051697,,DCA,logmap
10,0.6674666081277452,,DCA,logmap
11,0.5906523839740001,,DCA,logmap
12,0.6870091225544559,,DCA,logmap
13,0.6673894619765854,,DCA,logmap
14,0.7191331652180077,,DCA,logmap
15,0.6445120812301957,,DCA,logmap
16,0.9771819578769496,,DCA,logmap
17,0.7349759435835066,,DCA,logmap
18,0.6806911419297397,,DCA,logmap
19,0.7527435030825661,,DCA,logmap
20,0.690464733489397,,DCA,logmap
21,0.7640265407329287,,DCA,logmap
22,0.8408337173046904,,DCA,logmap
23,0.7109873274567509,,DCA,logmap
24,0.5753067954333088,,DCA,logmap
25,0.6219303041097027,,DCA,logmap
26,0.7232307183313802,,DCA,logmap
27,0.7186032675492381,,DCA,logmap
28,0.6569938261743737,,DCA,logmap
29,0.6411773732080346,,DCA,logmap
30,0.6764437291333706,,DCA,logmap
31,0.713523287040979,,DCA,logmap
32,0.6307181309787595,,DCA,logmap
33,0.9482862049357303,,DCA,logmap
34,0.7771822579848732,,DCA,logmap
35,0.7355050721965496,,DCA,logmap
36,0.6535884648603277,,DCA,logmap
37,0.6130099698181732,,DCA,logmap
38,0.7082054656666434,,DCA,logmap
39,0.699866750036784,,DCA,logmap
40,0.7170601858664495,,DCA,logmap
41,0.7044073934174714,,DCA,logmap
42,0.7002439024161876,,DCA,logmap
43,0.7699794763879859,,DCA,logmap
44,0.6465145785172828,,DCA,logmap
45,0.5329489585137512,,DCA,logmap
46,0.6411233440541646,,DCA,logmap
47,0.7387934200382631,,DCA,logmap
48,0.791101735868553,,DCA,logmap
49,0.7326820118091393,,DCA,logmap
