data_id,r,duration,method,dataset
0,0.7297992907920223,,DCCA,logmap
1,0.7470948776126927,,DCCA,logmap
2,0.7436890800482743,,DCCA,logmap
3,0.7310503912322077,,DCCA,logmap
4,0.5925751685520637,,DCCA,logmap
5,0.7409057742977389,,DCCA,logmap
6,0.6228476303544044,,DCCA,logmap
7,0.7860642456896594,,DCCA,logmap
8,0.6571153280483645,,DCCA,logmap
9,0.7861752886111797,,DCCA,logmap
10,0.6832927682797825,,DCCA,logmap
11,0.6599461240354144,,DCCA,logmap
12,0.689198464807621,,DCCA,logmap
13,0.6823964323662389,,DCCA,logmap
14,0.7442628525953683,,DCCA,logmap
15,0.6687055656505012,,DCCA,logmap
16,0.8766812511496578,,DCCA,logmap
17,0.7292854025164046,,DCCA,logmap
18,0.7170929394598593,,DCCA,logmap
19,0.791014860726893,,DCCA,logmap
20,0.7209492561394665,,DCCA,logmap
21,0.7907058956161512,,DCCA,logmap
22,0.8081582530202264,,DCCA,logmap
23,0.7464839085761203,,DCCA,logmap
24,0.5692641913898956,,DCCA,logmap
25,0.6525606651189977,,DCCA,logmap
26,0.7493383984304568,,DCCA,logmap
27,0.7509681102054002,,DCCA,logmap
28,0.6897263821732698,,DCCA,logmap
29,0.6500775982896922,,DCCA,logmap
30,0.7168344958785317,,DCCA,logmap
31,0.7437984626055578,,DCCA,logmap
32,0.6505258695380751,,DCCA,logmap
33,0.8479221726177056,,DCCA,logmap
34,0.8186496741284497,,DCCA,logmap
35,0.7648450961607047,,DCCA,logmap
36,0.697976132717329,,DCCA,logmap
37,0.6218943410677108,,DCCA,logmap
38,0.7373611759392514,,DCCA,logmap
39,0.7183477003121106,,DCCA,logmap
40,0.7509314224525294,,DCCA,logmap
41,0.6273223890207102,,DCCA,logmap
42,0.7477215600397646,,DCCA,logmap
43,0.7993240049148668,,DCCA,logmap
44,0.6574492744268414,,DCCA,logmap
45,0.5350957470605738,,DCCA,logmap
46,0.6566964620811899,,DCCA,logmap
47,0.766734060465639,,DCCA,logmap
48,0.7896281226281427,,DCCA,logmap
49,0.7476009066993563,,DCCA,logmap
