data_id,r,duration,method,dataset
0,0.682805256223585,,ICA,logmap
1,0.7029155308672057,,ICA,logmap
2,0.7253831916632202,,ICA,logmap
3,0.6977588950590476,,ICA,logmap
4,0.5858258732209193,,ICA,logmap
5,0.724861413506796,,ICA,logmap
6,0.605124548925614,,ICA,logmap
7,0.7614897999274747,,ICA,logmap
8,0.6232794793554667,,ICA,logmap
9,0.776583308195061,,ICA,logmap
10,0.6502891466264541,,ICA,logmap
11,0.6559450253578415,,ICA,logmap
12,0.6707291505961981,,ICA,logmap
13,0.6411222961731557,,ICA,logmap
14,0.7212990327254155,,ICA,logmap
15,0.6038772153975192,,ICA,logmap
16,0.9033402887628428,,ICA,logmap
17,0.7109040197408752,,ICA,logmap
18,0.63644584310644,,ICA,logmap
19,0.7621253577497367,,ICA,logmap
20,0.6878985587267242,,ICA,logmap
21,0.7796577976455756,,ICA,logmap
22,0.8746907095143426,,ICA,logmap
23,0.7175314336281339,,ICA,logmap
24,0.5417153679722752,,ICA,logmap
25,0.6081776194974886,,ICA,logmap
26,0.7093511428380683,,ICA,logmap
27,0.7056472799601335,,ICA,logmap
28,0.6579260209304612,,ICA,logmap
29,0.6237565282927902,,ICA,logmap
30,0.6858073816592823,,ICA,logmap
31,0.7309912818361263,,ICA,logmap
32,0.5707059387619726,,ICA,logmap
33,0.8812450738874373,,ICA,logmap
34,0.7873472927412526,,ICA,logmap
35,0.7371658656118605,,ICA,logmap
36,0.6741179732502648,,ICA,logmap
37,0.593241210554538,,ICA,logmap
38,0.7065492574012144,,ICA,logmap
39,0.6872379520204404,,ICA,logmap
40,0.7146821175609045,,ICA,logmap
41,0.6589795212517945,,ICA,logmap
42,0.6975235733554457,,ICA,logmap
43,0.7535987055252703,,ICA,logmap
44,0.6131250038915883,,ICA,logmap
45,0.5245250782915326,,ICA,logmap
46,0.642093348314879,,ICA,logmap
47,0.7204170424138521,,ICA,logmap
48,0.7779743034590868,,ICA,logmap
49,0.7101282163490704,,ICA,logmap
