data_id,r,duration,method,dataset
0,0.710521035979194,NaN,KPCA,logmap
1,0.7260360764847408,NaN,KPCA,logmap
2,0.7130875755320526,NaN,KPCA,logmap
3,0.70556534930099,NaN,KPCA,logmap
4,0.5910270916538455,NaN,KPCA,logmap
5,0.7157883700609459,NaN,KPCA,logmap
6,0.618532328033287,NaN,KPCA,logmap
7,0.7606036688124546,NaN,KPCA,logmap
8,0.6384083616715688,NaN,KPCA,logmap
9,0.7633801012710955,NaN,KPCA,logmap
10,0.654167808469312,NaN,KPCA,logmap
11,0.6214402761950107,NaN,KPCA,logmap
12,0.6707528997125727,NaN,KPCA,logmap
13,0.6197023732327667,NaN,KPCA,logmap
14,0.7257369849568471,NaN,KPCA,logmap
15,0.5391921712841578,NaN,KPCA,logmap
16,0.9245563642018699,NaN,KPCA,logmap
17,0.7640091217028976,NaN,KPCA,logmap
18,0.6871590627176782,NaN,KPCA,logmap
19,0.761143674464056,NaN,KPCA,logmap
20,0.7000211427624842,NaN,KPCA,logmap
21,0.776965534351232,NaN,KPCA,logmap
22,0.8898708705504045,NaN,KPCA,logmap
23,0.7200497257102314,NaN,KPCA,logmap
24,0.5724291508223149,NaN,KPCA,logmap
25,0.63310933566111,NaN,KPCA,logmap
26,0.7482796558475713,NaN,KPCA,logmap
27,0.7283983881676025,NaN,KPCA,logmap
28,0.6646663991739223,NaN,KPCA,logmap
29,0.48008291880010434,NaN,KPCA,logmap
30,0.6753195220431141,NaN,KPCA,logmap
31,0.6897632346809138,NaN,KPCA,logmap
32,0.5442127654427693,NaN,KPCA,logmap
33,0.8972019431791428,NaN,KPCA,logmap
34,0.7855229095186373,NaN,KPCA,logmap
35,0.7305829796442601,NaN,KPCA,logmap
36,0.6701338411055476,NaN,KPCA,logmap
37,0.5326081818771238,NaN,KPCA,logmap
38,0.7141450678993582,NaN,KPCA,logmap
39,0.7028955443077247,NaN,KPCA,logmap
40,0.7233961253264649,NaN,KPCA,logmap
41,0.5469501033905376,NaN,KPCA,logmap
42,0.7235810196918719,NaN,KPCA,logmap
43,0.7771442093384261,NaN,KPCA,logmap
44,0.5649196814205023,NaN,KPCA,logmap
45,0.5393445567092058,NaN,KPCA,logmap
46,0.6408190448101853,NaN,KPCA,logmap
47,0.7499855189537097,NaN,KPCA,logmap
48,0.7611509249466447,NaN,KPCA,logmap
49,0.7309766667343629,NaN,KPCA,logmap
