data_id,r,duration,method,dataset
0,0.9633018421105474,,MaCo,logmap
1,0.9776363208044998,,MaCo,logmap
2,0.9668436873730479,,MaCo,logmap
3,0.9716813665936015,,MaCo,logmap
4,0.9671084857564927,,MaCo,logmap
5,0.7823116407733649,,MaCo,logmap
6,0.9693647291748748,,MaCo,logmap
7,0.9759853070622424,,MaCo,logmap
8,0.9736848967427064,,MaCo,logmap
9,0.9809282620353245,,MaCo,logmap
10,0.9558031151920715,,MaCo,logmap
11,0.8452928114756034,,MaCo,logmap
12,0.8981556070871217,,MaCo,logmap
13,0.9308370221759131,,MaCo,logmap
14,0.9715398862683976,,MaCo,logmap
15,0.9807411942157802,,MaCo,logmap
16,0.8167292953756735,,MaCo,logmap
17,0.9510115109827398,,MaCo,logmap
18,0.9693196867625489,,MaCo,logmap
19,0.9768643063942563,,MaCo,logmap
20,0.9720943031833906,,MaCo,logmap
21,0.969152158294898,,MaCo,logmap
22,0.7562784029634089,,MaCo,logmap
23,0.9698671326100935,,MaCo,logmap
24,0.9617129722480656,,MaCo,logmap
25,0.9721619818499075,,MaCo,logmap
26,0.9773580459348655,,MaCo,logmap
27,0.9710111860626368,,MaCo,logmap
28,0.9596143420596791,,MaCo,logmap
29,0.9767783017518095,,MaCo,logmap
30,0.975643724103862,,MaCo,logmap
31,0.9379173217281096,,MaCo,logmap
32,0.965754894081687,,MaCo,logmap
33,0.9138499156413913,,MaCo,logmap
34,0.976138798338396,,MaCo,logmap
35,0.9797264009256972,,MaCo,logmap
36,0.869651387871745,,MaCo,logmap
37,0.9599939897764006,,MaCo,logmap
38,0.9645271348616307,,MaCo,logmap
39,0.9627370088964119,,MaCo,logmap
40,0.9616145179489126,,MaCo,logmap
41,0.9463891251627872,,MaCo,logmap
42,0.9532262798953228,,MaCo,logmap
43,0.9817069124316302,,MaCo,logmap
44,0.9648724110013345,,MaCo,logmap
45,0.9700452595433036,,MaCo,logmap
46,0.9634391366247691,,MaCo,logmap
47,0.9634261743286251,,MaCo,logmap
48,0.9692039816015755,,MaCo,logmap
49,0.9658534765093104,,MaCo,logmap
