data_id,r,duration,method,dataset
0,0.7135892005840213,,PCA,logmap
1,0.7290740595162812,,PCA,logmap
2,0.7191153145315348,,PCA,logmap
3,0.7095280178644433,,PCA,logmap
4,0.5971735647785537,,PCA,logmap
5,0.7156333593230327,,PCA,logmap
6,0.6243951188706084,,PCA,logmap
7,0.7637966287596473,,PCA,logmap
8,0.6427578185314688,,PCA,logmap
9,0.7669128102759282,,PCA,logmap
10,0.6619787974536716,,PCA,logmap
11,0.612403245039127,,PCA,logmap
12,0.6695025020345448,,PCA,logmap
13,0.6088485326602908,,PCA,logmap
14,0.7304500233561286,,PCA,logmap
15,0.5120500865089146,,PCA,logmap
16,0.9197346604599869,,PCA,logmap
17,0.7649696538561732,,PCA,logmap
18,0.6928735169234488,,PCA,logmap
19,0.7645715507826001,,PCA,logmap
20,0.7028142136388307,,PCA,logmap
21,0.7801310617038603,,PCA,logmap
22,0.8859944976288061,,PCA,logmap
23,0.7244354134372072,,PCA,logmap
24,0.5743420388240625,,PCA,logmap
25,0.6373607628513888,,PCA,logmap
26,0.749041441631517,,PCA,logmap
27,0.7316841129190675,,PCA,logmap
28,0.6689914242621252,,PCA,logmap
29,0.44361081853167755,,PCA,logmap
30,0.6812144163843313,,PCA,logmap
31,0.7153234965841824,,PCA,logmap
32,0.5156525034390748,,PCA,logmap
33,0.8936082065362223,,PCA,logmap
34,0.7885249622093832,,PCA,logmap
35,0.7351792910481084,,PCA,logmap
36,0.6738876053446895,,PCA,logmap
37,0.5030922749357122,,PCA,logmap
38,0.7186595220245202,,PCA,logmap
39,0.7065633340968308,,PCA,logmap
40,0.7276985012625012,,PCA,logmap
41,0.5573276405501081,,PCA,logmap
42,0.7274505064885259,,PCA,logmap
43,0.7800960381261473,,PCA,logmap
44,0.5530371011758858,,PCA,logmap
45,0.5415770063807714,,PCA,logmap
46,0.646491892279317,,PCA,logmap
47,0.7523010763397672,,PCA,logmap
48,0.7645490569466139,,PCA,logmap
49,0.7335804628847129,,PCA,logmap
