data_id,r,duration,method,dataset
0,0.07225436990389947,,Random,logmap
1,0.07800249599402807,,Random,logmap
2,0.0758312952826306,,Random,logmap
3,0.06845893677730383,,Random,logmap
4,0.07793175076058627,,Random,logmap
5,0.045733458889760166,,Random,logmap
6,0.07332569289326847,,Random,logmap
7,0.066419202876772,,Random,logmap
8,0.07181207073798132,,Random,logmap
9,0.0678623429411325,,Random,logmap
10,0.06659304986506683,,Random,logmap
11,0.020075558637237544,,Random,logmap
12,0.03621325010201827,,Random,logmap
13,0.06521360346408965,,Random,logmap
14,0.08734075427456768,,Random,logmap
15,0.07394359419798638,,Random,logmap
16,0.062336837381566534,,Random,logmap
17,0.08011867071857504,,Random,logmap
18,0.06428232416823401,,Random,logmap
19,0.06957832003247728,,Random,logmap
20,0.08378201041332203,,Random,logmap
21,0.06882062271031184,,Random,logmap
22,0.03964292049416116,,Random,logmap
23,0.064434123146805,,Random,logmap
24,0.07663672785928405,,Random,logmap
25,0.07508661012832278,,Random,logmap
26,0.06196067319071613,,Random,logmap
27,0.07747380870158405,,Random,logmap
28,0.07109086471711114,,Random,logmap
29,0.065570131288864,,Random,logmap
30,0.06721407435997435,,Random,logmap
31,0.059326859281723765,,Random,logmap
32,0.07814091821174615,,Random,logmap
33,0.031215672243949593,,Random,logmap
34,0.07122378961952129,,Random,logmap
35,0.061452652060336344,,Random,logmap
36,0.06456290473313149,,Random,logmap
37,0.07887263932001802,,Random,logmap
38,0.0651321253848147,,Random,logmap
39,0.09402376544071236,,Random,logmap
40,0.07343103154214858,,Random,logmap
41,0.02701980141597645,,Random,logmap
42,0.06941174616389556,,Random,logmap
43,0.06279718405364512,,Random,logmap
44,0.0797609623386997,,Random,logmap
45,0.06807515749959449,,Random,logmap
46,0.07437423496571871,,Random,logmap
47,0.06691415537685902,,Random,logmap
48,0.06858562872057797,,Random,logmap
49,0.07672520403857981,,Random,logmap
