data_id,r,duration,method,dataset
0,0.145424876316511,,SFA,logmap
1,0.10022131889200062,,SFA,logmap
2,0.13943559820153992,,SFA,logmap
3,0.14460934954696192,,SFA,logmap
4,0.25589838629622746,,SFA,logmap
5,0.03452225971872407,,SFA,logmap
6,0.18282587979817674,,SFA,logmap
7,0.09770721590085991,,SFA,logmap
8,0.2205803351835467,,SFA,logmap
9,0.08683839262994072,,SFA,logmap
10,0.17167840682574187,,SFA,logmap
11,0.010913639888241178,,SFA,logmap
12,0.022078846042388838,,SFA,logmap
13,0.15413340927970653,,SFA,logmap
14,0.14578685371362202,,SFA,logmap
15,0.12404925465379904,,SFA,logmap
16,0.012149361002402617,,SFA,logmap
17,0.13233401113334417,,SFA,logmap
18,0.21199011578323862,,SFA,logmap
19,0.12826682602610762,,SFA,logmap
20,0.181452092024879,,SFA,logmap
21,0.09016196946905172,,SFA,logmap
22,0.01950031153645089,,SFA,logmap
23,0.1730232379579552,,SFA,logmap
24,0.23800766276246524,,SFA,logmap
25,0.24844949345746042,,SFA,logmap
26,0.1234711816200244,,SFA,logmap
27,0.13582848594298524,,SFA,logmap
28,0.179349923362287,,SFA,logmap
29,0.17676756494038603,,SFA,logmap
30,0.2138893629849795,,SFA,logmap
31,0.07883895312984503,,SFA,logmap
32,0.18730710333288353,,SFA,logmap
33,0.006641532517727242,,SFA,logmap
34,0.09139854171639997,,SFA,logmap
35,0.1332856971511198,,SFA,logmap
36,0.19417119503854313,,SFA,logmap
37,0.22347487763619245,,SFA,logmap
38,0.18752985163604402,,SFA,logmap
39,0.13618338047369866,,SFA,logmap
40,0.16466564204238504,,SFA,logmap
41,0.010253642678976844,,SFA,logmap
42,0.1599718539040916,,SFA,logmap
43,0.07840008651247843,,SFA,logmap
44,0.16695657214189216,,SFA,logmap
45,0.31982025588581664,,SFA,logmap
46,0.1661242171941061,,SFA,logmap
47,0.10906111389494083,,SFA,logmap
48,0.08890426165100782,,SFA,logmap
49,0.11822123104638202,,SFA,logmap
