data_id,r,duration,method,dataset
0,0.6738491616296781,,ShRec,logmap
1,0.7144526286829889,,ShRec,logmap
2,0.6893831977541641,,ShRec,logmap
3,0.6859532743449137,,ShRec,logmap
4,0.5432418336796622,,ShRec,logmap
5,0.7681573587263003,,ShRec,logmap
6,0.594143178661194,,ShRec,logmap
7,0.7164760045968257,,ShRec,logmap
8,0.6343368559918396,,ShRec,logmap
9,0.7728192919880656,,ShRec,logmap
10,0.6022326579513324,,ShRec,logmap
11,0.7332997358284662,,ShRec,logmap
12,0.7606510462572822,,ShRec,logmap
13,0.5906168291475395,,ShRec,logmap
14,0.6822984375069184,,ShRec,logmap
15,0.6074640978582854,,ShRec,logmap
16,0.9406134232803726,,ShRec,logmap
17,0.7472114321077302,,ShRec,logmap
18,0.5988202458711901,,ShRec,logmap
19,0.7491618279786881,,ShRec,logmap
20,0.6715416168161281,,ShRec,logmap
21,0.7349825085104363,,ShRec,logmap
22,0.8593765343248299,,ShRec,logmap
23,0.6922285669085687,,ShRec,logmap
24,0.5831592708987461,,ShRec,logmap
25,0.6186760953555356,,ShRec,logmap
26,0.73998209148202,,ShRec,logmap
27,0.6900743859811294,,ShRec,logmap
28,0.6209782249335709,,ShRec,logmap
29,0.5596993286542559,,ShRec,logmap
30,0.6409382267881615,,ShRec,logmap
31,0.8028951131620145,,ShRec,logmap
32,0.5799329569253924,,ShRec,logmap
33,0.9608657262180312,,ShRec,logmap
34,0.8180225579173445,,ShRec,logmap
35,0.6986793711414343,,ShRec,logmap
36,0.6522665722314552,,ShRec,logmap
37,0.5623402186486115,,ShRec,logmap
38,0.6559440667477777,,ShRec,logmap
39,0.6740083739381509,,ShRec,logmap
40,0.683307333357019,,ShRec,logmap
41,0.6132734981787291,,ShRec,logmap
42,0.6680332075927261,,ShRec,logmap
43,0.7401676305355608,,ShRec,logmap
44,0.5977415872898778,,ShRec,logmap
45,0.5362731674792095,,ShRec,logmap
46,0.594646180372096,,ShRec,logmap
47,0.7293493853525232,,ShRec,logmap
48,0.768072646731027,,ShRec,logmap
49,0.7005934699815967,,ShRec,logmap
