data_id,r,duration,method,dataset
0,0.8685361479740789,,CCA,lorenz
1,0.8604646377279427,,CCA,lorenz
2,0.8168324822378514,,CCA,lorenz
3,0.7520563491928617,,CCA,lorenz
4,0.7843805263910121,,CCA,lorenz
5,0.8824521285845975,,CCA,lorenz
6,0.6410987982102195,,CCA,lorenz
7,0.771076134638471,,CCA,lorenz
8,0.8600763215649274,,CCA,lorenz
9,0.8232481042983316,,CCA,lorenz
10,0.9086623937092131,,CCA,lorenz
11,0.7483654273684672,,CCA,lorenz
12,0.8970187536677349,,CCA,lorenz
13,0.8628650678394622,,CCA,lorenz
14,0.770176887497031,,CCA,lorenz
15,0.895217951155834,,CCA,lorenz
16,0.8257078736042912,,CCA,lorenz
17,0.7516757295271812,,CCA,lorenz
18,0.8381876556289536,,CCA,lorenz
19,0.8574248936106701,,CCA,lorenz
20,0.8628933210559234,,CCA,lorenz
21,0.6823792855865016,,CCA,lorenz
22,0.7019302384337759,,CCA,lorenz
23,0.8806831773470334,,CCA,lorenz
24,0.8864713994354082,,CCA,lorenz
25,0.8925479768882615,,CCA,lorenz
26,0.7968745659837831,,CCA,lorenz
27,0.8503483877145996,,CCA,lorenz
28,0.772025030087686,,CCA,lorenz
29,0.741792377021952,,CCA,lorenz
30,0.8428034934423834,,CCA,lorenz
31,0.8965493892736704,,CCA,lorenz
32,0.8127202814221933,,CCA,lorenz
33,0.8394977038944926,,CCA,lorenz
34,0.8798058924121169,,CCA,lorenz
35,0.564756149250047,,CCA,lorenz
36,0.8335580783062154,,CCA,lorenz
37,0.8888072903468265,,CCA,lorenz
38,0.8160803200204535,,CCA,lorenz
39,0.8772841917728582,,CCA,lorenz
40,0.892419476800443,,CCA,lorenz
41,0.8053003899184544,,CCA,lorenz
42,0.9032338363438727,,CCA,lorenz
43,0.7631054874840819,,CCA,lorenz
44,0.6654897019673167,,CCA,lorenz
45,0.7768711562086745,,CCA,lorenz
46,0.8936078718604232,,CCA,lorenz
47,0.5001521730119619,,CCA,lorenz
48,0.8383705318959174,,CCA,lorenz
49,0.8437581986886477,,CCA,lorenz
