data_id,r,duration,method,dataset
0,0.5724833725619353,,DCA,lorenz
1,0.5249388283840132,,DCA,lorenz
2,0.7103482861489947,,DCA,lorenz
3,0.4068387133947653,,DCA,lorenz
4,0.4268773997085737,,DCA,lorenz
5,0.44354089063603974,,DCA,lorenz
6,0.15163069967951157,,DCA,lorenz
7,0.5995148379588228,,DCA,lorenz
8,0.4936021936104756,,DCA,lorenz
9,0.5808218667199002,,DCA,lorenz
10,0.7941557979951888,,DCA,lorenz
11,0.6937494532494735,,DCA,lorenz
12,0.35304618569583335,,DCA,lorenz
13,0.7009983774542342,,DCA,lorenz
14,0.29580066546198486,,DCA,lorenz
15,0.4725854469354711,,DCA,lorenz
16,0.7018453212465483,,DCA,lorenz
17,0.14158020293990634,,DCA,lorenz
18,0.17390264133121547,,DCA,lorenz
19,0.7473672194786728,,DCA,lorenz
20,0.6996880797693266,,DCA,lorenz
21,0.5271204448192507,,DCA,lorenz
22,0.1876444284865747,,DCA,lorenz
23,0.7506981841473629,,DCA,lorenz
24,0.6296688199574535,,DCA,lorenz
25,0.8692829430782865,,DCA,lorenz
26,0.43175501370047836,,DCA,lorenz
27,0.7452161542285506,,DCA,lorenz
28,0.2556820079743334,,DCA,lorenz
29,0.2470580581951681,,DCA,lorenz
30,0.4723425697051992,,DCA,lorenz
31,0.8987621002081774,,DCA,lorenz
32,0.3020169854158965,,DCA,lorenz
33,0.30263139553663027,,DCA,lorenz
34,0.48103020599282276,,DCA,lorenz
35,0.365745111553452,,DCA,lorenz
36,0.2448093736022425,,DCA,lorenz
37,0.7546006536691688,,DCA,lorenz
38,0.24638894880839807,,DCA,lorenz
39,0.5289182171709303,,DCA,lorenz
40,0.6990259373696683,,DCA,lorenz
41,0.5108779744633888,,DCA,lorenz
42,0.694216764014765,,DCA,lorenz
43,0.6407338651300408,,DCA,lorenz
44,0.20484646291970976,,DCA,lorenz
45,0.20324954497889286,,DCA,lorenz
46,0.7519531887142905,,DCA,lorenz
47,0.1714687475632399,,DCA,lorenz
48,0.7987243394777914,,DCA,lorenz
49,0.6588414026801346,,DCA,lorenz
