data_id,r,duration,method,dataset
0,0.9313326846451971,,DCCA,lorenz
1,0.9254527542637198,,DCCA,lorenz
2,0.9094744140185952,,DCCA,lorenz
3,0.9063093664672839,,DCCA,lorenz
4,0.9156439286606223,,DCCA,lorenz
5,0.946632232621126,,DCCA,lorenz
6,0.8913353546855218,,DCCA,lorenz
7,0.9061155331878622,,DCCA,lorenz
8,0.931594675858174,,DCCA,lorenz
9,0.9134119092800561,,DCCA,lorenz
10,0.9501952635272036,,DCCA,lorenz
11,0.9008251542033393,,DCCA,lorenz
12,0.9452763924029827,,DCCA,lorenz
13,0.9156403731286729,,DCCA,lorenz
14,0.9199328953047465,,DCCA,lorenz
15,0.9467541715377394,,DCCA,lorenz
16,0.9209938060371426,,DCCA,lorenz
17,0.9060078333207559,,DCCA,lorenz
18,0.9341890387682171,,DCCA,lorenz
19,0.9239400424983135,,DCCA,lorenz
20,0.9421274055822124,,DCCA,lorenz
21,0.8894305042999328,,DCCA,lorenz
22,0.9042375679387541,,DCCA,lorenz
23,0.9321043238734086,,DCCA,lorenz
24,0.9420664983322169,,DCCA,lorenz
25,0.9421821920730791,,DCCA,lorenz
26,0.9197190451168932,,DCCA,lorenz
27,0.9193219051701382,,DCCA,lorenz
28,0.9137133238169984,,DCCA,lorenz
29,0.9189668848026961,,DCCA,lorenz
30,0.9299403380519918,,DCCA,lorenz
31,0.9357213216595901,,DCCA,lorenz
32,0.10991875536447922,,DCCA,lorenz
33,0.9365121147936566,,DCCA,lorenz
34,0.946811183849415,,DCCA,lorenz
35,0.865810761460667,,DCCA,lorenz
36,0.9338523929493763,,DCCA,lorenz
37,0.9349846728129729,,DCCA,lorenz
38,0.9311459255150062,,DCCA,lorenz
39,0.934733469812484,,DCCA,lorenz
40,0.9389979766703502,,DCCA,lorenz
41,0.9138886264275466,,DCCA,lorenz
42,0.943022139059623,,DCCA,lorenz
43,0.9053329309932231,,DCCA,lorenz
44,0.9118420337819577,,DCCA,lorenz
45,0.921027211790604,,DCCA,lorenz
46,0.9384155643690496,,DCCA,lorenz
47,0.884944097385663,,DCCA,lorenz
48,0.9089389996421784,,DCCA,lorenz
49,0.9258647992805488,,DCCA,lorenz
