data_id,r,duration,method,dataset
0,0.7995313056749396,,ICA,lorenz
1,0.5554682615992208,,ICA,lorenz
2,0.6057781239010085,,ICA,lorenz
3,0.552635101500036,,ICA,lorenz
4,0.5435021385581056,,ICA,lorenz
5,0.5926390816389899,,ICA,lorenz
6,0.546055586598226,,ICA,lorenz
7,0.6376481012562838,,ICA,lorenz
8,0.6443657955271809,,ICA,lorenz
9,0.5646210073142716,,ICA,lorenz
10,0.8139390775591042,,ICA,lorenz
11,0.6922333224140227,,ICA,lorenz
12,0.7897169292784243,,ICA,lorenz
13,0.665268881109652,,ICA,lorenz
14,0.5217900094415402,,ICA,lorenz
15,0.7476989377914581,,ICA,lorenz
16,0.5337797174604393,,ICA,lorenz
17,0.7021413299457501,,ICA,lorenz
18,0.6058291107479,,ICA,lorenz
19,0.7956895285268292,,ICA,lorenz
20,0.5549192082435552,,ICA,lorenz
21,0.5934851026098805,,ICA,lorenz
22,0.4744981975418974,,ICA,lorenz
23,0.6749131145307167,,ICA,lorenz
24,0.7942568367700137,,ICA,lorenz
25,0.5640520433353094,,ICA,lorenz
26,0.5447433914690151,,ICA,lorenz
27,0.6888269979722408,,ICA,lorenz
28,0.6771755598743993,,ICA,lorenz
29,0.5137742474859508,,ICA,lorenz
30,0.5546487317745649,,ICA,lorenz
31,0.6490370307615704,,ICA,lorenz
32,0.6183585689361089,,ICA,lorenz
33,0.5618825235649739,,ICA,lorenz
34,0.6332220619895556,,ICA,lorenz
35,0.4134122482396499,,ICA,lorenz
36,0.6706837095989509,,ICA,lorenz
37,0.7858395741953738,,ICA,lorenz
38,0.5492832997679725,,ICA,lorenz
39,0.7227150676341342,,ICA,lorenz
40,0.7861467628859375,,ICA,lorenz
41,0.6355776544267803,,ICA,lorenz
42,0.809036675665036,,ICA,lorenz
43,0.5907826227970925,,ICA,lorenz
44,0.5304743532306377,,ICA,lorenz
45,0.5638191650628315,,ICA,lorenz
46,0.5802473981530294,,ICA,lorenz
47,0.36714740151945335,,ICA,lorenz
48,0.7268790499843754,,ICA,lorenz
49,0.5249167012703364,,ICA,lorenz
