data_id,r,duration,method,dataset
0,0.09156857863159173,,KPCA,lorenz
1,0.06841109197435072,,KPCA,lorenz
2,0.1900568771552947,,KPCA,lorenz
3,0.12208955478070779,,KPCA,lorenz
4,0.12010004397566133,,KPCA,lorenz
5,0.10258994319119881,,KPCA,lorenz
6,0.10706385878764674,,KPCA,lorenz
7,0.12942467684249928,,KPCA,lorenz
8,0.07412218477152814,,KPCA,lorenz
9,0.0865647610027196,,KPCA,lorenz
10,0.11651300343767015,,KPCA,lorenz
11,0.22568723316369665,,KPCA,lorenz
12,0.15024268843964025,,KPCA,lorenz
13,0.11923939298317623,,KPCA,lorenz
14,0.12868576921894453,,KPCA,lorenz
15,0.14399057022417136,,KPCA,lorenz
16,0.18095669034157771,,KPCA,lorenz
17,0.10698258587911126,,KPCA,lorenz
18,0.121848333070714,,KPCA,lorenz
19,0.06700118687791196,,KPCA,lorenz
20,0.16453521717249728,,KPCA,lorenz
21,0.0863286505196329,,KPCA,lorenz
22,0.0999063344005604,,KPCA,lorenz
23,0.21581516056472227,,KPCA,lorenz
24,0.13337872033312217,,KPCA,lorenz
25,0.2705637634960641,,KPCA,lorenz
26,0.09280225623580984,,KPCA,lorenz
27,0.13451169166732238,,KPCA,lorenz
28,0.0766273612556327,,KPCA,lorenz
29,0.09099916984816868,,KPCA,lorenz
30,0.12939197245760575,,KPCA,lorenz
31,0.21912361592947932,,KPCA,lorenz
32,0.07289967837424415,,KPCA,lorenz
33,0.11131218397923782,,KPCA,lorenz
34,0.110639734314026,,KPCA,lorenz
35,0.11362569954610774,,KPCA,lorenz
36,0.10423411558649297,,KPCA,lorenz
37,0.10620687291651952,,KPCA,lorenz
38,0.07878946368536387,,KPCA,lorenz
39,0.08645142472878317,,KPCA,lorenz
40,0.07589546467497472,,KPCA,lorenz
41,0.07495454623497341,,KPCA,lorenz
42,0.12884823487553398,,KPCA,lorenz
43,0.14208034498911848,,KPCA,lorenz
44,0.09996843509051047,,KPCA,lorenz
45,0.088091983434323,,KPCA,lorenz
46,0.22763477700848325,,KPCA,lorenz
47,0.07713164301477109,,KPCA,lorenz
48,0.2975993803304637,,KPCA,lorenz
49,0.129940412682152,,KPCA,lorenz
