data_id,r,duration,method,dataset
0,0.10184299683618117,,Random,lorenz
1,0.0879749774893463,,Random,lorenz
2,0.10292806109768064,,Random,lorenz
3,0.0976412225540857,,Random,lorenz
4,0.08329400596132382,,Random,lorenz
5,0.10009853705227187,,Random,lorenz
6,0.09691348395632915,,Random,lorenz
7,0.08516386669499025,,Random,lorenz
8,0.10906130098952481,,Random,lorenz
9,0.08960117513720671,,Random,lorenz
10,0.0986123807301945,,Random,lorenz
11,0.10637269819841873,,Random,lorenz
12,0.10243989067521445,,Random,lorenz
13,0.10114425160315998,,Random,lorenz
14,0.0806410410679574,,Random,lorenz
15,0.10276841115438759,,Random,lorenz
16,0.08079388419925433,,Random,lorenz
17,0.09762599419176679,,Random,lorenz
18,0.08906066990192589,,Random,lorenz
19,0.09696723203648158,,Random,lorenz
20,0.10187900615476987,,Random,lorenz
21,0.09172453343309345,,Random,lorenz
22,0.09994851235165104,,Random,lorenz
23,0.08749419289640592,,Random,lorenz
24,0.0990558611958125,,Random,lorenz
25,0.09216367922526751,,Random,lorenz
26,0.09158180471036806,,Random,lorenz
27,0.08649967207257372,,Random,lorenz
28,0.09891471591135044,,Random,lorenz
29,0.09763360834784533,,Random,lorenz
30,0.09517007841358581,,Random,lorenz
31,0.10171877733721522,,Random,lorenz
32,0.10745093766016002,,Random,lorenz
33,0.09144421887645128,,Random,lorenz
34,0.09602688627956765,,Random,lorenz
35,0.10001128790803471,,Random,lorenz
36,0.09758221167647627,,Random,lorenz
37,0.10843365241308833,,Random,lorenz
38,0.0829543809587312,,Random,lorenz
39,0.09699068287821058,,Random,lorenz
40,0.09201160775687976,,Random,lorenz
41,0.09602096259277955,,Random,lorenz
42,0.09269979916685173,,Random,lorenz
43,0.09751091224049777,,Random,lorenz
44,0.11043554831051357,,Random,lorenz
45,0.10775007065094885,,Random,lorenz
46,0.1008638562433038,,Random,lorenz
47,0.09611100911327554,,Random,lorenz
48,0.10606954872338217,,Random,lorenz
49,0.1045744413344512,,Random,lorenz
