data_id,r,duration,method,dataset
0,0.7726440859517572,,SFA,lorenz
1,0.5875759446490378,,SFA,lorenz
2,0.5677496694120521,,SFA,lorenz
3,0.5836780785961503,,SFA,lorenz
4,0.6107319335131229,,SFA,lorenz
5,0.7677736305698483,,SFA,lorenz
6,0.41838427507805365,,SFA,lorenz
7,0.7280593694913539,,SFA,lorenz
8,0.6779001694835332,,SFA,lorenz
9,0.6745701527333218,,SFA,lorenz
10,0.7946677019766475,,SFA,lorenz
11,0.7712736556579436,,SFA,lorenz
12,0.7876160338800144,,SFA,lorenz
13,0.8995151914521762,,SFA,lorenz
14,0.6219821515870094,,SFA,lorenz
15,0.7537177213667677,,SFA,lorenz
16,0.8463599133430959,,SFA,lorenz
17,0.6804145159856729,,SFA,lorenz
18,0.8327197123898251,,SFA,lorenz
19,0.7756078175536725,,SFA,lorenz
20,0.6849291551209507,,SFA,lorenz
21,0.6117758535921245,,SFA,lorenz
22,0.6241679576675023,,SFA,lorenz
23,0.846468755889571,,SFA,lorenz
24,0.6078306225190632,,SFA,lorenz
25,0.8557648006689689,,SFA,lorenz
26,0.6762794366086649,,SFA,lorenz
27,0.8029955564038189,,SFA,lorenz
28,0.6769307116539773,,SFA,lorenz
29,0.6739061821722331,,SFA,lorenz
30,0.6812670919662306,,SFA,lorenz
31,0.9152533822932258,,SFA,lorenz
32,0.695690291829983,,SFA,lorenz
33,0.774612386948407,,SFA,lorenz
34,0.6793459622931136,,SFA,lorenz
35,0.5403803745302341,,SFA,lorenz
36,0.8264209508768858,,SFA,lorenz
37,0.8611772353037241,,SFA,lorenz
38,0.7690516032950481,,SFA,lorenz
39,0.7005044650184079,,SFA,lorenz
40,0.8322253695598816,,SFA,lorenz
41,0.5995320781147014,,SFA,lorenz
42,0.796322398842404,,SFA,lorenz
43,0.6460047393861011,,SFA,lorenz
44,0.6442730239027732,,SFA,lorenz
45,0.7680145792409843,,SFA,lorenz
46,0.9118147996329554,,SFA,lorenz
47,0.20926780443070275,,SFA,lorenz
48,0.7820255478121615,,SFA,lorenz
49,0.7912253766998071,,SFA,lorenz
