data_id,r,duration,method,dataset
0,0.5914302799174058,,ShRec,lorenz
1,0.12238253208055024,,ShRec,lorenz
2,0.43600887343940564,,ShRec,lorenz
3,0.4398292279307811,,ShRec,lorenz
4,0.3890188516726836,,ShRec,lorenz
5,0.18972067086047228,,ShRec,lorenz
6,0.03803231494984847,,ShRec,lorenz
7,0.6042893246515819,,ShRec,lorenz
8,0.31748502693227815,,ShRec,lorenz
9,0.484121653425231,,ShRec,lorenz
10,0.3972945218739398,,ShRec,lorenz
11,0.09010427902502353,,ShRec,lorenz
12,0.15475285220738558,,ShRec,lorenz
13,0.25540397312083696,,ShRec,lorenz
14,0.0944100171172363,,ShRec,lorenz
15,0.11960225398663986,,ShRec,lorenz
16,0.14095960795955104,,ShRec,lorenz
17,0.09310225543542205,,ShRec,lorenz
18,0.18002543040394428,,ShRec,lorenz
19,0.12748478950745523,,ShRec,lorenz
20,0.6012492248541023,,ShRec,lorenz
21,0.48377764638683324,,ShRec,lorenz
22,0.06089652854887111,,ShRec,lorenz
23,0.5470140360490734,,ShRec,lorenz
24,0.6025288391934139,,ShRec,lorenz
25,0.19733415549982636,,ShRec,lorenz
26,0.26251516637668854,,ShRec,lorenz
27,0.2725154837100158,,ShRec,lorenz
28,0.11845503484273799,,ShRec,lorenz
29,0.17752727564079368,,ShRec,lorenz
30,0.2473837261073892,,ShRec,lorenz
31,0.06359314692761316,,ShRec,lorenz
32,0.3093107161313312,,ShRec,lorenz
33,0.23062199558761956,,ShRec,lorenz
34,0.3346995471379036,,ShRec,lorenz
35,0.25953918020186556,,ShRec,lorenz
36,0.1852792034153412,,ShRec,lorenz
37,0.15662775613900326,,ShRec,lorenz
38,0.1786743221141368,,ShRec,lorenz
39,0.39811288265625183,,ShRec,lorenz
40,0.2681426750225947,,ShRec,lorenz
41,0.3590114926728312,,ShRec,lorenz
42,0.13343584918597673,,ShRec,lorenz
43,0.3738146690543364,,ShRec,lorenz
44,0.08683704534646372,,ShRec,lorenz
45,0.10865783555473867,,ShRec,lorenz
46,0.15648959343939312,,ShRec,lorenz
47,0.12086831570190007,,ShRec,lorenz
48,0.5235777236704979,,ShRec,lorenz
49,0.2652799765118385,,ShRec,lorenz
