,coefs,wcomp,n_components,method,dataset
0,0.08298402451457797,1,1,DCA,lorenz
1,0.1648622096406531,1,1,DCA,lorenz
2,0.05812256682011031,1,1,DCA,lorenz
3,0.09584616072130472,1,1,DCA,lorenz
4,0.1263458766788876,1,1,DCA,lorenz
5,0.13837563714507442,1,1,DCA,lorenz
6,0.19203733696706793,1,1,DCA,lorenz
7,0.12926181801501652,1,1,DCA,lorenz
8,0.5700192937537556,1,1,DCA,lorenz
9,0.3447650446297758,1,1,DCA,lorenz
10,0.09599818693475885,1,1,DCA,lorenz
11,0.1561691930744533,1,1,DCA,lorenz
12,0.24987248150133556,1,1,DCA,lorenz
13,0.14943107316784246,1,1,DCA,lorenz
14,0.09142357159390171,1,1,DCA,lorenz
15,0.18586884831640207,1,1,DCA,lorenz
16,0.08821617177823399,1,1,DCA,lorenz
17,0.1610692652950197,1,1,DCA,lorenz
18,0.1047216919739073,1,1,DCA,lorenz
19,0.0696351782939568,1,1,DCA,lorenz
20,0.08639170809311982,1,1,DCA,lorenz
21,0.07113686793636229,1,1,DCA,lorenz
22,0.10666161765468564,1,1,DCA,lorenz
23,0.06064871140224957,1,1,DCA,lorenz
24,0.12984511546145389,1,1,DCA,lorenz
25,0.06406706907864992,1,1,DCA,lorenz
26,0.165117484673598,1,1,DCA,lorenz
27,0.12885321858167748,1,1,DCA,lorenz
28,0.2024311833306114,1,1,DCA,lorenz
29,0.10960026741790292,1,1,DCA,lorenz
30,0.10877174926004451,1,1,DCA,lorenz
31,0.11887070116393611,1,1,DCA,lorenz
32,0.08640981650397792,1,1,DCA,lorenz
33,0.21357833075355837,1,1,DCA,lorenz
34,0.13004166459428365,1,1,DCA,lorenz
35,0.1673561112213457,1,1,DCA,lorenz
36,0.14357641615766656,1,1,DCA,lorenz
37,0.09030144697513773,1,1,DCA,lorenz
38,0.22077023395232193,1,1,DCA,lorenz
39,0.22309568636549962,1,1,DCA,lorenz
40,0.08809321889443218,1,1,DCA,lorenz
41,0.24671243860603764,1,1,DCA,lorenz
42,0.1892821656568418,1,1,DCA,lorenz
43,0.06797372742609431,1,1,DCA,lorenz
44,0.08411749560034106,1,1,DCA,lorenz
45,0.08464984754006695,1,1,DCA,lorenz
46,0.05728742567564915,1,1,DCA,lorenz
47,0.0763672313221838,1,1,DCA,lorenz
48,0.0629533679631952,1,1,DCA,lorenz
49,0.05657499594303099,1,1,DCA,lorenz
0,0.08684419617273229,1,2,DCA,lorenz
1,0.1587058687396932,2,2,DCA,lorenz
2,0.5997794563311826,1,2,DCA,lorenz
3,0.10504522302938495,2,2,DCA,lorenz
4,0.12466030022012702,1,2,DCA,lorenz
5,0.15752771661488835,2,2,DCA,lorenz
6,0.1904410838053901,1,2,DCA,lorenz
7,0.134738009272577,1,2,DCA,lorenz
8,0.44362029036640854,1,2,DCA,lorenz
9,0.315509230658026,1,2,DCA,lorenz
10,0.330000416043305,1,2,DCA,lorenz
11,0.13068929809188756,2,2,DCA,lorenz
12,0.26012580320817336,1,2,DCA,lorenz
13,0.10526730515073472,1,2,DCA,lorenz
14,0.14251609942831628,1,2,DCA,lorenz
15,0.18676352681136962,1,2,DCA,lorenz
16,0.07597472370657309,1,2,DCA,lorenz
17,0.20581607554616607,2,2,DCA,lorenz
18,0.10287257797792711,2,2,DCA,lorenz
19,0.07407702283957945,2,2,DCA,lorenz
20,0.07462499777145175,1,2,DCA,lorenz
21,0.0814629386101413,2,2,DCA,lorenz
22,0.09751012695804959,2,2,DCA,lorenz
23,0.4802036108627187,2,2,DCA,lorenz
24,0.4618747381860804,2,2,DCA,lorenz
25,0.4194520160497026,1,2,DCA,lorenz
26,0.07333347045992841,2,2,DCA,lorenz
27,0.15281237642609385,2,2,DCA,lorenz
28,0.1610568743707122,1,2,DCA,lorenz
29,0.11592906595641554,1,2,DCA,lorenz
30,0.1883190980762703,2,2,DCA,lorenz
31,0.16651030540469447,2,2,DCA,lorenz
32,0.12302314577604255,2,2,DCA,lorenz
33,0.19422913167376069,2,2,DCA,lorenz
34,0.23350083530015875,2,2,DCA,lorenz
35,0.11446128982303684,1,2,DCA,lorenz
36,0.18814978666465745,2,2,DCA,lorenz
37,0.09411602256136489,1,2,DCA,lorenz
38,0.23068379334258088,1,2,DCA,lorenz
39,0.19857689137052192,1,2,DCA,lorenz
40,0.10296911740485931,2,2,DCA,lorenz
41,0.3033713351759207,1,2,DCA,lorenz
42,0.1759845482177671,2,2,DCA,lorenz
43,0.08596961585732436,2,2,DCA,lorenz
44,0.12496195414491991,2,2,DCA,lorenz
45,0.09261373962852401,1,2,DCA,lorenz
46,0.06041646112578964,1,2,DCA,lorenz
47,0.1270862650864198,2,2,DCA,lorenz
48,0.06317087423617399,2,2,DCA,lorenz
49,0.3355432814305311,1,2,DCA,lorenz
0,0.09795279507214341,1,3,DCA,lorenz
1,0.2038517081969199,2,3,DCA,lorenz
2,0.2764204898732659,3,3,DCA,lorenz
3,0.33949495838190663,3,3,DCA,lorenz
4,0.11594411052960547,2,3,DCA,lorenz
5,0.13801839989080308,2,3,DCA,lorenz
6,0.14792509900395953,3,3,DCA,lorenz
7,0.1320999740008671,1,3,DCA,lorenz
8,0.4194275643709734,3,3,DCA,lorenz
9,0.2720922975648264,2,3,DCA,lorenz
10,0.1861431569472823,1,3,DCA,lorenz
11,0.12203090697475331,1,3,DCA,lorenz
12,0.3841802802256325,2,3,DCA,lorenz
13,0.1056144475176435,2,3,DCA,lorenz
14,0.09934783156931395,3,3,DCA,lorenz
15,0.4607166029370901,3,3,DCA,lorenz
16,0.11360863868124221,2,3,DCA,lorenz
17,0.17438762952998327,3,3,DCA,lorenz
18,0.21675694299608717,3,3,DCA,lorenz
19,0.08751771627043133,2,3,DCA,lorenz
20,0.20192465908598406,3,3,DCA,lorenz
21,0.0802864374791818,1,3,DCA,lorenz
22,0.11289704308190979,3,3,DCA,lorenz
23,0.2013997647965182,3,3,DCA,lorenz
24,0.5391216505669105,1,3,DCA,lorenz
25,0.30477940133471415,2,3,DCA,lorenz
26,0.2062634951770457,3,3,DCA,lorenz
27,0.11273658200241851,1,3,DCA,lorenz
28,0.28927036983129,1,3,DCA,lorenz
29,0.11963391912476094,3,3,DCA,lorenz
30,0.2904434613919651,1,3,DCA,lorenz
31,0.1406701940733624,2,3,DCA,lorenz
32,0.0961670232394122,3,3,DCA,lorenz
33,0.24481850754974224,3,3,DCA,lorenz
34,0.39660606770012846,1,3,DCA,lorenz
35,0.16537421301394953,2,3,DCA,lorenz
36,0.26481707874765315,3,3,DCA,lorenz
37,0.11008516322231181,3,3,DCA,lorenz
38,0.22613066615727714,2,3,DCA,lorenz
39,0.24046401019842364,3,3,DCA,lorenz
40,0.09705091001082988,2,3,DCA,lorenz
41,0.3079547055898388,3,3,DCA,lorenz
42,0.1872838100666124,1,3,DCA,lorenz
43,0.09315693485210752,1,3,DCA,lorenz
44,0.11979751716419115,2,3,DCA,lorenz
45,0.08379049763631355,1,3,DCA,lorenz
46,0.32923161956605285,2,3,DCA,lorenz
47,0.1343231153069689,3,3,DCA,lorenz
48,0.0881848123675935,3,3,DCA,lorenz
49,0.1003806159020964,2,3,DCA,lorenz
0,0.09757662993322105,1,4,DCA,lorenz
1,0.23762525689973932,4,4,DCA,lorenz
2,0.2544571195970753,4,4,DCA,lorenz
3,0.41998693223474853,4,4,DCA,lorenz
4,0.12551831689665566,3,4,DCA,lorenz
5,0.3612153694876077,2,4,DCA,lorenz
6,0.21440394908272226,3,4,DCA,lorenz
7,0.11579571565440108,3,4,DCA,lorenz
8,0.39883295855264783,3,4,DCA,lorenz
9,0.2821169390531541,2,4,DCA,lorenz
10,0.18366549018548844,2,4,DCA,lorenz
11,0.127022377904891,4,4,DCA,lorenz
12,0.4004270228857138,4,4,DCA,lorenz
13,0.09764450288216518,1,4,DCA,lorenz
14,0.21941223243599303,2,4,DCA,lorenz
15,0.4407125778511255,3,4,DCA,lorenz
16,0.10923854969663292,1,4,DCA,lorenz
17,0.18137678620793668,2,4,DCA,lorenz
18,0.19360034480935093,3,4,DCA,lorenz
19,0.08265683014342302,2,4,DCA,lorenz
20,0.2194363161096204,2,4,DCA,lorenz
21,0.08568522445290425,2,4,DCA,lorenz
22,0.19249232180896683,1,4,DCA,lorenz
23,0.20065798712551364,1,4,DCA,lorenz
24,0.46287983120379456,2,4,DCA,lorenz
25,0.27870131143475985,4,4,DCA,lorenz
26,0.3547419096041154,4,4,DCA,lorenz
27,0.10115772165348191,3,4,DCA,lorenz
28,0.21850979251148706,4,4,DCA,lorenz
29,0.12645871358550334,1,4,DCA,lorenz
30,0.40851893675952905,3,4,DCA,lorenz
31,0.2688382790515154,1,4,DCA,lorenz
32,0.31101279334272647,4,4,DCA,lorenz
33,0.2866506894656266,4,4,DCA,lorenz
34,0.28170005299938267,4,4,DCA,lorenz
35,0.26970296088553586,3,4,DCA,lorenz
36,0.27605599458976326,3,4,DCA,lorenz
37,0.11169995192428434,1,4,DCA,lorenz
38,0.17372162239278624,2,4,DCA,lorenz
39,0.3597314202629807,2,4,DCA,lorenz
40,0.09458004836923038,2,4,DCA,lorenz
41,0.5759768968167076,2,4,DCA,lorenz
42,0.17271718028934552,2,4,DCA,lorenz
43,0.25774109052194866,3,4,DCA,lorenz
44,0.12496563538374346,1,4,DCA,lorenz
45,0.2067135497567245,3,4,DCA,lorenz
46,0.4062599816510081,1,4,DCA,lorenz
47,0.15241738138232008,4,4,DCA,lorenz
48,0.08702716711760433,3,4,DCA,lorenz
49,0.0970726714441092,1,4,DCA,lorenz
0,0.633658786964049,1,5,DCA,lorenz
1,0.4320923400400439,1,5,DCA,lorenz
2,0.6901664340727097,5,5,DCA,lorenz
3,0.32733529156074814,1,5,DCA,lorenz
4,0.5589046850931507,1,5,DCA,lorenz
5,0.34081584334637166,1,5,DCA,lorenz
6,0.19882531780159737,5,5,DCA,lorenz
7,0.6296166502502829,2,5,DCA,lorenz
8,0.6805525479059931,4,5,DCA,lorenz
9,0.5110940088048191,5,5,DCA,lorenz
10,0.7833176650669452,1,5,DCA,lorenz
11,0.6857770112723242,3,5,DCA,lorenz
12,0.389854452796684,4,5,DCA,lorenz
13,0.7956417721323219,2,5,DCA,lorenz
14,0.25833607951851806,5,5,DCA,lorenz
15,0.3721964900433474,5,5,DCA,lorenz
16,0.6623745535150661,2,5,DCA,lorenz
17,0.17069677316881604,1,5,DCA,lorenz
18,0.22334915090250304,2,5,DCA,lorenz
19,0.7650709811929153,1,5,DCA,lorenz
20,0.4629462280378678,1,5,DCA,lorenz
21,0.35675462515098383,1,5,DCA,lorenz
22,0.20185852819524353,4,5,DCA,lorenz
23,0.7318639014795959,3,5,DCA,lorenz
24,0.6089289434327829,1,5,DCA,lorenz
25,0.791492692541438,5,5,DCA,lorenz
26,0.32007805580225346,3,5,DCA,lorenz
27,0.6086922469408014,5,5,DCA,lorenz
28,0.31173544581653423,1,5,DCA,lorenz
29,0.1583133901557278,3,5,DCA,lorenz
30,0.3293449568467919,5,5,DCA,lorenz
31,0.8414380100087376,5,5,DCA,lorenz
32,0.28112214255023726,1,5,DCA,lorenz
33,0.29186901156059814,5,5,DCA,lorenz
34,0.4950113213524979,1,5,DCA,lorenz
35,0.3575758470137584,4,5,DCA,lorenz
36,0.24245082907682475,1,5,DCA,lorenz
37,0.7042569013937761,4,5,DCA,lorenz
38,0.26829517600864394,5,5,DCA,lorenz
39,0.5056899847403191,3,5,DCA,lorenz
40,0.716524398424442,1,5,DCA,lorenz
41,0.5087812029905865,1,5,DCA,lorenz
42,0.5683178439049931,1,5,DCA,lorenz
43,0.530151867508342,4,5,DCA,lorenz
44,0.15542767162668636,3,5,DCA,lorenz
45,0.19498322339580437,4,5,DCA,lorenz
46,0.8648318071480723,3,5,DCA,lorenz
47,0.21191196117901678,5,5,DCA,lorenz
48,0.6604974809176287,2,5,DCA,lorenz
49,0.8168975078011373,1,5,DCA,lorenz
0,0.668967230669229,1,6,DCA,lorenz
1,0.5393631009564964,3,6,DCA,lorenz
2,0.7480045762333347,1,6,DCA,lorenz
3,0.2636476846835977,2,6,DCA,lorenz
4,0.6227283590316545,2,6,DCA,lorenz
5,0.3403825783580799,2,6,DCA,lorenz
6,0.4935850359781764,2,6,DCA,lorenz
7,0.6978131328555918,2,6,DCA,lorenz
8,0.719039226051229,6,6,DCA,lorenz
9,0.5534432815063749,3,6,DCA,lorenz
10,0.8502243893448973,2,6,DCA,lorenz
11,0.6868157988379797,4,6,DCA,lorenz
12,0.48179927812433215,4,6,DCA,lorenz
13,0.6342933256727785,5,6,DCA,lorenz
14,0.22903186939117434,1,6,DCA,lorenz
15,0.422274754218717,6,6,DCA,lorenz
16,0.8216560606796159,3,6,DCA,lorenz
17,0.35391411008288226,2,6,DCA,lorenz
18,0.302128856312929,3,6,DCA,lorenz
19,0.662974977591395,5,6,DCA,lorenz
20,0.5505160270030901,5,6,DCA,lorenz
21,0.38321401340324696,4,6,DCA,lorenz
22,0.3299980440863984,1,6,DCA,lorenz
23,0.8621027598332713,2,6,DCA,lorenz
24,0.7885442969152293,1,6,DCA,lorenz
25,0.874625935482691,1,6,DCA,lorenz
