,coefs,wcomp,n_components,method,dataset
0,0.5159441157692101,1,1,ICA,lorenz
1,0.209022686097216,1,1,ICA,lorenz
2,0.7457092372245872,1,1,ICA,lorenz
3,0.10931848978719368,1,1,ICA,lorenz
4,0.3938807096572053,1,1,ICA,lorenz
5,0.27118371123321666,1,1,ICA,lorenz
6,0.1084782711678003,1,1,ICA,lorenz
7,0.6257567540562943,1,1,ICA,lorenz
8,0.6429050608624441,1,1,ICA,lorenz
9,0.49475903649620306,1,1,ICA,lorenz
10,0.7013264200766379,1,1,ICA,lorenz
11,0.5808447981718223,1,1,ICA,lorenz
12,0.38243248209498193,1,1,ICA,lorenz
13,0.5188769323040007,1,1,ICA,lorenz
14,0.1425612568466328,1,1,ICA,lorenz
15,0.3758763233076778,1,1,ICA,lorenz
16,0.7244736355912477,1,1,ICA,lorenz
17,0.1553934704404515,1,1,ICA,lorenz
18,0.22939707439832352,1,1,ICA,lorenz
19,0.1634504873100823,1,1,ICA,lorenz
20,0.501528916562056,1,1,ICA,lorenz
21,0.22016088669709585,1,1,ICA,lorenz
22,0.14081707380682137,1,1,ICA,lorenz
23,0.8002443864967975,1,1,ICA,lorenz
24,0.6648587750153201,1,1,ICA,lorenz
25,0.7510441183746085,1,1,ICA,lorenz
26,0.27560744901577955,1,1,ICA,lorenz
27,0.48588721433603593,1,1,ICA,lorenz
28,0.2821039037998077,1,1,ICA,lorenz
29,0.1279706913538003,1,1,ICA,lorenz
30,0.36208758720833695,1,1,ICA,lorenz
31,0.5634004872967655,1,1,ICA,lorenz
32,0.19823413229508385,1,1,ICA,lorenz
33,0.25499221519553444,1,1,ICA,lorenz
34,0.3933506100027273,1,1,ICA,lorenz
35,0.23311494774760513,1,1,ICA,lorenz
36,0.19107142455992088,1,1,ICA,lorenz
37,0.37893870736122093,1,1,ICA,lorenz
38,0.21004022547262666,1,1,ICA,lorenz
39,0.38996539854875195,1,1,ICA,lorenz
40,0.6054013472925739,1,1,ICA,lorenz
41,0.45275793803923386,1,1,ICA,lorenz
42,0.32813265631460287,1,1,ICA,lorenz
43,0.450154840516707,1,1,ICA,lorenz
44,0.09664462206746526,1,1,ICA,lorenz
45,0.21277847444500964,1,1,ICA,lorenz
46,0.7113610121947617,1,1,ICA,lorenz
47,0.10375245242013495,1,1,ICA,lorenz
48,0.8081383651298151,1,1,ICA,lorenz
49,0.7181527886383074,1,1,ICA,lorenz
0,0.6182909181860825,2,2,ICA,lorenz
1,0.5138779072382312,2,2,ICA,lorenz
2,0.747527936485108,1,2,ICA,lorenz
3,0.32343949346682066,2,2,ICA,lorenz
4,0.5485054392090537,2,2,ICA,lorenz
5,0.22829735621860023,1,2,ICA,lorenz
6,0.19421992862049767,2,2,ICA,lorenz
7,0.629731001993957,1,2,ICA,lorenz
8,0.6440523927882726,1,2,ICA,lorenz
9,0.42399462736078164,2,2,ICA,lorenz
10,0.6389782328285263,1,2,ICA,lorenz
11,0.7201405295735861,1,2,ICA,lorenz
12,0.3033779417694975,2,2,ICA,lorenz
13,0.7339395585095164,2,2,ICA,lorenz
14,0.1345632934940857,1,2,ICA,lorenz
15,0.33294954436400365,1,2,ICA,lorenz
16,0.7456363777573608,2,2,ICA,lorenz
17,0.1426339545989031,1,2,ICA,lorenz
18,0.23110872957737846,1,2,ICA,lorenz
19,0.7362601059361766,2,2,ICA,lorenz
20,0.5104382797955709,1,2,ICA,lorenz
21,0.3856807272619149,2,2,ICA,lorenz
22,0.13990826658666397,1,2,ICA,lorenz
23,0.7632777957502389,1,2,ICA,lorenz
24,0.6645651161665724,1,2,ICA,lorenz
25,0.7094067572490775,1,2,ICA,lorenz
26,0.27336511398884566,1,2,ICA,lorenz
27,0.6704918819362965,2,2,ICA,lorenz
28,0.2179962891923406,2,2,ICA,lorenz
29,0.11337118169867702,1,2,ICA,lorenz
30,0.38680755153403285,1,2,ICA,lorenz
31,0.8829501675074752,2,2,ICA,lorenz
32,0.18703561875585914,1,2,ICA,lorenz
33,0.25100953751116795,1,2,ICA,lorenz
34,0.3682153673248686,2,2,ICA,lorenz
35,0.20835028751854665,1,2,ICA,lorenz
36,0.19334654697115805,2,2,ICA,lorenz
37,0.7653484549383137,2,2,ICA,lorenz
38,0.21031891282172788,1,2,ICA,lorenz
39,0.37533345391901396,2,2,ICA,lorenz
40,0.7094881828850356,2,2,ICA,lorenz
41,0.509080441474662,2,2,ICA,lorenz
42,0.7057507124779113,2,2,ICA,lorenz
43,0.4699825233141598,1,2,ICA,lorenz
44,0.12025188711097991,2,2,ICA,lorenz
45,0.21945896611355217,1,2,ICA,lorenz
46,0.7119206517352503,1,2,ICA,lorenz
47,0.12935306036612157,1,2,ICA,lorenz
48,0.8081852421645562,1,2,ICA,lorenz
49,0.715806483836586,1,2,ICA,lorenz
0,0.6179990912852029,2,3,ICA,lorenz
1,0.5135918242361959,3,3,ICA,lorenz
2,0.7473804665373558,3,3,ICA,lorenz
3,0.32347722437028575,2,3,ICA,lorenz
4,0.5489659524701571,2,3,ICA,lorenz
5,0.22886711696561576,3,3,ICA,lorenz
6,0.1954738808863666,2,3,ICA,lorenz
7,0.6300241325515534,2,3,ICA,lorenz
8,0.5014100686452394,3,3,ICA,lorenz
9,0.4229390197947622,2,3,ICA,lorenz
10,0.597096135018719,1,3,ICA,lorenz
11,0.7199447795275262,3,3,ICA,lorenz
12,0.30390502270479436,2,3,ICA,lorenz
13,0.7282340293647169,1,3,ICA,lorenz
