,coefs,wcomp,n_components,method,dataset
0,0.07289405786409896,1,1,kPCA,lorenz
1,0.10442942274891033,1,1,kPCA,lorenz
2,0.0782343356829276,1,1,kPCA,lorenz
3,0.11687537134741696,1,1,kPCA,lorenz
4,0.19326785571005267,1,1,kPCA,lorenz
5,0.0608049874634607,1,1,kPCA,lorenz
6,0.12657076237468384,1,1,kPCA,lorenz
7,0.09340628571877482,1,1,kPCA,lorenz
8,0.06531514166126105,1,1,kPCA,lorenz
9,0.09872717268031034,1,1,kPCA,lorenz
10,0.08624517577147553,1,1,kPCA,lorenz
11,0.09912611279007971,1,1,kPCA,lorenz
12,0.18782422325892878,1,1,kPCA,lorenz
13,0.0802525094734105,1,1,kPCA,lorenz
14,0.09334265792698128,1,1,kPCA,lorenz
15,0.13519246233028287,1,1,kPCA,lorenz
16,0.09248363067362657,1,1,kPCA,lorenz
17,0.10460408815227853,1,1,kPCA,lorenz
18,0.152235998476745,1,1,kPCA,lorenz
19,0.07435001571796138,1,1,kPCA,lorenz
20,0.07868250808308452,1,1,kPCA,lorenz
21,0.07452314399272675,1,1,kPCA,lorenz
22,0.17489048618166195,1,1,kPCA,lorenz
23,0.072855784679554,1,1,kPCA,lorenz
24,0.08114493673576624,1,1,kPCA,lorenz
0,0.07289405786409897,1,2,kPCA,lorenz
1,0.10442942274891034,1,2,kPCA,lorenz
2,0.21164487080077754,2,2,kPCA,lorenz
3,0.11687537134741696,1,2,kPCA,lorenz
4,0.1932678557100527,1,2,kPCA,lorenz
5,0.08988825139278717,2,2,kPCA,lorenz
6,0.12657851636752815,2,2,kPCA,lorenz
7,0.09340628571877482,1,2,kPCA,lorenz
8,0.16928809326901492,2,2,kPCA,lorenz
9,0.09872717268031014,1,2,kPCA,lorenz
10,0.08625815321134958,2,2,kPCA,lorenz
11,0.09912611279007977,1,2,kPCA,lorenz
12,0.18782422325892856,1,2,kPCA,lorenz
13,0.0802525094734105,1,2,kPCA,lorenz
14,0.0933426579269813,1,2,kPCA,lorenz
15,0.1455732604469606,2,2,kPCA,lorenz
16,0.24215183273514354,2,2,kPCA,lorenz
17,0.10460408815227852,1,2,kPCA,lorenz
18,0.1522359984767451,1,2,kPCA,lorenz
19,0.07435001571796138,1,2,kPCA,lorenz
20,0.09886835175296999,2,2,kPCA,lorenz
21,0.07452314399272675,1,2,kPCA,lorenz
22,0.1748904861816619,1,2,kPCA,lorenz
23,0.2932425381954395,2,2,kPCA,lorenz
24,0.08114493673576623,1,2,kPCA,lorenz
0,0.10719810540270831,3,3,kPCA,lorenz
1,0.10442942274891032,1,3,kPCA,lorenz
2,0.21164487080077762,2,3,kPCA,lorenz
3,0.11687537134741696,1,3,kPCA,lorenz
4,0.19326785571005273,1,3,kPCA,lorenz
5,0.08988825139278717,2,3,kPCA,lorenz
6,0.1265785163675281,2,3,kPCA,lorenz
7,0.0934062857187748,1,3,kPCA,lorenz
8,0.16928809326901514,2,3,kPCA,lorenz
9,0.09872717268031031,1,3,kPCA,lorenz
10,0.20224694698854118,3,3,kPCA,lorenz
11,0.16401426907138805,3,3,kPCA,lorenz
12,0.18782422325892853,1,3,kPCA,lorenz
13,0.08025250947341055,1,3,kPCA,lorenz
14,0.0933426579269813,1,3,kPCA,lorenz
15,0.15232078397658147,3,3,kPCA,lorenz
16,0.2421518327351382,2,3,kPCA,lorenz
17,0.1046040881522785,1,3,kPCA,lorenz
18,0.15223599847674504,1,3,kPCA,lorenz
19,0.08891769588585101,3,3,kPCA,lorenz
20,0.2303523413267627,3,3,kPCA,lorenz
21,0.07452314399272675,1,3,kPCA,lorenz
22,0.1748904861816619,1,3,kPCA,lorenz
23,0.2932425381954396,2,3,kPCA,lorenz
24,0.14413614906956404,3,3,kPCA,lorenz
0,0.10719810540270831,3,4,kPCA,lorenz
1,0.10442942274891032,1,4,kPCA,lorenz
2,0.21164487080077754,2,4,kPCA,lorenz
3,0.11687537134741695,1,4,kPCA,lorenz
4,0.19326785571005273,1,4,kPCA,lorenz
5,0.08988825139278707,2,4,kPCA,lorenz
6,0.12657851636752804,2,4,kPCA,lorenz
7,0.14762920054662923,4,4,kPCA,lorenz
8,0.16928809326901278,2,4,kPCA,lorenz
9,0.11481847729227276,4,4,kPCA,lorenz
10,0.20224694698854107,3,4,kPCA,lorenz
11,0.1684972739376257,4,4,kPCA,lorenz
12,0.18782422325892856,1,4,kPCA,lorenz
13,0.0802525094734105,1,4,kPCA,lorenz
14,0.09334265792698128,1,4,kPCA,lorenz
15,0.152320783976582,3,4,kPCA,lorenz
16,0.24215183273514693,2,4,kPCA,lorenz
17,0.10460408815227853,1,4,kPCA,lorenz
18,0.15223599847674507,1,4,kPCA,lorenz
19,0.08891769588585097,3,4,kPCA,lorenz
20,0.23035234132676283,3,4,kPCA,lorenz
21,0.07452314399272676,1,4,kPCA,lorenz
22,0.17489048618166192,1,4,kPCA,lorenz
23,0.2932425381954395,2,4,kPCA,lorenz
24,0.14413614906956415,3,4,kPCA,lorenz
0,0.10719810540270837,3,5,kPCA,lorenz
1,0.10442942274891032,1,5,kPCA,lorenz
2,0.21164487080077757,2,5,kPCA,lorenz
3,0.11687537134741696,1,5,kPCA,lorenz
4,0.19326785571005273,1,5,kPCA,lorenz
5,0.08988825139278712,2,5,kPCA,lorenz
6,0.126578516367528,2,5,kPCA,lorenz
7,0.1476292005466248,4,5,kPCA,lorenz
8,0.16928809326901614,2,5,kPCA,lorenz
9,0.11481847729227312,4,5,kPCA,lorenz
10,0.2022469469885411,3,5,kPCA,lorenz
11,0.16849727393762604,4,5,kPCA,lorenz
12,0.18782422325892847,1,5,kPCA,lorenz
13,0.08025250947341052,1,5,kPCA,lorenz
14,0.09334265792698129,1,5,kPCA,lorenz
15,0.15232078397658294,3,5,kPCA,lorenz
16,0.24215183273513896,2,5,kPCA,lorenz
17,0.11586662280879616,5,5,kPCA,lorenz
18,0.1522359984767451,1,5,kPCA,lorenz
19,0.10753600880969931,5,5,kPCA,lorenz
20,0.23035234132676297,3,5,kPCA,lorenz
21,0.08292734556092764,5,5,kPCA,lorenz
22,0.17489048618166195,1,5,kPCA,lorenz
23,0.29324253819544044,2,5,kPCA,lorenz
24,0.14413614906956418,3,5,kPCA,lorenz
0,0.10719810540270847,3,6,kPCA,lorenz
1,0.1378078808877236,6,6,kPCA,lorenz
2,0.21164487080077757,2,6,kPCA,lorenz
3,0.11687537134741696,1,6,kPCA,lorenz
4,0.19326785571005267,1,6,kPCA,lorenz
5,0.08988825139278729,2,6,kPCA,lorenz
