,coefs,wcomp,n_components,method,dataset
0,0.5159441157692095,1,1,PCA,lorenz
1,0.20902268609721622,1,1,PCA,lorenz
2,0.7457092372245872,1,1,PCA,lorenz
3,0.10931848978719366,1,1,PCA,lorenz
4,0.39388070965720484,1,1,PCA,lorenz
5,0.27118371123321666,1,1,PCA,lorenz
6,0.10847827116780029,1,1,PCA,lorenz
7,0.6257567540562942,1,1,PCA,lorenz
8,0.6429050608624444,1,1,PCA,lorenz
9,0.49475903649620295,1,1,PCA,lorenz
10,0.7013264200766381,1,1,PCA,lorenz
11,0.580844798171824,1,1,PCA,lorenz
12,0.38243248209498215,1,1,PCA,lorenz
13,0.5188769323040006,1,1,PCA,lorenz
14,0.1425612568466323,1,1,PCA,lorenz
15,0.3758763233076778,1,1,PCA,lorenz
16,0.7244736355912473,1,1,PCA,lorenz
17,0.1553934704404516,1,1,PCA,lorenz
18,0.22939707439832352,1,1,PCA,lorenz
19,0.16345048731008294,1,1,PCA,lorenz
20,0.501528916562056,1,1,PCA,lorenz
21,0.22016088669709613,1,1,PCA,lorenz
22,0.14081707380682137,1,1,PCA,lorenz
23,0.8002443864967974,1,1,PCA,lorenz
24,0.6648587750153201,1,1,PCA,lorenz
0,0.5159441157692094,1,2,PCA,lorenz
1,0.47649984357984676,2,2,PCA,lorenz
2,0.7457092372245872,1,2,PCA,lorenz
3,0.3192489672185452,2,2,PCA,lorenz
4,0.39388070965720484,1,2,PCA,lorenz
5,0.27118371123321666,1,2,PCA,lorenz
6,0.17733029145574278,2,2,PCA,lorenz
7,0.6257567540562943,1,2,PCA,lorenz
8,0.6429050608624444,1,2,PCA,lorenz
9,0.49475903649620295,1,2,PCA,lorenz
10,0.7013264200766381,1,2,PCA,lorenz
11,0.5808447981718241,1,2,PCA,lorenz
12,0.3824324820949822,1,2,PCA,lorenz
13,0.5723574531523694,2,2,PCA,lorenz
14,0.1425612568466323,1,2,PCA,lorenz
15,0.3758763233076778,1,2,PCA,lorenz
16,0.7244736355912473,1,2,PCA,lorenz
17,0.1553934704404516,1,2,PCA,lorenz
18,0.22939707439832352,1,2,PCA,lorenz
19,0.733789758977428,2,2,PCA,lorenz
20,0.501528916562056,1,2,PCA,lorenz
21,0.32573784955126006,2,2,PCA,lorenz
22,0.14081707380682137,1,2,PCA,lorenz
23,0.8002443864967975,1,2,PCA,lorenz
24,0.6648587750153201,1,2,PCA,lorenz
0,0.5159441157692094,1,3,PCA,lorenz
1,0.47649984357984676,2,3,PCA,lorenz
2,0.7457092372245872,1,3,PCA,lorenz
3,0.3192489672185452,2,3,PCA,lorenz
4,0.39388070965720484,1,3,PCA,lorenz
5,0.27118371123321666,1,3,PCA,lorenz
6,0.17733029145574278,2,3,PCA,lorenz
7,0.6257567540562943,1,3,PCA,lorenz
8,0.6429050608624444,1,3,PCA,lorenz
9,0.49475903649620295,1,3,PCA,lorenz
10,0.7013264200766381,1,3,PCA,lorenz
11,0.5808447981718241,1,3,PCA,lorenz
12,0.3824324820949822,1,3,PCA,lorenz
13,0.5723574531523694,2,3,PCA,lorenz
14,0.1425612568466323,1,3,PCA,lorenz
15,0.3758763233076778,1,3,PCA,lorenz
16,0.7244736355912473,1,3,PCA,lorenz
17,0.1553934704404516,1,3,PCA,lorenz
18,0.22939707439832352,1,3,PCA,lorenz
19,0.733789758977428,2,3,PCA,lorenz
20,0.501528916562056,1,3,PCA,lorenz
21,0.32573784955126006,2,3,PCA,lorenz
22,0.14081707380682137,1,3,PCA,lorenz
23,0.8002443864967975,1,3,PCA,lorenz
24,0.6648587750153201,1,3,PCA,lorenz
0,0.5159441157692094,1,4,PCA,lorenz
1,0.47649984357984676,2,4,PCA,lorenz
2,0.7457092372245872,1,4,PCA,lorenz
3,0.3192489672185452,2,4,PCA,lorenz
4,0.39388070965720484,1,4,PCA,lorenz
5,0.27118371123321666,1,4,PCA,lorenz
6,0.226103297589146,4,4,PCA,lorenz
7,0.6257567540562943,1,4,PCA,lorenz
8,0.6429050608624444,1,4,PCA,lorenz
9,0.49475903649620295,1,4,PCA,lorenz
10,0.7013264200766381,1,4,PCA,lorenz
11,0.5808447981718241,1,4,PCA,lorenz
12,0.38243248209498215,1,4,PCA,lorenz
13,0.5723574531523694,2,4,PCA,lorenz
14,0.1425612568466323,1,4,PCA,lorenz
15,0.3758763233076778,1,4,PCA,lorenz
16,0.7244736355912473,1,4,PCA,lorenz
17,0.22851196008690947,4,4,PCA,lorenz
18,0.22939707439832352,1,4,PCA,lorenz
19,0.733789758977428,2,4,PCA,lorenz
20,0.501528916562056,1,4,PCA,lorenz
21,0.32573784955126006,2,4,PCA,lorenz
22,0.14081707380682137,1,4,PCA,lorenz
23,0.8002443864967975,1,4,PCA,lorenz
24,0.6648587750153201,1,4,PCA,lorenz
0,0.6527581156740038,5,5,PCA,lorenz
1,0.6487470580372567,5,5,PCA,lorenz
2,0.7457092372245872,1,5,PCA,lorenz
3,0.665646758707165,5,5,PCA,lorenz
4,0.5867322997427437,5,5,PCA,lorenz
5,0.7971921396617901,5,5,PCA,lorenz
6,0.7482503147111207,5,5,PCA,lorenz
7,0.6509504997915095,5,5,PCA,lorenz
8,0.6506640655778113,5,5,PCA,lorenz
9,0.6906814476261341,5,5,PCA,lorenz
10,0.7013264200766381,1,5,PCA,lorenz
11,0.6027365233863583,5,5,PCA,lorenz
12,0.8026163881222719,5,5,PCA,lorenz
13,0.5723574531523694,2,5,PCA,lorenz
14,0.7390256978211024,5,5,PCA,lorenz
15,0.8136216229811097,5,5,PCA,lorenz
16,0.7244736355912473,1,5,PCA,lorenz
17,0.7455137650730105,5,5,PCA,lorenz
18,0.8665471826669218,5,5,PCA,lorenz
