,coefs,wcomp,n_components,method,dataset
0,0.08644126599067464,1,1,SFA,lorenz
1,0.15101604913552036,1,1,SFA,lorenz
2,0.4869753858873273,1,1,SFA,lorenz
3,0.11369773837503361,1,1,SFA,lorenz
4,0.12872060769030502,1,1,SFA,lorenz
5,0.15370366044254963,1,1,SFA,lorenz
6,0.2231942594221057,1,1,SFA,lorenz
7,0.131887926517818,1,1,SFA,lorenz
8,0.5125024375866084,1,1,SFA,lorenz
9,0.31265709585076706,1,1,SFA,lorenz
10,0.24784880554585412,1,1,SFA,lorenz
11,0.1471797092529899,1,1,SFA,lorenz
12,0.2243990446687359,1,1,SFA,lorenz
13,0.22957124067609153,1,1,SFA,lorenz
14,0.10646904893505538,1,1,SFA,lorenz
15,0.12585307280063662,1,1,SFA,lorenz
16,0.12076960793281888,1,1,SFA,lorenz
17,0.14643276046606857,1,1,SFA,lorenz
18,0.10323428024324108,1,1,SFA,lorenz
19,0.08860544902278783,1,1,SFA,lorenz
20,0.19855125584172956,1,1,SFA,lorenz
21,0.15776755309904472,1,1,SFA,lorenz
22,0.10165651708179982,1,1,SFA,lorenz
23,0.404053695627012,1,1,SFA,lorenz
24,0.5990770363819997,1,1,SFA,lorenz
25,0.25123535646639883,1,1,SFA,lorenz
26,0.31392852812221395,1,1,SFA,lorenz
27,0.18430645009435942,1,1,SFA,lorenz
28,0.23320853056491608,1,1,SFA,lorenz
29,0.19538140636199708,1,1,SFA,lorenz
30,0.09434693119813273,1,1,SFA,lorenz
31,0.14152270093511102,1,1,SFA,lorenz
32,0.08311755058389095,1,1,SFA,lorenz
33,0.2548078519543561,1,1,SFA,lorenz
34,0.23724834779255022,1,1,SFA,lorenz
35,0.368785447144554,1,1,SFA,lorenz
36,0.09220032039042829,1,1,SFA,lorenz
37,0.16481020356930443,1,1,SFA,lorenz
38,0.30048396886900053,1,1,SFA,lorenz
39,0.16586269038992743,1,1,SFA,lorenz
40,0.10502955671117582,1,1,SFA,lorenz
41,0.2806942188267925,1,1,SFA,lorenz
42,0.18986017514349743,1,1,SFA,lorenz
43,0.0838014150881059,1,1,SFA,lorenz
44,0.14651072472994087,1,1,SFA,lorenz
45,0.09014162095501545,1,1,SFA,lorenz
46,0.3135316767393197,1,1,SFA,lorenz
47,0.08557702285232668,1,1,SFA,lorenz
48,0.472920305571776,1,1,SFA,lorenz
49,0.27100954891152357,1,1,SFA,lorenz
0,0.7200586013084925,2,2,SFA,lorenz
1,0.5820634268991984,2,2,SFA,lorenz
2,0.6171293845995836,2,2,SFA,lorenz
3,0.44232304421445545,2,2,SFA,lorenz
4,0.5837930057413376,2,2,SFA,lorenz
5,0.29841977931027736,2,2,SFA,lorenz
6,0.2231942594221057,1,2,SFA,lorenz
7,0.7316773260469147,2,2,SFA,lorenz
8,0.5125024375866084,1,2,SFA,lorenz
9,0.527702377748705,2,2,SFA,lorenz
10,0.7928792935732065,2,2,SFA,lorenz
11,0.7562819161588128,2,2,SFA,lorenz
12,0.3230864013464911,2,2,SFA,lorenz
13,0.8138217799694824,2,2,SFA,lorenz
14,0.2938538695775945,2,2,SFA,lorenz
15,0.470210817979651,2,2,SFA,lorenz
16,0.9057680636312241,2,2,SFA,lorenz
17,0.2581106154599538,2,2,SFA,lorenz
18,0.25226307113849367,2,2,SFA,lorenz
19,0.8077811871303828,2,2,SFA,lorenz
20,0.47427756127366294,2,2,SFA,lorenz
21,0.4953692610320364,2,2,SFA,lorenz
22,0.23645335480839702,2,2,SFA,lorenz
23,0.8516812498183028,2,2,SFA,lorenz
24,0.5990770363819997,1,2,SFA,lorenz
25,0.9221779619662365,2,2,SFA,lorenz
26,0.31392852812221395,1,2,SFA,lorenz
27,0.7746995757585354,2,2,SFA,lorenz
28,0.3288718598143757,2,2,SFA,lorenz
29,0.19538140636199708,1,2,SFA,lorenz
30,0.46409592612055406,2,2,SFA,lorenz
31,0.9434976559709144,2,2,SFA,lorenz
32,0.3156730312443346,2,2,SFA,lorenz
33,0.2548078519543561,1,2,SFA,lorenz
34,0.44079032999803025,2,2,SFA,lorenz
35,0.368785447144554,1,2,SFA,lorenz
36,0.2412376918983432,2,2,SFA,lorenz
37,0.8380764708112023,2,2,SFA,lorenz
38,0.30048396886900053,1,2,SFA,lorenz
39,0.5066882115295441,2,2,SFA,lorenz
40,0.8027422022100279,2,2,SFA,lorenz
41,0.5766719726501823,2,2,SFA,lorenz
42,0.8281284187915467,2,2,SFA,lorenz
43,0.6031297605929747,2,2,SFA,lorenz
44,0.15965633953393887,2,2,SFA,lorenz
45,0.27722858734754274,2,2,SFA,lorenz
46,0.8176685502913064,2,2,SFA,lorenz
47,0.2268372643249299,2,2,SFA,lorenz
48,0.7783259263811073,2,2,SFA,lorenz
49,0.8381982294640804,2,2,SFA,lorenz
0,0.7200586013084925,2,3,SFA,lorenz
1,0.5858143404795852,3,3,SFA,lorenz
2,0.6171293845995836,2,3,SFA,lorenz
3,0.5992145977636995,3,3,SFA,lorenz
4,0.5900895541844705,3,3,SFA,lorenz
5,0.7601754035551649,3,3,SFA,lorenz
6,0.7305128257216431,3,3,SFA,lorenz
7,0.7316773260469147,2,3,SFA,lorenz
8,0.6086902338440343,3,3,SFA,lorenz
9,0.6059190977976407,3,3,SFA,lorenz
10,0.7928792935732065,2,3,SFA,lorenz
11,0.7562819161588128,2,3,SFA,lorenz
12,0.7911753020202899,3,3,SFA,lorenz
13,0.8138217799694824,2,3,SFA,lorenz
14,0.667505113170183,3,3,SFA,lorenz
15,0.7513131771533124,3,3,SFA,lorenz
16,0.9057680636312241,2,3,SFA,lorenz
17,0.6912381600366373,3,3,SFA,lorenz
18,0.8526379209021291,3,3,SFA,lorenz
19,0.8077811871303828,2,3,SFA,lorenz
20,0.586600819416081,3,3,SFA,lorenz
21,0.5860295791648495,3,3,SFA,lorenz
22,0.6804009640246237,3,3,SFA,lorenz
23,0.8516812498183028,2,3,SFA,lorenz
24,0.5990770363819997,1,3,SFA,lorenz
25,0.9221779619662365,2,3,SFA,lorenz
26,0.7254128444184775,3,3,SFA,lorenz
27,0.7746995757585354,2,3,SFA,lorenz
28,0.6628061950199123,3,3,SFA,lorenz
29,0.7277185451557696,3,3,SFA,lorenz
30,0.7216112379209083,3,3,SFA,lorenz
31,0.9434976559709144,2,3,SFA,lorenz
32,0.7607969435303676,3,3,SFA,lorenz
33,0.7823226925296995,3,3,SFA,lorenz
34,0.7285489701954122,3,3,SFA,lorenz
35,0.5709519792485249,3,3,SFA,lorenz
36,0.8142015109509098,3,3,SFA,lorenz
37,0.8380764708112023,2,3,SFA,lorenz
38,0.7579551125303802,3,3,SFA,lorenz
39,0.6965620178480972,3,3,SFA,lorenz
40,0.8027422022100279,2,3,SFA,lorenz
41,0.6007158193286342,3,3,SFA,lorenz
42,0.8281284187915467,2,3,SFA,lorenz
43,0.6031297605929747,2,3,SFA,lorenz
44,0.6780762149133466,3,3,SFA,lorenz
45,0.7742310704707512,3,3,SFA,lorenz
46,0.8176685502913064,2,3,SFA,lorenz
47,0.2268372643249299,2,3,SFA,lorenz
48,0.7783259263811073,2,3,SFA,lorenz
49,0.8381982294640804,2,3,SFA,lorenz
0,0.7200586013084925,2,4,SFA,lorenz
1,0.5858143404795852,3,4,SFA,lorenz
2,0.6171293845995836,2,4,SFA,lorenz
3,0.5992145977636995,3,4,SFA,lorenz
4,0.5900895541844705,3,4,SFA,lorenz
5,0.7601754035551649,3,4,SFA,lorenz
6,0.7305128257216431,3,4,SFA,lorenz
7,0.7316773260469147,2,4,SFA,lorenz
8,0.6086902338440343,3,4,SFA,lorenz
9,0.6059190977976407,3,4,SFA,lorenz
10,0.7928792935732065,2,4,SFA,lorenz
11,0.7562819161588128,2,4,SFA,lorenz
12,0.7911753020202899,3,4,SFA,lorenz
13,0.8138217799694824,2,4,SFA,lorenz
14,0.667505113170183,3,4,SFA,lorenz
15,0.7513131771533124,3,4,SFA,lorenz
16,0.9057680636312241,2,4,SFA,lorenz
17,0.6912381600366373,3,4,SFA,lorenz
18,0.8526379209021291,3,4,SFA,lorenz
19,0.8077811871303828,2,4,SFA,lorenz
20,0.586600819416081,3,4,SFA,lorenz
21,0.5860295791648495,3,4,SFA,lorenz
22,0.6804009640246237,3,4,SFA,lorenz
23,0.8516812498183028,2,4,SFA,lorenz
24,0.5990770363819997,1,4,SFA,lorenz
25,0.9221779619662365,2,4,SFA,lorenz
