data_id,r,duration,method,dataset
0,0.8585738021651012,,ASOM,tentmap
1,0.7839587084979719,,ASOM,tentmap
2,0.7766470788333771,,ASOM,tentmap
3,0.7712826682182021,,ASOM,tentmap
4,0.8666411984951445,,ASOM,tentmap
5,0.49488509597868,,ASOM,tentmap
6,0.37020157521589847,,ASOM,tentmap
7,0.8564255489494094,,ASOM,tentmap
8,0.4323238123822858,,ASOM,tentmap
9,0.5502193409636349,,ASOM,tentmap
10,0.8459620400127726,,ASOM,tentmap
11,0.07910401341506865,,ASOM,tentmap
12,0.6336403317530225,,ASOM,tentmap
13,0.19270881062559614,,ASOM,tentmap
14,0.8391592994238564,,ASOM,tentmap
15,0.45507854529241815,,ASOM,tentmap
16,0.8985872347257267,,ASOM,tentmap
17,0.8280782185716493,,ASOM,tentmap
18,0.7625845698520516,,ASOM,tentmap
19,0.5445293020726288,,ASOM,tentmap
20,0.8303525112826725,,ASOM,tentmap
21,0.5229342637522693,,ASOM,tentmap
22,0.6934786665070846,,ASOM,tentmap
23,0.7691858700004423,,ASOM,tentmap
24,0.49985005731736487,,ASOM,tentmap
25,0.23009200928572146,,ASOM,tentmap
26,0.3382243190813483,,ASOM,tentmap
27,0.7493505928510161,,ASOM,tentmap
28,0.2609144284306048,,ASOM,tentmap
29,0.5077219184667847,,ASOM,tentmap
30,0.3143884613057322,,ASOM,tentmap
31,0.363757549948847,,ASOM,tentmap
32,0.39909257644917645,,ASOM,tentmap
33,0.7533290714964933,,ASOM,tentmap
34,0.5119890956216689,,ASOM,tentmap
35,0.43218374152795036,,ASOM,tentmap
36,0.4701353559280788,,ASOM,tentmap
37,0.8462263700916671,,ASOM,tentmap
38,0.8117796904706313,,ASOM,tentmap
39,0.419985537122494,,ASOM,tentmap
40,0.7442442379991211,,ASOM,tentmap
41,0.8502422174076156,,ASOM,tentmap
42,0.6919699378738269,,ASOM,tentmap
43,0.8954554159813347,,ASOM,tentmap
44,0.63191145318083,,ASOM,tentmap
45,0.7636499500742017,,ASOM,tentmap
46,0.7053858215303712,,ASOM,tentmap
47,0.8242627260946213,,ASOM,tentmap
48,0.6183966505383711,,ASOM,tentmap
49,0.5494966867414216,,ASOM,tentmap
