data_id,r,duration,method,dataset
0,0.6141426981997704,,DCA,tentmap
1,0.2566083515262165,,DCA,tentmap
2,0.43128585068127995,,DCA,tentmap
3,0.29087144190478786,,DCA,tentmap
4,0.6724857985348406,,DCA,tentmap
5,0.47633587116945014,,DCA,tentmap
6,0.6228185562399259,,DCA,tentmap
7,0.6104355379898354,,DCA,tentmap
8,0.6872938265014115,,DCA,tentmap
9,0.6193495915461446,,DCA,tentmap
10,0.15091157410661787,,DCA,tentmap
11,0.3656151853841238,,DCA,tentmap
12,0.42616207054102767,,DCA,tentmap
13,0.5987111580492783,,DCA,tentmap
14,0.6472123466573947,,DCA,tentmap
15,0.17180885151578804,,DCA,tentmap
16,0.5035330456575442,,DCA,tentmap
17,0.4963810217405199,,DCA,tentmap
18,0.47008503061451845,,DCA,tentmap
19,0.6066388409260824,,DCA,tentmap
20,0.5620027275332591,,DCA,tentmap
21,0.4900238280955897,,DCA,tentmap
22,0.37840762973946507,,DCA,tentmap
23,0.5849802551666474,,DCA,tentmap
24,0.6181247120829256,,DCA,tentmap
25,0.5529076836449395,,DCA,tentmap
26,0.3921027314198255,,DCA,tentmap
27,0.5628843553505958,,DCA,tentmap
28,0.2430874809209547,,DCA,tentmap
29,0.37960765217157727,,DCA,tentmap
30,0.531319357662402,,DCA,tentmap
31,0.6084767346565216,,DCA,tentmap
32,0.5662360644306887,,DCA,tentmap
33,0.475411082479318,,DCA,tentmap
34,0.3956254421668338,,DCA,tentmap
35,0.42896528667199085,,DCA,tentmap
36,0.3010564189079379,,DCA,tentmap
37,0.22283647314009414,,DCA,tentmap
38,0.33487441003460505,,DCA,tentmap
39,0.592379122844905,,DCA,tentmap
40,0.5369932920687387,,DCA,tentmap
41,0.5025895411815282,,DCA,tentmap
42,0.49167549782347814,,DCA,tentmap
43,0.5125299505234187,,DCA,tentmap
44,0.5216335588790475,,DCA,tentmap
45,0.3838919645686716,,DCA,tentmap
46,0.5014581626129564,,DCA,tentmap
47,0.6479664887632315,,DCA,tentmap
48,0.4843155680715677,,DCA,tentmap
49,0.5952819394602541,,DCA,tentmap
