data_id,r,duration,method,dataset
0,0.6079974921899461,,DCCA,tentmap
1,0.18780704904603035,,DCCA,tentmap
2,0.2846431782995327,,DCCA,tentmap
3,0.38470320650925394,,DCCA,tentmap
4,0.5537245764366985,,DCCA,tentmap
5,0.40950898514838624,,DCCA,tentmap
6,0.6619514164354392,,DCCA,tentmap
7,0.5260392237347437,,DCCA,tentmap
8,0.7249058114894357,,DCCA,tentmap
9,0.37714068236274945,,DCCA,tentmap
10,0.1264848809050772,,DCCA,tentmap
11,0.30017566754375946,,DCCA,tentmap
12,0.30208223232378556,,DCCA,tentmap
13,0.5939848151599517,,DCCA,tentmap
14,0.6188605833214701,,DCCA,tentmap
15,0.15432030116483192,,DCCA,tentmap
16,0.47975575464715325,,DCCA,tentmap
17,0.5119897161125773,,DCCA,tentmap
18,0.38302486392393303,,DCCA,tentmap
19,0.5790203379510871,,DCCA,tentmap
20,0.5930604145740951,,DCCA,tentmap
21,0.4356875575175093,,DCCA,tentmap
22,0.4259510995553898,,DCCA,tentmap
23,0.5560762076751034,,DCCA,tentmap
24,0.4958073315609071,,DCCA,tentmap
25,0.5708573741069967,,DCCA,tentmap
26,0.3875696400466408,,DCCA,tentmap
27,0.6358425653553541,,DCCA,tentmap
28,0.2043079539801351,,DCCA,tentmap
29,0.11879241660105362,,DCCA,tentmap
30,0.4182349139661765,,DCCA,tentmap
31,0.6589410158014405,,DCCA,tentmap
32,0.4643240062801687,,DCCA,tentmap
33,0.2142789773675119,,DCCA,tentmap
34,0.3723113916724981,,DCCA,tentmap
35,0.435033109899267,,DCCA,tentmap
36,0.2730714554195665,,DCCA,tentmap
37,0.20120496928887865,,DCCA,tentmap
38,0.24803373282084085,,DCCA,tentmap
39,0.6026490134901341,,DCCA,tentmap
40,0.5596424995025197,,DCCA,tentmap
41,0.4311013698756458,,DCCA,tentmap
42,0.4040554245840687,,DCCA,tentmap
43,0.4796613145172708,,DCCA,tentmap
44,0.5442662405475822,,DCCA,tentmap
45,0.37749583940528786,,DCCA,tentmap
46,0.39622628894047357,,DCCA,tentmap
47,0.5320590475320839,,DCCA,tentmap
48,0.4781397815664427,,DCCA,tentmap
49,0.6013687865248146,,DCCA,tentmap
