data_id,r,duration,method,dataset
0,0.6016804613006393,,ICA,tentmap
1,0.28442689194088344,,ICA,tentmap
2,0.45061030269834706,,ICA,tentmap
3,0.49257088183082054,,ICA,tentmap
4,0.6667560194089244,,ICA,tentmap
5,0.5696703623304529,,ICA,tentmap
6,0.6651633827357758,,ICA,tentmap
7,0.5401121762125505,,ICA,tentmap
8,0.7355830781922986,,ICA,tentmap
9,0.5968822662614208,,ICA,tentmap
10,0.15038203722309082,,ICA,tentmap
11,0.36636972094928977,,ICA,tentmap
12,0.4347653205891212,,ICA,tentmap
13,0.5073163312683581,,ICA,tentmap
14,0.6058596052792913,,ICA,tentmap
15,0.17031931060292024,,ICA,tentmap
16,0.5608480205445697,,ICA,tentmap
17,0.5152347653382493,,ICA,tentmap
18,0.5375910072578726,,ICA,tentmap
19,0.5220519466701045,,ICA,tentmap
20,0.4626184345154976,,ICA,tentmap
21,0.6054232453336692,,ICA,tentmap
22,0.3145288495590116,,ICA,tentmap
23,0.5718569945906565,,ICA,tentmap
24,0.6217712643853697,,ICA,tentmap
25,0.5515053119166118,,ICA,tentmap
26,0.3873649501471692,,ICA,tentmap
27,0.6138307655265193,,ICA,tentmap
28,0.2480131688132888,,ICA,tentmap
29,0.3492085205493018,,ICA,tentmap
30,0.5638754291185643,,ICA,tentmap
31,0.5647778311597984,,ICA,tentmap
32,0.6087021221466615,,ICA,tentmap
33,0.5028447765643487,,ICA,tentmap
34,0.3887652450942402,,ICA,tentmap
35,0.4360272062355168,,ICA,tentmap
36,0.29919619410249815,,ICA,tentmap
37,0.18409005434142375,,ICA,tentmap
38,0.34360862007281145,,ICA,tentmap
39,0.6086035975506796,,ICA,tentmap
40,0.578459508340019,,ICA,tentmap
41,0.5816484144802684,,ICA,tentmap
42,0.5727060322370283,,ICA,tentmap
43,0.5658489626110279,,ICA,tentmap
44,0.581769686351734,,ICA,tentmap
45,0.5145494980107074,,ICA,tentmap
46,0.5239897702636758,,ICA,tentmap
47,0.6205576145589616,,ICA,tentmap
48,0.5432588521551934,,ICA,tentmap
49,0.45959631513322907,,ICA,tentmap
