data_id,r,duration,method,dataset
0,0.6114287655350318,NaN,KPCA,tentmap
1,0.26496846384310946,NaN,KPCA,tentmap
2,0.4499387339670167,NaN,KPCA,tentmap
3,0.1433402090024282,NaN,KPCA,tentmap
4,0.6694003677282613,NaN,KPCA,tentmap
5,0.11548734641454843,NaN,KPCA,tentmap
6,0.6626905233685825,NaN,KPCA,tentmap
7,0.5228145163818956,NaN,KPCA,tentmap
8,0.7291563462587829,NaN,KPCA,tentmap
9,0.3730266564036291,NaN,KPCA,tentmap
10,0.1510106668832086,NaN,KPCA,tentmap
11,0.0780028470135106,NaN,KPCA,tentmap
12,0.08020808446013776,NaN,KPCA,tentmap
13,0.5962667941188574,NaN,KPCA,tentmap
14,0.5730624644817902,NaN,KPCA,tentmap
15,0.17117559779284858,NaN,KPCA,tentmap
16,0.572095812678204,NaN,KPCA,tentmap
17,0.3925578182934326,NaN,KPCA,tentmap
18,0.15545107362377122,NaN,KPCA,tentmap
19,0.5807863833768293,NaN,KPCA,tentmap
20,0.5766056864099695,NaN,KPCA,tentmap
21,0.2851286440566892,NaN,KPCA,tentmap
22,0.3320318875283095,NaN,KPCA,tentmap
23,0.4876192982868013,NaN,KPCA,tentmap
24,0.6328179935067397,NaN,KPCA,tentmap
25,0.50836392346804,NaN,KPCA,tentmap
26,0.38117051228265764,NaN,KPCA,tentmap
27,0.6475149016122632,NaN,KPCA,tentmap
28,0.24608454320803191,NaN,KPCA,tentmap
29,0.22745716559555657,NaN,KPCA,tentmap
30,0.5583006168946418,NaN,KPCA,tentmap
31,0.6614752305427124,NaN,KPCA,tentmap
32,0.1426112508171935,NaN,KPCA,tentmap
33,0.15901261127883318,NaN,KPCA,tentmap
34,0.36593756955457757,NaN,KPCA,tentmap
35,0.4391646359045107,NaN,KPCA,tentmap
36,0.2509009521876844,NaN,KPCA,tentmap
37,0.1342949474735869,NaN,KPCA,tentmap
38,0.16324687981994415,NaN,KPCA,tentmap
39,0.6493622399969115,NaN,KPCA,tentmap
40,0.5454660968011229,NaN,KPCA,tentmap
41,0.4918722713721318,NaN,KPCA,tentmap
42,0.12740087501035438,NaN,KPCA,tentmap
43,0.5147446093962735,NaN,KPCA,tentmap
44,0.4368141210513233,NaN,KPCA,tentmap
45,0.164511749333249,NaN,KPCA,tentmap
46,0.178231481378612,NaN,KPCA,tentmap
47,0.3876811633393289,NaN,KPCA,tentmap
48,0.2669108513142045,NaN,KPCA,tentmap
49,0.556439496799832,NaN,KPCA,tentmap
