data_id,r,duration,method,dataset
0,0.848498050511898,,MaCo,tentmap
1,0.7436134130435391,,MaCo,tentmap
2,0.9096229270094828,,MaCo,tentmap
3,0.6162659900015046,,MaCo,tentmap
4,0.9197194968520339,,MaCo,tentmap
5,0.8968149190588218,,MaCo,tentmap
6,0.8652357986212974,,MaCo,tentmap
7,0.8744993315263231,,MaCo,tentmap
8,0.9271423075387424,,MaCo,tentmap
9,0.8433748247013408,,MaCo,tentmap
10,0.8974431579558508,,MaCo,tentmap
11,0.8380668918576393,,MaCo,tentmap
12,0.9265417372173618,,MaCo,tentmap
13,0.8586364104510692,,MaCo,tentmap
14,0.4674678609155556,,MaCo,tentmap
15,0.7868324512332859,,MaCo,tentmap
16,0.8293132663316195,,MaCo,tentmap
17,0.6012707971440545,,MaCo,tentmap
18,0.9244999244423832,,MaCo,tentmap
19,0.8296312081342292,,MaCo,tentmap
20,0.6893846713443039,,MaCo,tentmap
21,0.8796010699030098,,MaCo,tentmap
22,0.8218810657949726,,MaCo,tentmap
23,0.9079337341942116,,MaCo,tentmap
24,0.9297938820577152,,MaCo,tentmap
25,0.8413355091483555,,MaCo,tentmap
26,0.4577433545679849,,MaCo,tentmap
27,0.8943549249696983,,MaCo,tentmap
28,0.750039543680749,,MaCo,tentmap
29,0.7890676316254938,,MaCo,tentmap
30,0.885943505517573,,MaCo,tentmap
31,0.5178916042549399,,MaCo,tentmap
32,0.8496911451531671,,MaCo,tentmap
33,0.8857672199418322,,MaCo,tentmap
34,0.6797205629887733,,MaCo,tentmap
35,0.7910778679063002,,MaCo,tentmap
36,0.8572124942173405,,MaCo,tentmap
37,0.7625820590961975,,MaCo,tentmap
38,0.8285206356074388,,MaCo,tentmap
39,0.8335332620059014,,MaCo,tentmap
40,0.9044571556942836,,MaCo,tentmap
41,0.8218003931333923,,MaCo,tentmap
42,0.8410972002208956,,MaCo,tentmap
43,0.8041726429078535,,MaCo,tentmap
44,0.7802215138324786,,MaCo,tentmap
45,0.781015407114115,,MaCo,tentmap
46,0.8658416820583504,,MaCo,tentmap
47,0.6635284958965192,,MaCo,tentmap
48,0.5576149077870381,,MaCo,tentmap
49,0.7781949903099855,,MaCo,tentmap
