data_id,r,duration,method,dataset
0,0.6059514901510165,,PCA,tentmap
1,0.26658215607725294,,PCA,tentmap
2,0.4510334281936777,,PCA,tentmap
3,0.14253248087165793,,PCA,tentmap
4,0.6706584170982799,,PCA,tentmap
5,0.1150576025128854,,PCA,tentmap
6,0.6601612808525726,,PCA,tentmap
7,0.5231353869596036,,PCA,tentmap
8,0.7243140399995035,,PCA,tentmap
9,0.37458070844346497,,PCA,tentmap
10,0.15095094475441664,,PCA,tentmap
11,0.0778821620692679,,PCA,tentmap
12,0.08083999323037525,,PCA,tentmap
13,0.5938810684649598,,PCA,tentmap
14,0.5709811344434567,,PCA,tentmap
15,0.16635015191164731,,PCA,tentmap
16,0.5735042501326643,,PCA,tentmap
17,0.3945963978017692,,PCA,tentmap
18,0.1552031765382478,,PCA,tentmap
19,0.5823539651061732,,PCA,tentmap
20,0.5728214372025084,,PCA,tentmap
21,0.29244478187239453,,PCA,tentmap
22,0.3367670099945497,,PCA,tentmap
23,0.488504963947992,,PCA,tentmap
24,0.6353775242647726,,PCA,tentmap
25,0.5063019594710799,,PCA,tentmap
26,0.38306240707492284,,PCA,tentmap
27,0.6483473781499564,,PCA,tentmap
28,0.24758969234294917,,PCA,tentmap
29,0.21808726546312526,,PCA,tentmap
30,0.5608112413209588,,PCA,tentmap
31,0.6612497950286684,,PCA,tentmap
32,0.14296216138001644,,PCA,tentmap
33,0.15365712711096136,,PCA,tentmap
34,0.3688333654424831,,PCA,tentmap
35,0.43957866333780643,,PCA,tentmap
36,0.24643132084440367,,PCA,tentmap
37,0.1450877302454742,,PCA,tentmap
38,0.16768245531993445,,PCA,tentmap
39,0.6492101660368339,,PCA,tentmap
40,0.5459486863278645,,PCA,tentmap
41,0.503341998069942,,PCA,tentmap
42,0.1287503172581748,,PCA,tentmap
43,0.517227926666321,,PCA,tentmap
44,0.432923624993568,,PCA,tentmap
45,0.16457849808950453,,PCA,tentmap
46,0.18016403917045398,,PCA,tentmap
47,0.3971707399796927,,PCA,tentmap
48,0.2790230750003033,,PCA,tentmap
49,0.5582649322045934,,PCA,tentmap
