data_id,r,duration,method,dataset
0,0.07842936869425196,,Random,tentmap
1,0.06738319199930107,,Random,tentmap
2,0.07990348231064182,,Random,tentmap
3,0.0617875866704916,,Random,tentmap
4,0.06543156146686036,,Random,tentmap
5,0.06496225514825009,,Random,tentmap
6,0.072380641522626,,Random,tentmap
7,0.07397291789734449,,Random,tentmap
8,0.06953123124799337,,Random,tentmap
9,0.07548301361378816,,Random,tentmap
10,0.07586532885001454,,Random,tentmap
11,0.0729683528919922,,Random,tentmap
12,0.0733128160003497,,Random,tentmap
13,0.06140135774196049,,Random,tentmap
14,0.07744940220343552,,Random,tentmap
15,0.08351763607559108,,Random,tentmap
16,0.06614185324567573,,Random,tentmap
17,0.06910272708548652,,Random,tentmap
18,0.06909864740185945,,Random,tentmap
19,0.07002887535978453,,Random,tentmap
20,0.07071394136478423,,Random,tentmap
21,0.07006826447708801,,Random,tentmap
22,0.06824467235585963,,Random,tentmap
23,0.07176491922517536,,Random,tentmap
24,0.08821097014743555,,Random,tentmap
25,0.06484199419322888,,Random,tentmap
26,0.07187259583176257,,Random,tentmap
27,0.06595244972470468,,Random,tentmap
28,0.06791779494883192,,Random,tentmap
29,0.07896417025375001,,Random,tentmap
30,0.07205738886735243,,Random,tentmap
31,0.07349457728824532,,Random,tentmap
32,0.08020845389454598,,Random,tentmap
33,0.08506203618697028,,Random,tentmap
34,0.06759422897342644,,Random,tentmap
35,0.06351776315658803,,Random,tentmap
36,0.07739575582477506,,Random,tentmap
37,0.06421080566508296,,Random,tentmap
38,0.06381761328109496,,Random,tentmap
39,0.06743080356027747,,Random,tentmap
40,0.06716144863490053,,Random,tentmap
41,0.06088432172912686,,Random,tentmap
42,0.06792441499347716,,Random,tentmap
43,0.07102662999622049,,Random,tentmap
44,0.08519212615705682,,Random,tentmap
45,0.07463238612451298,,Random,tentmap
46,0.058900567047355155,,Random,tentmap
47,0.07429267842417152,,Random,tentmap
48,0.08875544905569709,,Random,tentmap
49,0.06873593983800956,,Random,tentmap
