data_id,r,duration,method,dataset
0,0.03218119451387546,,SFA,tentmap
1,0.07096661933819365,,SFA,tentmap
2,0.03596952671902705,,SFA,tentmap
3,0.04140903907752298,,SFA,tentmap
4,0.10393588271368115,,SFA,tentmap
5,0.06926500804459294,,SFA,tentmap
6,0.045075568664684845,,SFA,tentmap
7,0.0877049091614312,,SFA,tentmap
8,0.0380191657582102,,SFA,tentmap
9,0.09897973244758802,,SFA,tentmap
10,0.04735332975729552,,SFA,tentmap
11,0.1203011533493675,,SFA,tentmap
12,0.0829881287404097,,SFA,tentmap
13,0.032749658035147594,,SFA,tentmap
14,0.03163884680776457,,SFA,tentmap
15,0.025991700472432887,,SFA,tentmap
16,0.09538840032426117,,SFA,tentmap
17,0.03858535960177293,,SFA,tentmap
18,0.037769609507112015,,SFA,tentmap
19,0.06814631059999365,,SFA,tentmap
20,0.03519365050025987,,SFA,tentmap
21,0.062475269250921464,,SFA,tentmap
22,0.08834959765794062,,SFA,tentmap
23,0.03626519079023184,,SFA,tentmap
24,0.08407901261775186,,SFA,tentmap
25,0.028347116737880033,,SFA,tentmap
26,0.03589403565330414,,SFA,tentmap
27,0.046389341941494494,,SFA,tentmap
28,0.05878770016932064,,SFA,tentmap
29,0.03352335821122017,,SFA,tentmap
30,0.13005547316295749,,SFA,tentmap
31,0.0920927924453071,,SFA,tentmap
32,0.03377574267214724,,SFA,tentmap
33,0.04854350167449104,,SFA,tentmap
34,0.06303011114442789,,SFA,tentmap
35,0.04473364107268041,,SFA,tentmap
36,0.027088495083668597,,SFA,tentmap
37,0.05145625977669796,,SFA,tentmap
38,0.026768522976403294,,SFA,tentmap
39,0.06285237891669723,,SFA,tentmap
40,0.07003935829119445,,SFA,tentmap
41,0.04790154489044362,,SFA,tentmap
42,0.047013967378667115,,SFA,tentmap
43,0.08392287310225839,,SFA,tentmap
44,0.03391149444326087,,SFA,tentmap
45,0.025579345458812124,,SFA,tentmap
46,0.025616719036501173,,SFA,tentmap
47,0.04896451775390988,,SFA,tentmap
48,0.07612451010394945,,SFA,tentmap
49,0.0907472317614949,,SFA,tentmap
