data_id,r,duration,method,dataset
0,0.6419644329751919,,ShRec,tentmap
1,0.23602914319781637,,ShRec,tentmap
2,0.41662824238597024,,ShRec,tentmap
3,0.13663543960231242,,ShRec,tentmap
4,0.71534412195894,,ShRec,tentmap
5,0.10392760597674468,,ShRec,tentmap
6,0.6802664764226259,,ShRec,tentmap
7,0.5195419942769244,,ShRec,tentmap
8,0.7237775880029809,,ShRec,tentmap
9,0.2747943015900148,,ShRec,tentmap
10,0.11827774600743528,,ShRec,tentmap
11,0.10008585222952575,,ShRec,tentmap
12,0.09535977960074717,,ShRec,tentmap
13,0.7124790893271081,,ShRec,tentmap
14,0.5277241870287991,,ShRec,tentmap
15,0.1861974494853181,,ShRec,tentmap
16,0.6396116079730412,,ShRec,tentmap
17,0.38598369799109145,,ShRec,tentmap
18,0.1326329698963589,,ShRec,tentmap
19,0.5950321521129979,,ShRec,tentmap
20,0.5737772955094648,,ShRec,tentmap
21,0.18035720294791605,,ShRec,tentmap
22,0.2760505954361773,,ShRec,tentmap
23,0.45895808090259704,,ShRec,tentmap
24,0.6663464559701319,,ShRec,tentmap
25,0.5482874052554408,,ShRec,tentmap
26,0.34436269229764876,,ShRec,tentmap
27,0.7220516768205346,,ShRec,tentmap
28,0.3033526181261125,,ShRec,tentmap
29,0.716449984210053,,ShRec,tentmap
30,0.6136576659834605,,ShRec,tentmap
31,0.6589769841834183,,ShRec,tentmap
32,0.1485438784174798,,ShRec,tentmap
33,0.11951712665905187,,ShRec,tentmap
34,0.3993069790129798,,ShRec,tentmap
35,0.6634355300857684,,ShRec,tentmap
36,0.2678291095100056,,ShRec,tentmap
37,0.15634523509080941,,ShRec,tentmap
38,0.16838472621955397,,ShRec,tentmap
39,0.6677265359851731,,ShRec,tentmap
40,0.6561568976374188,,ShRec,tentmap
41,0.5575469263788192,,ShRec,tentmap
42,0.10083598253358532,,ShRec,tentmap
43,0.6409997679866222,,ShRec,tentmap
44,0.4918739598180615,,ShRec,tentmap
45,0.15879587951541252,,ShRec,tentmap
46,0.1261768674022397,,ShRec,tentmap
47,0.31854699093641803,,ShRec,tentmap
48,0.16394856729006435,,ShRec,tentmap
49,0.6394986784450755,,ShRec,tentmap
