data_id,r,method,dataset
0,0.6420084029611148,PCA,lorenz
1,0.689794003012236,PCA,lorenz
2,0.6856908847700204,PCA,lorenz
3,0.7720414434321291,PCA,lorenz
4,0.6186315270408841,PCA,lorenz
5,0.7608624750241425,PCA,lorenz
6,0.7209983322322736,PCA,lorenz
7,0.8780761534689716,PCA,lorenz
8,0.7178685174235581,PCA,lorenz
9,0.614699297530017,PCA,lorenz
10,0.4887561303201976,PCA,lorenz
11,0.7157648680026595,PCA,lorenz
12,0.8491134288045026,PCA,lorenz
13,0.7191614281240344,PCA,lorenz
14,0.63840290859848,PCA,lorenz
15,0.7002241834805342,PCA,lorenz
16,0.6611216222023931,PCA,lorenz
17,0.8601007650289004,PCA,lorenz
18,0.7928570352913786,PCA,lorenz
19,0.6418563676528922,PCA,lorenz
20,0.7681093014106551,PCA,lorenz
21,0.6584930814180623,PCA,lorenz
22,0.7706527643593153,PCA,lorenz
23,0.636537045236862,PCA,lorenz
24,0.7339892139808452,PCA,lorenz
25,0.7568080889691347,PCA,lorenz
26,0.6225405845412899,PCA,lorenz
27,0.8165815369849567,PCA,lorenz
28,0.733186929840811,PCA,lorenz
29,0.6093775017323882,PCA,lorenz
30,0.556079347466173,PCA,lorenz
31,0.3617413871563582,PCA,lorenz
32,0.7615488853325628,PCA,lorenz
33,0.5664464642700711,PCA,lorenz
34,0.5938882894708,PCA,lorenz
35,0.6676046507950824,PCA,lorenz
36,0.7668675809794632,PCA,lorenz
37,0.5487332501731982,PCA,lorenz
38,0.5737753883432456,PCA,lorenz
39,0.7391185177220212,PCA,lorenz
40,0.6065025443527148,PCA,lorenz
41,0.8319539315415416,PCA,lorenz
42,0.7970553838238317,PCA,lorenz
43,0.6710583917260551,PCA,lorenz
44,0.6341102776907891,PCA,lorenz
45,0.6947993000813238,PCA,lorenz
46,0.8074628541615749,PCA,lorenz
47,0.7149597557485126,PCA,lorenz
48,0.7289476646926597,PCA,lorenz
49,0.6458268690588892,PCA,lorenz
0,0.5979839527219849,ICA,lorenz
1,0.6232251721557363,ICA,lorenz
2,0.4838557566529356,ICA,lorenz
3,0.5350653153264003,ICA,lorenz
4,0.7738117524953789,ICA,lorenz
5,0.6924157014936085,ICA,lorenz
6,0.5211168311888041,ICA,lorenz
7,0.7186210743673944,ICA,lorenz
8,0.6562064400422826,ICA,lorenz
9,0.7745128907300738,ICA,lorenz
10,0.353445573434946,ICA,lorenz
11,0.7074041529296426,ICA,lorenz
12,0.7826384437729292,ICA,lorenz
13,0.6644961677187897,ICA,lorenz
14,0.8269610745797947,ICA,lorenz
15,0.706882188848906,ICA,lorenz
16,0.6595547586699759,ICA,lorenz
17,0.715211919318087,ICA,lorenz
18,0.7772273255921647,ICA,lorenz
19,0.6767963511713722,ICA,lorenz
20,0.4968964991354067,ICA,lorenz
21,0.4235267547022083,ICA,lorenz
22,0.5278697597709527,ICA,lorenz
23,0.7353984660186577,ICA,lorenz
24,0.6760578310269743,ICA,lorenz
25,0.69347427501049,ICA,lorenz
26,0.5365575284143997,ICA,lorenz
27,0.7822631701229316,ICA,lorenz
28,0.5885905614251444,ICA,lorenz
29,0.7106792361564932,ICA,lorenz
30,0.7620059347701507,ICA,lorenz
31,0.267666053224847,ICA,lorenz
32,0.6983028939600283,ICA,lorenz
33,0.7713718925586744,ICA,lorenz
34,0.519346925792006,ICA,lorenz
35,0.5706818816628626,ICA,lorenz
36,0.6253964322486234,ICA,lorenz
37,0.7470743376267188,ICA,lorenz
38,0.5745853800855486,ICA,lorenz
39,0.628764550584984,ICA,lorenz
40,0.5529131196206495,ICA,lorenz
41,0.5987934601718513,ICA,lorenz
42,0.5801616738134745,ICA,lorenz
43,0.7465826476520118,ICA,lorenz
44,0.8328823582221087,ICA,lorenz
45,0.4689659551492237,ICA,lorenz
46,0.7226879526442437,ICA,lorenz
47,0.6903882291164114,ICA,lorenz
48,0.7068856289942574,ICA,lorenz
49,0.8091560419524466,ICA,lorenz
0,0.8234118594281635,CCA,lorenz
1,0.7571560796806903,CCA,lorenz
2,0.7051478223756119,CCA,lorenz
3,0.7794277372689286,CCA,lorenz
4,0.9231708032598848,CCA,lorenz
5,0.8793456763206058,CCA,lorenz
6,0.7831717367554236,CCA,lorenz
7,0.8792099344382617,CCA,lorenz
8,0.8953616054575114,CCA,lorenz
9,0.8868387223813026,CCA,lorenz
10,0.6233495082275433,CCA,lorenz
11,0.8960374596626844,CCA,lorenz
12,0.8801176560839397,CCA,lorenz
13,0.8548718785099357,CCA,lorenz
14,0.8915612173377484,CCA,lorenz
15,0.823862213974215,CCA,lorenz
16,0.8702547832352375,CCA,lorenz
17,0.8793880891463212,CCA,lorenz
18,0.8289565757746303,CCA,lorenz
19,0.8370693300626688,CCA,lorenz
20,0.7370931863096675,CCA,lorenz
21,0.6835194884477678,CCA,lorenz
22,0.7782693466465017,CCA,lorenz
23,0.906841512989356,CCA,lorenz
24,0.8537311683508889,CCA,lorenz
25,0.7918257859731781,CCA,lorenz
26,0.8345709531972956,CCA,lorenz
27,0.845558248466446,CCA,lorenz
28,0.8127811891600418,CCA,lorenz
29,0.8634315559928764,CCA,lorenz
30,0.8734722025454438,CCA,lorenz
31,0.3561209190920663,CCA,lorenz
32,0.8698476408055218,CCA,lorenz
33,0.8960827724185791,CCA,lorenz
34,0.8511463624959947,CCA,lorenz
35,0.8962787930800615,CCA,lorenz
36,0.8868212115642201,CCA,lorenz
37,0.8283417063191635,CCA,lorenz
38,0.8089280208555629,CCA,lorenz
39,0.796018915700201,CCA,lorenz
40,0.9066833733043526,CCA,lorenz
41,0.8418907769527678,CCA,lorenz
42,0.7490096312575113,CCA,lorenz
43,0.8156763993282253,CCA,lorenz
44,0.8240244756467847,CCA,lorenz
45,0.7414742852073327,CCA,lorenz
46,0.8509329100365216,CCA,lorenz
47,0.7504764401518516,CCA,lorenz
48,0.9178617482060156,CCA,lorenz
49,0.8119873180850634,CCA,lorenz
0,0.930405569016971,DCCA,lorenz
1,0.9140910230111244,DCCA,lorenz
2,0.900566986094477,DCCA,lorenz
3,0.9292570493954454,DCCA,lorenz
4,0.9475775548516394,DCCA,lorenz
5,0.9392247007972504,DCCA,lorenz
6,0.918066092993034,DCCA,lorenz
7,0.9443652863192658,DCCA,lorenz
8,0.9451637688864708,DCCA,lorenz
