,r2,L
0,0.9706682186600947,0.001
1,0.9090702072534719,0.001
2,0.9231475827753639,0.001
3,0.9293250668332926,0.001
4,0.8671115396263529,0.001
5,0.8226256378742669,0.001
6,0.9630665432388941,0.001
7,0.967657818208076,0.001
8,0.9505685329431891,0.001
9,0.9390144141570728,0.001
0,0.9637713427221503,0.0017782794100389228
1,0.9328489012233582,0.0017782794100389228
2,0.9040805239253167,0.0017782794100389228
3,0.8398600245857896,0.0017782794100389228
4,0.8732683337695207,0.0017782794100389228
5,0.8789151532623977,0.0017782794100389228
6,0.9575906903164346,0.0017782794100389228
7,0.9274152925641517,0.0017782794100389228
8,0.9556570776216278,0.0017782794100389228
9,0.9553730163561762,0.0017782794100389228
0,0.9445753532119149,0.0031622776601683794
1,0.9386115166759104,0.0031622776601683794
2,0.8851164265874214,0.0031622776601683794
3,0.9150928599607273,0.0031622776601683794
4,0.9043218031045883,0.0031622776601683794
5,0.9026614280297295,0.0031622776601683794
6,0.9514722616142851,0.0031622776601683794
7,0.9422922153498476,0.0031622776601683794
8,0.9624801050377831,0.0031622776601683794
9,0.9529273077576902,0.0031622776601683794
0,0.939896426549875,0.005623413251903491
1,0.8824841369087877,0.005623413251903491
2,0.9048464298441917,0.005623413251903491
3,0.9238035983751112,0.005623413251903491
4,0.8808362559308058,0.005623413251903491
5,0.8918594691496495,0.005623413251903491
6,0.9590312022969631,0.005623413251903491
7,0.9560636193208871,0.005623413251903491
8,0.9463776322413977,0.005623413251903491
9,0.9566994897325493,0.005623413251903491
0,0.9362462303256882,0.01
1,0.8863942296935623,0.01
2,0.8932994205294472,0.01
3,0.8681731972258492,0.01
4,0.8497948719981143,0.01
5,0.8247705768723538,0.01
6,0.950055483610821,0.01
7,0.9202636719406204,0.01
8,0.8891102826087132,0.01
9,0.9165728173349748,0.01
0,0.9026554690311336,0.01778279410038923
1,0.8405607699928598,0.01778279410038923
2,0.819689923905852,0.01778279410038923
3,0.8038460004118239,0.01778279410038923
4,0.8353834127124973,0.01778279410038923
5,0.8600967446198098,0.01778279410038923
6,0.8758876877420292,0.01778279410038923
7,0.8864899371127102,0.01778279410038923
8,0.8725729995247699,0.01778279410038923
9,0.8907425864742788,0.01778279410038923
0,0.8485404994988432,0.03162277660168379
1,0.7304933669708835,0.03162277660168379
2,0.7672259706108506,0.03162277660168379
3,0.7322399630194082,0.03162277660168379
4,0.7809868775949649,0.03162277660168379
5,0.750705561226724,0.03162277660168379
6,0.819239434877101,0.03162277660168379
7,0.8580540006326608,0.03162277660168379
8,0.8046359252875716,0.03162277660168379
9,0.8349294838840431,0.03162277660168379
0,0.6708921679270718,0.05623413251903491
1,0.596216380320175,0.05623413251903491
2,0.612056554689347,0.05623413251903491
3,0.643148669409865,0.05623413251903491
4,0.7348360874900971,0.05623413251903491
5,0.6449694438506851,0.05623413251903491
6,0.7250069547458665,0.05623413251903491
7,0.7720677943069342,0.05623413251903491
8,0.7778297089781926,0.05623413251903491
9,0.7351302697714499,0.05623413251903491
0,0.6176680571670723,0.1
1,0.5325278817505212,0.1
2,0.5304873028247855,0.1
3,0.5289481983488495,0.1
4,0.5464167194153702,0.1
5,0.5314399477013388,0.1
6,0.6314436263746008,0.1
7,0.6450472610402862,0.1
8,0.5716512166599647,0.1
9,0.6386260802981993,0.1
0,0.4006409727404565,0.1778279410038923
1,0.3634850810279318,0.1778279410038923
2,0.37049947828676366,0.1778279410038923
3,0.48071943411539425,0.1778279410038923
4,0.41450598023985696,0.1778279410038923
5,0.23913063710421173,0.1778279410038923
6,0.565358619911769,0.1778279410038923
7,0.5745848891514956,0.1778279410038923
8,0.5002990152430619,0.1778279410038923
9,0.41376894824822896,0.1778279410038923
0,0.44443425463382624,0.31622776601683794
1,0.25249554566282295,0.31622776601683794
2,0.2896505880477452,0.31622776601683794
3,0.21837583018958162,0.31622776601683794
4,0.26150436011520284,0.31622776601683794
5,0.29914547045392686,0.31622776601683794
6,0.2467503092799287,0.31622776601683794
7,0.4728151573509107,0.31622776601683794
8,0.3166470411447595,0.31622776601683794
9,0.42273783882309757,0.31622776601683794
0,0.19785636402010381,0.5623413251903491
1,0.15749886726394186,0.5623413251903491
2,0.21686460680797934,0.5623413251903491
3,0.22793424607029059,0.5623413251903491
4,0.2404103929076916,0.5623413251903491
5,0.2497720097528513,0.5623413251903491
6,0.24435418179939167,0.5623413251903491
7,0.19034995498016652,0.5623413251903491
8,0.21668124922243437,0.5623413251903491
9,0.23397321504614857,0.5623413251903491
0,0.2938889781302407,1.0
1,0.2416494068105566,1.0
2,0.23140040255418062,1.0
3,0.2585335186188978,1.0
4,0.23277007757592533,1.0
5,0.17949341388485443,1.0
6,0.29779160753135775,1.0
7,0.21052038566463102,1.0
8,0.22429017058104425,1.0
9,0.2534346830809845,1.0
0,0.20537782054643094,1.7782794100389228
1,0.2910380343430608,1.7782794100389228
2,0.2973760099500455,1.7782794100389228
3,0.2064380495824701,1.7782794100389228
4,0.21388139062961956,1.7782794100389228
5,0.27040739390213264,1.7782794100389228
6,0.1884236906986388,1.7782794100389228
7,0.13500261926419588,1.7782794100389228
8,0.2856439494138952,1.7782794100389228
9,0.18487650483220494,1.7782794100389228
