data_id,r,method,dataset
0,0.7136040760370329,PCA,logmap
1,0.7345030830439626,PCA,logmap
2,0.7267486511970449,PCA,logmap
3,0.7067568360241752,PCA,logmap
4,0.5926409201810682,PCA,logmap
5,0.7116718371491565,PCA,logmap
6,0.6154981205509089,PCA,logmap
7,0.7585940957508,PCA,logmap
8,0.6506539043820845,PCA,logmap
9,0.766074642144182,PCA,logmap
10,0.6218592374321179,PCA,logmap
11,0.608748316558591,PCA,logmap
12,0.6763810737755086,PCA,logmap
13,0.6549866942277307,PCA,logmap
14,0.7232784002747299,PCA,logmap
15,0.4916068722706076,PCA,logmap
16,0.913365006956542,PCA,logmap
17,0.7516368789151548,PCA,logmap
18,0.6829169403278949,PCA,logmap
19,0.7654679126504278,PCA,logmap
20,0.708985437527456,PCA,logmap
21,0.784278851106022,PCA,logmap
22,0.8895232800299906,PCA,logmap
23,0.7230293697984451,PCA,logmap
24,0.5828604970114744,PCA,logmap
25,0.6333308164044174,PCA,logmap
26,0.7438855372897906,PCA,logmap
27,0.7278238894523008,PCA,logmap
28,0.6742233069907659,PCA,logmap
29,0.5595937753072656,PCA,logmap
30,0.6885567299726225,PCA,logmap
31,0.7629291520899959,PCA,logmap
32,0.5706855402085222,PCA,logmap
33,0.8946180415132414,PCA,logmap
34,0.7910547121975685,PCA,logmap
35,0.7373797717759816,PCA,logmap
36,0.6885335772802046,PCA,logmap
37,0.5491911858593655,PCA,logmap
38,0.7246324498446128,PCA,logmap
39,0.7064257468443582,PCA,logmap
40,0.7279283470238999,PCA,logmap
41,0.5516241970309446,PCA,logmap
42,0.7180738589739379,PCA,logmap
43,0.777152910199264,PCA,logmap
44,0.5444241994911788,PCA,logmap
45,0.4211633655084894,PCA,logmap
46,0.6502733013538866,PCA,logmap
47,0.7538591640818331,PCA,logmap
48,0.7681768042609642,PCA,logmap
49,0.743653463993088,PCA,logmap
0,0.7005125938529769,ICA,logmap
1,0.7134718068634371,ICA,logmap
2,0.7131600781595159,ICA,logmap
3,0.6932149670011224,ICA,logmap
4,0.5735846693725106,ICA,logmap
5,0.7156318538817718,ICA,logmap
6,0.605387069146067,ICA,logmap
7,0.7596731459655115,ICA,logmap
8,0.6232750928210025,ICA,logmap
9,0.7803337804655833,ICA,logmap
10,0.6558962005835951,ICA,logmap
11,0.655226907430202,ICA,logmap
12,0.685705963404128,ICA,logmap
13,0.6415101232820423,ICA,logmap
14,0.7029311645524605,ICA,logmap
15,0.6021049787806559,ICA,logmap
16,0.8990707840014875,ICA,logmap
17,0.6996492782981689,ICA,logmap
18,0.6876622911295969,ICA,logmap
19,0.7565145968191367,ICA,logmap
20,0.6880625440877389,ICA,logmap
21,0.7764317756017025,ICA,logmap
22,0.8840623014814304,ICA,logmap
23,0.65130505445897,ICA,logmap
24,0.5623489210136547,ICA,logmap
25,0.6222357311795819,ICA,logmap
26,0.6904639591020045,ICA,logmap
27,0.7007140953264583,ICA,logmap
28,0.6630009479390171,ICA,logmap
29,0.6221016364452479,ICA,logmap
30,0.6902168191727837,ICA,logmap
31,0.7510623449156817,ICA,logmap
32,0.625860883469368,ICA,logmap
33,0.8818351287437765,ICA,logmap
34,0.7911879211310614,ICA,logmap
35,0.7252063596448466,ICA,logmap
36,0.6800648775952154,ICA,logmap
37,0.604988751872969,ICA,logmap
38,0.702475398910489,ICA,logmap
39,0.6862460110195098,ICA,logmap
40,0.7216820190626858,ICA,logmap
41,0.6614910469402127,ICA,logmap
42,0.6947481207029175,ICA,logmap
43,0.6986352835249933,ICA,logmap
44,0.6023616478616614,ICA,logmap
45,0.5607805598316007,ICA,logmap
46,0.6462251652714448,ICA,logmap
47,0.7221722861377019,ICA,logmap
48,0.7724253666057505,ICA,logmap
