,coefs,wcomp,n_components,method,dataset
0,0.4256347101686529,1,1,PCA,lorenz
1,0.2453807905578156,1,1,PCA,lorenz
2,0.1970307348985066,1,1,PCA,lorenz
3,0.1571575869052686,1,1,PCA,lorenz
4,0.527600692303763,1,1,PCA,lorenz
5,0.3386159758060811,1,1,PCA,lorenz
6,0.2266421071518893,1,1,PCA,lorenz
7,0.2288613414321076,1,1,PCA,lorenz
8,0.6887573026837694,1,1,PCA,lorenz
9,0.5657272278021267,1,1,PCA,lorenz
10,0.1176977223107417,1,1,PCA,lorenz
11,0.4862108101668425,1,1,PCA,lorenz
12,0.1842365783878009,1,1,PCA,lorenz
13,0.5151890269713487,1,1,PCA,lorenz
14,0.6930171072071184,1,1,PCA,lorenz
15,0.7510426830586839,1,1,PCA,lorenz
16,0.5723421323840574,1,1,PCA,lorenz
17,0.8447566712193945,1,1,PCA,lorenz
18,0.2206472363979588,1,1,PCA,lorenz
19,0.6103438247665292,1,1,PCA,lorenz
20,0.222767847250469,1,1,PCA,lorenz
21,0.120591537866449,1,1,PCA,lorenz
22,0.2245326901001026,1,1,PCA,lorenz
23,0.6516229780709839,1,1,PCA,lorenz
24,0.4572105620761499,1,1,PCA,lorenz
25,0.3039426516101803,1,1,PCA,lorenz
26,0.5028266102011069,1,1,PCA,lorenz
27,0.3880351881283588,1,1,PCA,lorenz
28,0.203046046042126,1,1,PCA,lorenz
29,0.5780150293101469,1,1,PCA,lorenz
30,0.5400018121417188,1,1,PCA,lorenz
31,0.0984413910005375,1,1,PCA,lorenz
32,0.7862516404862796,1,1,PCA,lorenz
33,0.5822980842802892,1,1,PCA,lorenz
34,0.5971666667110493,1,1,PCA,lorenz
35,0.7090858623259652,1,1,PCA,lorenz
36,0.5276754648752935,1,1,PCA,lorenz
37,0.3205070722799108,1,1,PCA,lorenz
38,0.3198621839465623,1,1,PCA,lorenz
39,0.3894546942057484,1,1,PCA,lorenz
40,0.5882450029617763,1,1,PCA,lorenz
41,0.2028619928313184,1,1,PCA,lorenz
42,0.2089006225397607,1,1,PCA,lorenz
43,0.6443811216514028,1,1,PCA,lorenz
44,0.5764790689704393,1,1,PCA,lorenz
45,0.1646406430760632,1,1,PCA,lorenz
46,0.2602512923417706,1,1,PCA,lorenz
47,0.4164146749356915,1,1,PCA,lorenz
48,0.6440124620137995,1,1,PCA,lorenz
49,0.492849782725557,1,1,PCA,lorenz
50,0.425634710168653,1,2,PCA,lorenz
51,0.2453807905578157,1,2,PCA,lorenz
52,0.1970307348985066,1,2,PCA,lorenz
53,0.1571575869052685,1,2,PCA,lorenz
54,0.6558766628521762,2,2,PCA,lorenz
55,0.3386159758060809,1,2,PCA,lorenz
56,0.2266421071518893,1,2,PCA,lorenz
57,0.2288613414321077,1,2,PCA,lorenz
58,0.6887573026837696,1,2,PCA,lorenz
59,0.5657272278021266,1,2,PCA,lorenz
60,0.1176977223107417,1,2,PCA,lorenz
61,0.486210810166842,1,2,PCA,lorenz
62,0.1842365783878009,1,2,PCA,lorenz
63,0.5151890269713489,1,2,PCA,lorenz
64,0.6930171072071185,1,2,PCA,lorenz
65,0.751042683058684,1,2,PCA,lorenz
66,0.6260638552096868,2,2,PCA,lorenz
67,0.8447566712193945,1,2,PCA,lorenz
68,0.2206472363979589,1,2,PCA,lorenz
69,0.6103438247665285,1,2,PCA,lorenz
70,0.222767847250469,1,2,PCA,lorenz
71,0.1391956900293735,2,2,PCA,lorenz
72,0.2245326901001026,1,2,PCA,lorenz
73,0.6516229780709839,1,2,PCA,lorenz
74,0.4572105620761499,1,2,PCA,lorenz
75,0.3039426516101803,1,2,PCA,lorenz
76,0.5028266102011079,1,2,PCA,lorenz
77,0.8395828992909176,2,2,PCA,lorenz
78,0.24996565390494,2,2,PCA,lorenz
79,0.578015029310146,1,2,PCA,lorenz
80,0.6299046905956387,2,2,PCA,lorenz
81,0.0984413910005375,1,2,PCA,lorenz
82,0.7862516404862796,1,2,PCA,lorenz
83,0.5822980842802896,1,2,PCA,lorenz
84,0.5971666667110501,1,2,PCA,lorenz
