,r2,L
0,0.7645311717756016,100.0
1,0.716150596532286,100.0
2,0.8370585853116317,100.0
3,0.8881963660011947,100.0
4,0.7859306648937581,100.0
5,0.7458121339998848,100.0
6,0.8577671211736624,100.0
7,0.9389487680110951,100.0
8,0.8055764521531207,100.0
9,0.8345600219948011,100.0
10,0.47344850876759415,100.0
11,0.8020125818514999,100.0
12,0.6782935273383512,100.0
13,0.8998333731940598,100.0
14,0.7547214100839039,100.0
0,0.8194396888762547,300.0
1,0.8932974430432311,300.0
2,0.9560217983810564,300.0
3,0.9113833724795584,300.0
4,0.8438586232450317,300.0
5,0.8882081188390779,300.0
6,0.685994112924054,300.0
7,0.9603228737949571,300.0
8,0.8968109875936477,300.0
9,0.9136568113023349,300.0
10,0.8232680843160199,300.0
11,0.9660281358486883,300.0
12,0.9988189253006643,300.0
13,0.9390287121450969,300.0
14,0.900078263773366,300.0
0,0.873129650791282,500.0
1,0.9164391453812007,500.0
2,0.8924053077398401,500.0
3,0.9018220072395327,500.0
4,0.9060919377431896,500.0
5,0.935796009895189,500.0
6,0.8793261436287384,500.0
7,0.9013236630876122,500.0
8,0.9178479671988924,500.0
9,0.9142768445125249,500.0
10,0.8503487055413512,500.0
11,0.8043070059099335,500.0
12,0.9940002181281038,500.0
13,0.9102207980450544,500.0
14,0.8872562162110105,500.0
0,0.8728283375269972,700.0
1,0.8964004221583916,700.0
2,0.9229738184670442,700.0
3,0.9208536916789395,700.0
4,0.8598879408637055,700.0
5,0.8975670373657245,700.0
6,0.9211346873551276,700.0
7,0.9252998879567749,700.0
8,0.8772777616030939,700.0
9,0.9224202673354445,700.0
10,0.8841291467725304,700.0
11,0.6773247197396144,700.0
12,0.9985286562121257,700.0
13,0.8925659469019479,700.0
14,0.8872515019698357,700.0
0,0.9087952623362523,900.0
1,0.6165309169673469,900.0
2,0.9153898193812873,900.0
3,0.9404616844222853,900.0
4,0.8814020539342168,900.0
5,0.9411170413583931,900.0
6,0.928964780833835,900.0
7,0.9379709693998031,900.0
8,0.9216753650274316,900.0
9,0.8960076456197061,900.0
10,0.9321013176308925,900.0
11,0.6366196234688524,900.0
12,0.9905952873747976,900.0
13,0.9218815934342578,900.0
14,0.8618429503999623,900.0
0,0.928358927834496,1000.0
1,0.9308573917050902,1000.0
2,0.9142382345456347,1000.0
3,0.9388700649301371,1000.0
4,0.8846081042240989,1000.0
5,0.8998204412189896,1000.0
6,0.9282680149924387,1000.0
7,0.9500529218414723,1000.0
8,0.9260465128880335,1000.0
9,0.917100321744863,1000.0
10,0.8785870709524282,1000.0
11,0.8159663865584468,1000.0
12,0.9927731433168507,1000.0
13,0.9219145867869225,1000.0
14,0.8632362285699574,1000.0
0,0.9296934745661786,2000.0
1,0.9154913508744691,2000.0
2,0.9118732950463234,2000.0
3,0.9261430278090509,2000.0
4,0.9154137693103762,2000.0
5,0.8636426008213685,2000.0
6,0.929750614041109,2000.0
7,0.9330851956347496,2000.0
8,0.9231687349652093,2000.0
9,0.9394571961660608,2000.0
10,0.9350465368924941,2000.0
11,0.9155923156991734,2000.0
12,0.9918387120873796,2000.0
13,0.9355618331711285,2000.0
14,0.8938183478307422,2000.0
0,0.9184271329335891,3000.0
1,0.9150859763275621,3000.0
2,0.9076804714795045,3000.0
3,0.9263431282161834,3000.0
4,0.9022742345586974,3000.0
5,0.8666323182867068,3000.0
6,0.9436445841246148,3000.0
7,0.94940939310281,3000.0
8,0.9292112856727972,3000.0
9,0.9078096302653804,3000.0
10,0.9289045334461855,3000.0
11,0.9304309702886873,3000.0
12,0.9008341157519612,3000.0
13,0.9110661490220163,3000.0
14,0.9094032254528728,3000.0
