,r2,L
0,0.9236252279311253,0.001
1,0.9068244547597024,0.001
2,0.9024401967157485,0.001
3,0.9269947629456501,0.001
4,0.8759639876898534,0.001
5,0.8899701096205693,0.001
6,0.9384508269482658,0.001
7,0.9110291937259997,0.001
8,0.9055529017736055,0.001
9,0.931147063822821,0.001
10,0.9079011030159957,0.001
11,0.6461081207897972,0.001
12,0.9665003144265631,0.001
13,0.9210236883098692,0.001
14,0.8693369960417926,0.001
0,0.9213085380172035,0.0017782794100389228
1,0.9302408769505548,0.0017782794100389228
2,0.9138965345567038,0.0017782794100389228
3,0.9199299890696397,0.0017782794100389228
4,0.8989050251803676,0.0017782794100389228
5,0.8183889530209905,0.0017782794100389228
6,0.9375897355763503,0.0017782794100389228
7,0.926576617115218,0.0017782794100389228
8,0.8975650379253948,0.0017782794100389228
9,0.929770216402044,0.0017782794100389228
10,0.9139181278614332,0.0017782794100389228
11,0.9366769521283249,0.0017782794100389228
12,0.9756407066033895,0.0017782794100389228
13,0.9230883544253917,0.0017782794100389228
14,0.8867970401111838,0.0017782794100389228
0,0.9084250293869394,0.0031622776601683794
1,0.9187950585627027,0.0031622776601683794
2,0.8674438507619587,0.0031622776601683794
3,0.9329068110868484,0.0031622776601683794
4,0.875257395959822,0.0031622776601683794
5,0.8587096744258452,0.0031622776601683794
6,0.9208481578961452,0.0031622776601683794
7,0.9104699591278388,0.0031622776601683794
8,0.8973317876596205,0.0031622776601683794
9,0.9222780400393434,0.0031622776601683794
10,0.917314688581069,0.0031622776601683794
11,0.8913948829596199,0.0031622776601683794
12,0.9774317357425573,0.0031622776601683794
13,0.9148708286379764,0.0031622776601683794
14,0.900395541355264,0.0031622776601683794
0,0.9189236194421512,0.005623413251903491
1,0.9060345233199745,0.005623413251903491
2,0.9069980591366064,0.005623413251903491
3,0.890819623257725,0.005623413251903491
4,0.8780390572491937,0.005623413251903491
5,0.8380381391862353,0.005623413251903491
6,0.9181046810333865,0.005623413251903491
7,0.9126750931239724,0.005623413251903491
8,0.8857153449720377,0.005623413251903491
9,0.8641106355720585,0.005623413251903491
10,0.915851333988833,0.005623413251903491
11,0.8729655514088912,0.005623413251903491
12,0.9870514230664218,0.005623413251903491
13,0.9247043321107646,0.005623413251903491
14,0.8556642310943476,0.005623413251903491
0,0.8841030256947449,0.01
1,0.8750121058057299,0.01
2,0.8984331018309366,0.01
3,0.8840932121912303,0.01
4,0.8299062421087875,0.01
5,0.883787188957283,0.01
6,0.9029949844123191,0.01
7,0.8963176305977544,0.01
8,0.8609784519323636,0.01
9,0.8897458828514557,0.01
10,0.8839730732614052,0.01
11,0.8785797735912367,0.01
12,0.9885833036523262,0.01
13,0.8930666864430585,0.01
14,0.8461717291230748,0.01
0,0.8428873677295114,0.01778279410038923
1,0.857357398221636,0.01778279410038923
2,0.8491551247698076,0.01778279410038923
3,0.858004098472252,0.01778279410038923
4,0.824280754501495,0.01778279410038923
5,0.8119793058904214,0.01778279410038923
6,0.8645627411114643,0.01778279410038923
7,0.864798092316007,0.01778279410038923
8,0.8406526257792428,0.01778279410038923
9,0.8522307301645875,0.01778279410038923
10,0.832835249608513,0.01778279410038923
11,0.7778581195094044,0.01778279410038923
12,0.983322601970287,0.01778279410038923
13,0.8709295113210733,0.01778279410038923
14,0.8169988843223852,0.01778279410038923
0,0.7832554101803315,0.03162277660168379
1,0.7670225740302805,0.03162277660168379
2,0.7880272337840664,0.03162277660168379
3,0.7855468649415696,0.03162277660168379
4,0.7599935348949756,0.03162277660168379
5,0.6932764904272892,0.03162277660168379
6,0.8306539880116799,0.03162277660168379
7,0.787957277581945,0.03162277660168379
8,0.8129188187222465,0.03162277660168379
9,0.7820221253287262,0.03162277660168379
10,0.7504425656252531,0.03162277660168379
11,0.74181292073384,0.03162277660168379
12,0.9233568479977472,0.03162277660168379
13,0.8252115073210602,0.03162277660168379
14,0.733816053505628,0.03162277660168379
0,0.6766190670964212,0.05623413251903491
