data_id,r,method,dataset
0,0.6212408898710547,PCA,tentmap
1,0.2648195289996779,PCA,tentmap
2,0.3765063802909989,PCA,tentmap
3,0.1760421898458286,PCA,tentmap
4,0.6585880970543672,PCA,tentmap
5,0.0509355282635665,PCA,tentmap
6,0.6541823270155713,PCA,tentmap
7,0.531287799531623,PCA,tentmap
8,0.6779832908644777,PCA,tentmap
9,0.3523788383822224,PCA,tentmap
10,0.0808681037120981,PCA,tentmap
11,0.0411983797190159,PCA,tentmap
12,0.0473976536908791,PCA,tentmap
13,0.5797779631694127,PCA,tentmap
14,0.5602772910157018,PCA,tentmap
15,0.1988860322534884,PCA,tentmap
16,0.5637092218471933,PCA,tentmap
17,0.4142918806784157,PCA,tentmap
18,0.0923363840375369,PCA,tentmap
19,0.5870374329024124,PCA,tentmap
20,0.5638628271693736,PCA,tentmap
21,0.2504463787472021,PCA,tentmap
22,0.2911844269283171,PCA,tentmap
23,0.5199875560937677,PCA,tentmap
24,0.6546496957639842,PCA,tentmap
25,0.5214929092329597,PCA,tentmap
26,0.3427639831192023,PCA,tentmap
27,0.63941728259859,PCA,tentmap
28,0.247499031058593,PCA,tentmap
29,0.1303329710489408,PCA,tentmap
30,0.5969219853294294,PCA,tentmap
31,0.662583076981351,PCA,tentmap
32,0.1158385037434416,PCA,tentmap
33,0.1167399707111132,PCA,tentmap
34,0.397966467033637,PCA,tentmap
35,0.5121255581880407,PCA,tentmap
36,0.1733373219412339,PCA,tentmap
37,0.0830359638777728,PCA,tentmap
38,0.0690129680958789,PCA,tentmap
39,0.6294494380156928,PCA,tentmap
40,0.5232115777606587,PCA,tentmap
41,0.5386724481470018,PCA,tentmap
42,0.0674620253842705,PCA,tentmap
43,0.4928015763079117,PCA,tentmap
44,0.4049722799852319,PCA,tentmap
45,0.0803541452900115,PCA,tentmap
46,0.0799136203619222,PCA,tentmap
47,0.4215071726842681,PCA,tentmap
48,0.2938998874544773,PCA,tentmap
49,0.5548421959432455,PCA,tentmap
0,0.6189343155678186,ICA,tentmap
1,0.2665727079685127,ICA,tentmap
2,0.3780424541878323,ICA,tentmap
3,0.4930300470968565,ICA,tentmap
4,0.6646731310614464,ICA,tentmap
5,0.5392032260837054,ICA,tentmap
6,0.6694816350501609,ICA,tentmap
7,0.5340704554873869,ICA,tentmap
8,0.6760364352911001,ICA,tentmap
9,0.6087088752311179,ICA,tentmap
10,0.0814045953895958,ICA,tentmap
11,0.3765647173710992,ICA,tentmap
12,0.4375654940289446,ICA,tentmap
13,0.5104699195785963,ICA,tentmap
14,0.5843408779758013,ICA,tentmap
15,0.1994056552104458,ICA,tentmap
16,0.5291600922088878,ICA,tentmap
17,0.502660536470716,ICA,tentmap
18,0.5515563423414853,ICA,tentmap
