data_id,r,method,dataset
0,0.7513596612200869,ASOM,logmap
1,0.7912202623244732,ASOM,logmap
2,0.835634077251315,ASOM,logmap
3,0.7894889868031632,ASOM,logmap
4,0.6247172537424397,ASOM,logmap
5,0.9355542594761557,ASOM,logmap
6,0.7510282081107218,ASOM,logmap
7,0.8043123724575315,ASOM,logmap
8,0.7487852168878966,ASOM,logmap
9,0.7438129304398109,ASOM,logmap
10,0.6601779073322759,ASOM,logmap
11,0.9885372008907085,ASOM,logmap
12,0.9048056452809532,ASOM,logmap
13,0.6367782675248183,ASOM,logmap
14,0.5831053653448751,ASOM,logmap
15,0.771273979275883,ASOM,logmap
16,0.94045311238571,ASOM,logmap
17,0.8473174631378174,ASOM,logmap
18,0.8478402638601686,ASOM,logmap
19,0.8354339820950362,ASOM,logmap
20,0.7448846874933597,ASOM,logmap
21,0.8371485906227712,ASOM,logmap
22,0.9662228101146093,ASOM,logmap
23,0.8247767912442143,ASOM,logmap
24,0.771032387878829,ASOM,logmap
25,0.7124568882726601,ASOM,logmap
26,0.8326304300338259,ASOM,logmap
27,0.6603917292475538,ASOM,logmap
28,0.7353189979362532,ASOM,logmap
29,0.8180077362327787,ASOM,logmap
30,0.7546886835346596,ASOM,logmap
31,0.806484992144052,ASOM,logmap
32,0.7748584831917747,ASOM,logmap
33,0.8280915295571645,ASOM,logmap
34,0.7679647580402584,ASOM,logmap
35,0.8272134448665039,ASOM,logmap
36,0.822649524275749,ASOM,logmap
37,0.7693529444036913,ASOM,logmap
38,0.7998445312577386,ASOM,logmap
39,0.8010464240940942,ASOM,logmap
40,0.5996064614672683,ASOM,logmap
41,0.9442333706168846,ASOM,logmap
42,0.8041737779369589,ASOM,logmap
43,0.7875727971181652,ASOM,logmap
44,0.7932046268152341,ASOM,logmap
45,0.6823706667021898,ASOM,logmap
46,0.7704751940707202,ASOM,logmap
47,0.8155710667273561,ASOM,logmap
48,0.7575514168858279,ASOM,logmap
49,0.8906899706636388,ASOM,logmap
