data_id,r,method,dataset
0,0.731177353523949,CCA,logmap
1,0.756861835517568,CCA,logmap
2,0.7495165631180325,CCA,logmap
3,0.7368139845241971,CCA,logmap
4,0.5784058778361537,CCA,logmap
5,0.7074774269934891,CCA,logmap
6,0.6299595163104671,CCA,logmap
7,0.7778429183367501,CCA,logmap
8,0.6528768471390054,CCA,logmap
9,0.7844107370129786,CCA,logmap
10,0.695181348118151,CCA,logmap
11,0.7004143012555948,CCA,logmap
12,0.701840587885468,CCA,logmap
13,0.6820218560252124,CCA,logmap
14,0.7385860950979067,CCA,logmap
15,0.6591499403343314,CCA,logmap
16,0.8708309067634785,CCA,logmap
17,0.7484697243308748,CCA,logmap
18,0.713241625659476,CCA,logmap
19,0.793663655182086,CCA,logmap
20,0.7278880086336253,CCA,logmap
21,0.7964954599074937,CCA,logmap
22,0.8302359767066705,CCA,logmap
23,0.7460674286360212,CCA,logmap
24,0.5740079815862047,CCA,logmap
25,0.6472046134185171,CCA,logmap
26,0.7457551430397483,CCA,logmap
27,0.7494430590158507,CCA,logmap
28,0.6858470268693045,CCA,logmap
29,0.6547312450881602,CCA,logmap
30,0.7193315738298409,CCA,logmap
31,0.7521198520878135,CCA,logmap
32,0.6586662092106668,CCA,logmap
33,0.7890726962494746,CCA,logmap
34,0.8218759742428696,CCA,logmap
35,0.7604484771958655,CCA,logmap
36,0.6992377201083506,CCA,logmap
37,0.6237391386603494,CCA,logmap
38,0.7469204180303615,CCA,logmap
39,0.7171151564432999,CCA,logmap
40,0.7566059318706387,CCA,logmap
41,0.7111298756330477,CCA,logmap
42,0.7358743101595321,CCA,logmap
43,0.8079859319958869,CCA,logmap
44,0.650749223173007,CCA,logmap
45,0.5607337622111459,CCA,logmap
46,0.6683031244509849,CCA,logmap
47,0.7717354413948054,CCA,logmap
48,0.7920690710510438,CCA,logmap
49,0.7515005743574622,CCA,logmap
