data_id,r,method,dataset
0,0.6950247138809007,DCA,logmap
1,0.7315973391870829,DCA,logmap
2,0.7248091278050521,DCA,logmap
3,0.6951490443433315,DCA,logmap
4,0.5840575778639578,DCA,logmap
5,0.685451021389105,DCA,logmap
6,0.6166476707851338,DCA,logmap
7,0.741088551762971,DCA,logmap
8,0.6438395742184227,DCA,logmap
9,0.7594883808836745,DCA,logmap
10,0.6699472400269302,DCA,logmap
11,0.576379768849945,DCA,logmap
12,0.6923352462231386,DCA,logmap
13,0.6649812987129655,DCA,logmap
14,0.7189513569960437,DCA,logmap
15,0.624306153350325,DCA,logmap
16,0.980261277542254,DCA,logmap
17,0.7166741614417319,DCA,logmap
18,0.6701818771921689,DCA,logmap
19,0.7534122032108739,DCA,logmap
20,0.7027390614755138,DCA,logmap
21,0.7675718586756626,DCA,logmap
22,0.947802004458359,DCA,logmap
23,0.7136524406532286,DCA,logmap
24,0.5747682432598809,DCA,logmap
25,0.6310493431576922,DCA,logmap
26,0.7256069620916621,DCA,logmap
27,0.719900952515625,DCA,logmap
28,0.6596648555792797,DCA,logmap
29,0.6305041664270026,DCA,logmap
30,0.6798018875433463,DCA,logmap
31,0.7133826393346152,DCA,logmap
32,0.6419120023109379,DCA,logmap
33,0.9400466465672008,DCA,logmap
34,0.8034575959843933,DCA,logmap
35,0.7349895288790199,DCA,logmap
36,0.6694749148425456,DCA,logmap
37,0.617837641012905,DCA,logmap
38,0.7146465051607791,DCA,logmap
39,0.698316301194351,DCA,logmap
40,0.7201081259416564,DCA,logmap
41,0.7084468391221599,DCA,logmap
42,0.7064046579771185,DCA,logmap
43,0.759049494965478,DCA,logmap
44,0.6341688871802034,DCA,logmap
45,0.5494228853040604,DCA,logmap
46,0.6464369683425196,DCA,logmap
47,0.736273370691348,DCA,logmap
48,0.759584029644111,DCA,logmap
49,0.7426408509010125,DCA,logmap
