data_id,r,method,dataset
0,0.7325224937552975,DCCA,logmap
1,0.7571887319208841,DCCA,logmap
2,0.7493658925836217,DCCA,logmap
3,0.7377973693199609,DCCA,logmap
4,0.5836705998857491,DCCA,logmap
5,0.7142069020996346,DCCA,logmap
6,0.6322262074799873,DCCA,logmap
7,0.7759734072169542,DCCA,logmap
8,0.6541709623930777,DCCA,logmap
9,0.7856891886102152,DCCA,logmap
10,0.6961693987633149,DCCA,logmap
11,0.6509667283912485,DCCA,logmap
12,0.6809789446297854,DCCA,logmap
13,0.6828079185539114,DCCA,logmap
14,0.7396964197295111,DCCA,logmap
15,0.6614555180832081,DCCA,logmap
16,0.8714338678125183,DCCA,logmap
17,0.7508941243671985,DCCA,logmap
18,0.7129817742856669,DCCA,logmap
19,0.7935004814825753,DCCA,logmap
20,0.728655982750413,DCCA,logmap
21,0.7968724997671032,DCCA,logmap
22,0.7885692167533871,DCCA,logmap
23,0.7472624195801135,DCCA,logmap
24,0.5778075382070815,DCCA,logmap
25,0.6482198905475723,DCCA,logmap
26,0.7491632199016648,DCCA,logmap
27,0.7498320922108689,DCCA,logmap
28,0.6872032709608691,DCCA,logmap
29,0.6575157787725681,DCCA,logmap
30,0.7189197296721375,DCCA,logmap
31,0.7711577116320656,DCCA,logmap
32,0.6615110770791618,DCCA,logmap
33,0.8647125624549494,DCCA,logmap
34,0.8216131212862418,DCCA,logmap
35,0.7610862671624189,DCCA,logmap
36,0.7009319069713797,DCCA,logmap
37,0.6303982419336746,DCCA,logmap
38,0.7467690486016246,DCCA,logmap
39,0.7185234045469847,DCCA,logmap
40,0.7559961429046276,DCCA,logmap
41,0.7144619368691795,DCCA,logmap
42,0.7373580775898926,DCCA,logmap
43,0.8090439016833043,DCCA,logmap
44,0.654275742448513,DCCA,logmap
45,0.5386671847626431,DCCA,logmap
46,0.6691433212082024,DCCA,logmap
47,0.7726529470650942,DCCA,logmap
48,0.792566466838688,DCCA,logmap
49,0.7537234406657493,DCCA,logmap
