data_id,r,method,dataset
0,0.6925884525245588,ICA,logmap
1,0.7137593155728343,ICA,logmap
2,0.7137132384401622,ICA,logmap
3,0.7045143688341706,ICA,logmap
4,0.579667318760457,ICA,logmap
5,0.7057345705211382,ICA,logmap
6,0.6038521829124868,ICA,logmap
7,0.7574049973602148,ICA,logmap
8,0.6045434913092749,ICA,logmap
9,0.7841098808342031,ICA,logmap
10,0.6606808791572228,ICA,logmap
11,0.6564703030177227,ICA,logmap
12,0.7007604641931912,ICA,logmap
13,0.6524863499825287,ICA,logmap
14,0.7054562111730152,ICA,logmap
15,0.6032966806602631,ICA,logmap
16,0.90046765337516,ICA,logmap
17,0.7107265679171862,ICA,logmap
18,0.6901544766482065,ICA,logmap
19,0.755304142921003,ICA,logmap
20,0.6937611489101215,ICA,logmap
21,0.7814638786348053,ICA,logmap
22,0.8790297985819153,ICA,logmap
23,0.6531159801984694,ICA,logmap
24,0.5492447671187175,ICA,logmap
25,0.6208676537735995,ICA,logmap
26,0.691026607883543,ICA,logmap
27,0.7108258940084957,ICA,logmap
28,0.6583883971897477,ICA,logmap
29,0.6126734968164737,ICA,logmap
30,0.6905198340676703,ICA,logmap
31,0.7388461419945196,ICA,logmap
32,0.624348332275738,ICA,logmap
33,0.881463883489875,ICA,logmap
34,0.784686026034281,ICA,logmap
35,0.7269001312983451,ICA,logmap
36,0.6788342735094297,ICA,logmap
37,0.6074277135380438,ICA,logmap
38,0.7048463049181526,ICA,logmap
39,0.6819718227381449,ICA,logmap
40,0.733196101529275,ICA,logmap
41,0.6548058592498263,ICA,logmap
42,0.6960089906653302,ICA,logmap
43,0.7600093649972464,ICA,logmap
44,0.603431547403661,ICA,logmap
45,0.5272213531804661,ICA,logmap
46,0.6484255971662646,ICA,logmap
47,0.725105389479302,ICA,logmap
48,0.7727782735713867,ICA,logmap
49,0.7098218638779127,ICA,logmap
