data_id,r,duration,method,dataset
0,0.708753304093625,NaN,KPCA,logmap
1,0.7255675199546782,NaN,KPCA,logmap
2,0.7238169381776604,NaN,KPCA,logmap
3,0.7101148985953503,NaN,KPCA,logmap
4,0.5878985054780517,NaN,KPCA,logmap
5,0.7094626832977678,NaN,KPCA,logmap
6,0.6052884242989777,NaN,KPCA,logmap
7,0.7620798587447902,NaN,KPCA,logmap
8,0.6391179439769501,NaN,KPCA,logmap
9,0.7642000540901808,NaN,KPCA,logmap
10,0.6350367535827413,NaN,KPCA,logmap
11,0.6194017294745704,NaN,KPCA,logmap
12,0.6739024173280604,NaN,KPCA,logmap
13,0.6498578552960751,NaN,KPCA,logmap
14,0.7257549788867365,NaN,KPCA,logmap
15,0.4932170163387365,NaN,KPCA,logmap
16,0.9168343543013543,NaN,KPCA,logmap
17,0.7564911789921147,NaN,KPCA,logmap
18,0.6755382011729232,NaN,KPCA,logmap
19,0.7699298112740477,NaN,KPCA,logmap
20,0.7051638617115101,NaN,KPCA,logmap
21,0.7828366687448195,NaN,KPCA,logmap
22,0.8930516117587927,NaN,KPCA,logmap
23,0.7206633406940064,NaN,KPCA,logmap
24,0.5844844673907477,NaN,KPCA,logmap
25,0.6269287168577103,NaN,KPCA,logmap
26,0.7463497803457391,NaN,KPCA,logmap
27,0.7197361093323092,NaN,KPCA,logmap
28,0.6681070963733319,NaN,KPCA,logmap
29,0.5440539806023929,NaN,KPCA,logmap
30,0.6766110772594063,NaN,KPCA,logmap
31,0.7584807947456523,NaN,KPCA,logmap
32,0.5961812648297874,NaN,KPCA,logmap
33,0.8975971027948999,NaN,KPCA,logmap
34,0.7830973927842505,NaN,KPCA,logmap
35,0.7344122463709666,NaN,KPCA,logmap
36,0.6867229027474065,NaN,KPCA,logmap
37,0.5777306363033347,NaN,KPCA,logmap
38,0.7152310335679365,NaN,KPCA,logmap
39,0.7092197851672456,NaN,KPCA,logmap
40,0.7283575585072747,NaN,KPCA,logmap
41,0.5416012254277024,NaN,KPCA,logmap
42,0.7164655704438079,NaN,KPCA,logmap
43,0.7711605799685028,NaN,KPCA,logmap
44,0.5783320180336291,NaN,KPCA,logmap
45,0.5164100095767664,NaN,KPCA,logmap
46,0.6407480992901413,NaN,KPCA,logmap
47,0.7535741914130362,NaN,KPCA,logmap
48,0.7600459513595876,NaN,KPCA,logmap
49,0.7437777948439723,NaN,KPCA,logmap
