data_id,r,method,dataset
0,0.970514754285656,MaCo,logmap
1,0.977770728715606,MaCo,logmap
2,0.974095377649361,MaCo,logmap
3,0.9739208453807983,MaCo,logmap
4,0.9656011783005078,MaCo,logmap
5,0.893208994053794,MaCo,logmap
6,0.970116571800744,MaCo,logmap
7,0.9787862181038183,MaCo,logmap
8,0.9681805949846859,MaCo,logmap
9,0.9814655790251565,MaCo,logmap
10,0.9744749303451437,MaCo,logmap
11,0.8802970568313692,MaCo,logmap
12,0.9551108196202991,MaCo,logmap
13,0.9708377842061675,MaCo,logmap
14,0.9712052095778523,MaCo,logmap
15,0.9739428108087502,MaCo,logmap
16,0.9074494607391306,MaCo,logmap
17,0.9607141577172218,MaCo,logmap
18,0.9701179953556517,MaCo,logmap
19,0.9764088767232768,MaCo,logmap
20,0.9709875405303934,MaCo,logmap
21,0.9668791909295265,MaCo,logmap
22,0.9453118004957877,MaCo,logmap
23,0.9668662140380183,MaCo,logmap
24,0.9685764440378918,MaCo,logmap
25,0.9738992751269463,MaCo,logmap
26,0.9745560398820845,MaCo,logmap
27,0.9745352683282686,MaCo,logmap
28,0.9729000545933907,MaCo,logmap
29,0.9733220992185121,MaCo,logmap
30,0.982904429634822,MaCo,logmap
31,0.912688906206262,MaCo,logmap
32,0.9674500234142898,MaCo,logmap
33,0.8098319094340803,MaCo,logmap
34,0.9721094115443419,MaCo,logmap
35,0.9761916830920412,MaCo,logmap
36,0.9809787929752571,MaCo,logmap
37,0.9766845206279562,MaCo,logmap
38,0.9705505828588495,MaCo,logmap
39,0.9664957056623126,MaCo,logmap
40,0.9742031544106705,MaCo,logmap
41,0.9795950816062488,MaCo,logmap
42,0.9698868028226504,MaCo,logmap
43,0.9794430431144573,MaCo,logmap
44,0.9729757640706109,MaCo,logmap
45,0.9671556035711512,MaCo,logmap
46,0.9659369184674675,MaCo,logmap
47,0.9663338903436821,MaCo,logmap
48,0.9827733524645514,MaCo,logmap
49,0.975399371003428,MaCo,logmap
