data_id,r,duration,method,dataset
0,0.7195304385070239,NaN,KPCA,logmap
1,0.7392623291364315,NaN,KPCA,logmap
2,0.7234108962648286,NaN,KPCA,logmap
3,0.7104821057920344,NaN,KPCA,logmap
4,0.5920988737268804,NaN,KPCA,logmap
5,0.7171703911300848,NaN,KPCA,logmap
6,0.6276119047230139,NaN,KPCA,logmap
7,0.7537064674439872,NaN,KPCA,logmap
8,0.6475074718486828,NaN,KPCA,logmap
9,0.7677149869232738,NaN,KPCA,logmap
10,0.6599549473987203,NaN,KPCA,logmap
11,0.6109000749017243,NaN,KPCA,logmap
12,0.6672585645904139,NaN,KPCA,logmap
13,0.6426425369216534,NaN,KPCA,logmap
14,0.7279743642964901,NaN,KPCA,logmap
15,0.47589600634904844,NaN,KPCA,logmap
16,0.9119726899497795,NaN,KPCA,logmap
17,0.7524884924425379,NaN,KPCA,logmap
18,0.689154942035319,NaN,KPCA,logmap
19,0.7695908072554043,NaN,KPCA,logmap
20,0.7083162422974081,NaN,KPCA,logmap
21,0.7843474200023589,NaN,KPCA,logmap
22,0.8880915764159011,NaN,KPCA,logmap
23,0.7228563210047351,NaN,KPCA,logmap
24,0.5838077120408761,NaN,KPCA,logmap
25,0.6331157900702352,NaN,KPCA,logmap
26,0.7447560410157077,NaN,KPCA,logmap
27,0.727111288835337,NaN,KPCA,logmap
28,0.6740744815483329,NaN,KPCA,logmap
29,0.559923194302726,NaN,KPCA,logmap
30,0.6830348223124353,NaN,KPCA,logmap
31,0.7030821495982107,NaN,KPCA,logmap
32,0.5626658016300674,NaN,KPCA,logmap
33,0.8951740685959074,NaN,KPCA,logmap
34,0.7920044290685394,NaN,KPCA,logmap
35,0.7359457069031837,NaN,KPCA,logmap
36,0.6822846123805487,NaN,KPCA,logmap
37,0.5556713116317749,NaN,KPCA,logmap
38,0.7288941024074743,NaN,KPCA,logmap
39,0.7059253224837503,NaN,KPCA,logmap
40,0.7327356269306514,NaN,KPCA,logmap
41,0.5590138423219132,NaN,KPCA,logmap
42,0.7171177440938048,NaN,KPCA,logmap
43,0.7888976415959663,NaN,KPCA,logmap
44,0.5457679723420478,NaN,KPCA,logmap
45,0.41833269025082126,NaN,KPCA,logmap
46,0.6470864567583651,NaN,KPCA,logmap
47,0.7552622193176458,NaN,KPCA,logmap
48,0.7639428776737435,NaN,KPCA,logmap
49,0.7401667378371969,NaN,KPCA,logmap
