data_id,r,method,dataset
0,0.03835847045672783,Random,logmap
1,0.03788604255587217,Random,logmap
2,0.036035680957717725,Random,logmap
3,0.04149651235487228,Random,logmap
4,0.0337021761561287,Random,logmap
5,0.017556282538526008,Random,logmap
6,0.03837150813190419,Random,logmap
7,0.03437156083315211,Random,logmap
8,0.035104789306928535,Random,logmap
9,0.04137777930318144,Random,logmap
10,0.03727958191086692,Random,logmap
11,0.025264146147583388,Random,logmap
12,0.01630139816568136,Random,logmap
13,0.03559825831501466,Random,logmap
14,0.032407917765787095,Random,logmap
15,0.03733310087967486,Random,logmap
16,0.01944675196847672,Random,logmap
17,0.033470790013190525,Random,logmap
18,0.034662695981952985,Random,logmap
19,0.03745347182024792,Random,logmap
20,0.03588319338219666,Random,logmap
21,0.038908035236056196,Random,logmap
22,0.013747803862667057,Random,logmap
23,0.036464102075193384,Random,logmap
24,0.03420999182981717,Random,logmap
25,0.03094686026607841,Random,logmap
26,0.0340321078344924,Random,logmap
27,0.03721764293368434,Random,logmap
28,0.03409069719254593,Random,logmap
29,0.03483308665265651,Random,logmap
30,0.03881236310602741,Random,logmap
31,0.03510380200597388,Random,logmap
32,0.03877115286605416,Random,logmap
33,0.02989405748695792,Random,logmap
34,0.034712032443389725,Random,logmap
35,0.0357161680304038,Random,logmap
36,0.03268793323229251,Random,logmap
37,0.04060835296774019,Random,logmap
38,0.03981593600709658,Random,logmap
39,0.03289623674297737,Random,logmap
40,0.03661422515339052,Random,logmap
41,0.015019945052915734,Random,logmap
42,0.04439878814580356,Random,logmap
43,0.03543668211641383,Random,logmap
44,0.03621722175638322,Random,logmap
45,0.03519635531811813,Random,logmap
46,0.03368337762751371,Random,logmap
47,0.03683816621533738,Random,logmap
48,0.03480471340368618,Random,logmap
49,0.03541107018256368,Random,logmap
