data_id,r,method,dataset
0,0.1445823827253483,SFA,logmap
1,0.135227215346343,SFA,logmap
2,0.13497225015487035,SFA,logmap
3,0.13397177667631455,SFA,logmap
4,0.26855940630589636,SFA,logmap
5,0.01586452221530786,SFA,logmap
6,0.19319489405143006,SFA,logmap
7,0.09800403222318133,SFA,logmap
8,0.2162609583563666,SFA,logmap
9,0.10024822305711133,SFA,logmap
10,0.178937254071595,SFA,logmap
11,0.006577078427148524,SFA,logmap
12,0.010238257432287805,SFA,logmap
13,0.19310453733753902,SFA,logmap
14,0.12355446817734192,SFA,logmap
15,0.1752857514057378,SFA,logmap
16,0.002418671030438675,SFA,logmap
17,0.12548698033072722,SFA,logmap
18,0.21289039619248748,SFA,logmap
19,0.11169044085105623,SFA,logmap
20,0.15337661365999034,SFA,logmap
21,0.08758712097924479,SFA,logmap
22,0.005772847698527472,SFA,logmap
23,0.15115143825336605,SFA,logmap
24,0.25250852516839156,SFA,logmap
25,0.2300648250304367,SFA,logmap
26,0.1152954250489854,SFA,logmap
27,0.15016604162007002,SFA,logmap
28,0.15752848030159916,SFA,logmap
29,0.20779623384395104,SFA,logmap
30,0.18861778898321907,SFA,logmap
31,0.07445827212643315,SFA,logmap
32,0.20879685186417452,SFA,logmap
33,0.004115372900636203,SFA,logmap
34,0.1030864298876774,SFA,logmap
35,0.12174239546018335,SFA,logmap
36,0.1846553135913235,SFA,logmap
37,0.21128081910512628,SFA,logmap
38,0.18676601603822274,SFA,logmap
39,0.13684725677751072,SFA,logmap
40,0.16683162710958477,SFA,logmap
41,0.010778628082641312,SFA,logmap
42,0.1525976087175314,SFA,logmap
43,0.1223221858707532,SFA,logmap
44,0.18371513285367033,SFA,logmap
45,0.2934373137237265,SFA,logmap
46,0.18922186198000415,SFA,logmap
47,0.10787320861391221,SFA,logmap
48,0.09956219071197439,SFA,logmap
49,0.09308511962684426,SFA,logmap
