data_id,r,method,dataset
0,0.6752213458705321,ShRec,logmap
1,0.697598161203219,ShRec,logmap
2,0.6779728269040736,ShRec,logmap
3,0.6729083103486617,ShRec,logmap
4,0.5635962694208199,ShRec,logmap
5,0.7605896642219011,ShRec,logmap
6,0.5835701908622624,ShRec,logmap
7,0.7232399513099765,ShRec,logmap
8,0.6205295253440036,ShRec,logmap
9,0.7630212762064849,ShRec,logmap
10,0.6018234621816989,ShRec,logmap
11,0.723955388299746,ShRec,logmap
12,0.7324703857486463,ShRec,logmap
13,0.6042740164457401,ShRec,logmap
14,0.6843396151541882,ShRec,logmap
15,0.5694732961261174,ShRec,logmap
16,0.9330706060935942,ShRec,logmap
17,0.7639526538928844,ShRec,logmap
18,0.6159827635472759,ShRec,logmap
19,0.7341370871952868,ShRec,logmap
20,0.6624064850063602,ShRec,logmap
21,0.7269000672966908,ShRec,logmap
22,0.8765217037938388,ShRec,logmap
23,0.681833582415944,ShRec,logmap
24,0.5752990295597973,ShRec,logmap
25,0.5792102151523036,ShRec,logmap
26,0.7327391984633491,ShRec,logmap
27,0.6960829153924494,ShRec,logmap
28,0.6241952085689446,ShRec,logmap
29,0.5724136829885614,ShRec,logmap
30,0.6214917996007472,ShRec,logmap
31,0.7843607813605402,ShRec,logmap
32,0.5852151493251109,ShRec,logmap
33,0.9717922428775909,ShRec,logmap
34,0.8029766148104881,ShRec,logmap
35,0.6976717365277127,ShRec,logmap
36,0.6434219514954332,ShRec,logmap
37,0.5524800346078452,ShRec,logmap
38,0.652206706869293,ShRec,logmap
39,0.6651322382004023,ShRec,logmap
40,0.6694382512232261,ShRec,logmap
41,0.6304837387517116,ShRec,logmap
42,0.6725469239888222,ShRec,logmap
43,0.7381574225460147,ShRec,logmap
44,0.5968524899460065,ShRec,logmap
45,0.5207271451604174,ShRec,logmap
46,0.590620638373428,ShRec,logmap
47,0.729061569717854,ShRec,logmap
48,0.7607770291683335,ShRec,logmap
49,0.699018667630062,ShRec,logmap
