,coefs,wcomp,n_components,method,dataset
0,0.17058297931116984,1,1,DCA,lorenz
1,0.20011569047662142,1,1,DCA,lorenz
2,0.15799510913987053,1,1,DCA,lorenz
0,0.44260276022843437,2,2,DCA,lorenz
1,0.183754611746622,2,2,DCA,lorenz
2,0.12287675478414434,1,2,DCA,lorenz
0,0.38670324919351173,1,3,DCA,lorenz
1,0.24857631751860038,2,3,DCA,lorenz
2,0.1522956501617737,1,3,DCA,lorenz
0,0.5142983131391823,4,4,DCA,lorenz
1,0.31540320685345635,4,4,DCA,lorenz
2,0.20673964485357094,3,4,DCA,lorenz
0,0.49128716353346624,5,5,DCA,lorenz
1,0.3189399767272724,5,5,DCA,lorenz
2,0.3074291125222165,1,5,DCA,lorenz
0,0.657023721997644,1,6,DCA,lorenz
1,0.31065842055792126,4,6,DCA,lorenz
2,0.2524662452261699,5,6,DCA,lorenz
