,coefs,wcomp,n_components,method,dataset
0,0.42563471016865295,1,1,PCA,lorenz
1,0.2453807905578156,1,1,PCA,lorenz
2,0.19703073489850664,1,1,PCA,lorenz
3,0.15715758690526865,1,1,PCA,lorenz
4,0.527600692303763,1,1,PCA,lorenz
5,0.33861597580608116,1,1,PCA,lorenz
6,0.22664210715188932,1,1,PCA,lorenz
7,0.22886134143210762,1,1,PCA,lorenz
8,0.6887573026837694,1,1,PCA,lorenz
9,0.5657272278021267,1,1,PCA,lorenz
10,0.11769772231074177,1,1,PCA,lorenz
11,0.48621081016684253,1,1,PCA,lorenz
12,0.18423657838780094,1,1,PCA,lorenz
13,0.5151890269713487,1,1,PCA,lorenz
14,0.6930171072071184,1,1,PCA,lorenz
15,0.7510426830586839,1,1,PCA,lorenz
16,0.5723421323840574,1,1,PCA,lorenz
17,0.8447566712193945,1,1,PCA,lorenz
18,0.2206472363979588,1,1,PCA,lorenz
19,0.6103438247665292,1,1,PCA,lorenz
20,0.22276784725046903,1,1,PCA,lorenz
21,0.12059153786644904,1,1,PCA,lorenz
22,0.22453269010010266,1,1,PCA,lorenz
23,0.6516229780709839,1,1,PCA,lorenz
24,0.45721056207614996,1,1,PCA,lorenz
25,0.30394265161018036,1,1,PCA,lorenz
26,0.5028266102011069,1,1,PCA,lorenz
27,0.3880351881283588,1,1,PCA,lorenz
28,0.20304604604212603,1,1,PCA,lorenz
29,0.5780150293101469,1,1,PCA,lorenz
30,0.5400018121417188,1,1,PCA,lorenz
31,0.09844139100053756,1,1,PCA,lorenz
32,0.7862516404862796,1,1,PCA,lorenz
33,0.5822980842802892,1,1,PCA,lorenz
34,0.5971666667110493,1,1,PCA,lorenz
35,0.7090858623259652,1,1,PCA,lorenz
36,0.5276754648752935,1,1,PCA,lorenz
37,0.3205070722799108,1,1,PCA,lorenz
38,0.3198621839465623,1,1,PCA,lorenz
39,0.3894546942057484,1,1,PCA,lorenz
40,0.5882450029617763,1,1,PCA,lorenz
41,0.20286199283131848,1,1,PCA,lorenz
42,0.20890062253976077,1,1,PCA,lorenz
43,0.6443811216514028,1,1,PCA,lorenz
44,0.5764790689704393,1,1,PCA,lorenz
45,0.16464064307606327,1,1,PCA,lorenz
46,0.2602512923417706,1,1,PCA,lorenz
47,0.4164146749356915,1,1,PCA,lorenz
48,0.6440124620137995,1,1,PCA,lorenz
49,0.492849782725557,1,1,PCA,lorenz
0,0.42563471016865306,1,2,PCA,lorenz
1,0.24538079055781573,1,2,PCA,lorenz
2,0.19703073489850667,1,2,PCA,lorenz
3,0.15715758690526851,1,2,PCA,lorenz
4,0.6558766628521762,2,2,PCA,lorenz
5,0.3386159758060809,1,2,PCA,lorenz
6,0.22664210715188937,1,2,PCA,lorenz
7,0.2288613414321077,1,2,PCA,lorenz
8,0.6887573026837696,1,2,PCA,lorenz
9,0.5657272278021266,1,2,PCA,lorenz
10,0.11769772231074171,1,2,PCA,lorenz
11,0.486210810166842,1,2,PCA,lorenz
12,0.18423657838780094,1,2,PCA,lorenz
13,0.5151890269713489,1,2,PCA,lorenz
14,0.6930171072071185,1,2,PCA,lorenz
15,0.751042683058684,1,2,PCA,lorenz
16,0.6260638552096868,2,2,PCA,lorenz
17,0.8447566712193945,1,2,PCA,lorenz
18,0.2206472363979589,1,2,PCA,lorenz
19,0.6103438247665285,1,2,PCA,lorenz
20,0.22276784725046905,1,2,PCA,lorenz
21,0.1391956900293735,2,2,PCA,lorenz
22,0.22453269010010263,1,2,PCA,lorenz
23,0.6516229780709839,1,2,PCA,lorenz
24,0.45721056207614996,1,2,PCA,lorenz
25,0.30394265161018036,1,2,PCA,lorenz
26,0.5028266102011079,1,2,PCA,lorenz
27,0.8395828992909176,2,2,PCA,lorenz
28,0.24996565390494002,2,2,PCA,lorenz
29,0.578015029310146,1,2,PCA,lorenz
30,0.6299046905956387,2,2,PCA,lorenz
31,0.0984413910005375,1,2,PCA,lorenz
32,0.7862516404862796,1,2,PCA,lorenz
33,0.5822980842802896,1,2,PCA,lorenz
34,0.5971666667110501,1,2,PCA,lorenz
35,0.709085862325968,1,2,PCA,lorenz
36,0.5276754648752936,1,2,PCA,lorenz
37,0.4635853318085859,2,2,PCA,lorenz
38,0.4113183045631129,2,2,PCA,lorenz
39,0.6314666874555867,2,2,PCA,lorenz
40,0.5882450029617766,1,2,PCA,lorenz
41,0.20286199283131864,1,2,PCA,lorenz
42,0.20890062253976072,1,2,PCA,lorenz
43,0.6443811216514024,1,2,PCA,lorenz
44,0.5764790689704389,1,2,PCA,lorenz
45,0.16464064307606346,1,2,PCA,lorenz
46,0.2602512923417707,1,2,PCA,lorenz
47,0.41641467493569206,1,2,PCA,lorenz
48,0.6887395462742592,2,2,PCA,lorenz
49,0.49284978272555935,1,2,PCA,lorenz
0,0.42563471016865273,1,3,PCA,lorenz
1,0.24538079055781548,1,3,PCA,lorenz
2,0.19703073489850667,1,3,PCA,lorenz
3,0.15715758690526854,1,3,PCA,lorenz
4,0.6558766628521766,2,3,PCA,lorenz
5,0.3386159758060818,1,3,PCA,lorenz
6,0.22664210715188937,1,3,PCA,lorenz
7,0.22886134143210765,1,3,PCA,lorenz
8,0.6887573026837694,1,3,PCA,lorenz
9,0.5657272278021266,1,3,PCA,lorenz
10,0.11769772231074171,1,3,PCA,lorenz
11,0.48621081016684214,1,3,PCA,lorenz
12,0.184236578387801,1,3,PCA,lorenz
13,0.5151890269713493,1,3,PCA,lorenz
14,0.6930171072071183,1,3,PCA,lorenz
15,0.7510426830586838,1,3,PCA,lorenz
16,0.6260638552096862,2,3,PCA,lorenz
17,0.8447566712193946,1,3,PCA,lorenz
18,0.22064723639795888,1,3,PCA,lorenz
19,0.6103438247665286,1,3,PCA,lorenz
20,0.22276784725046905,1,3,PCA,lorenz
21,0.13919569002937343,2,3,PCA,lorenz
22,0.22453269010010263,1,3,PCA,lorenz
23,0.6516229780709839,1,3,PCA,lorenz
24,0.45721056207614996,1,3,PCA,lorenz
25,0.3039426516101804,1,3,PCA,lorenz
26,0.5028266102011081,1,3,PCA,lorenz
