,coefs,wcomp,n_components,method,dataset
0,0.15665345020703422,1,1,SFA,lorenz
1,0.3368235748017974,1,1,SFA,lorenz
2,0.21178577024382514,1,1,SFA,lorenz
3,0.08382932183657638,1,1,SFA,lorenz
4,0.1234623172098542,1,1,SFA,lorenz
5,0.2575797608049254,1,1,SFA,lorenz
6,0.09349884617821708,1,1,SFA,lorenz
7,0.12818858806051148,1,1,SFA,lorenz
8,0.45456778068433606,1,1,SFA,lorenz
9,0.20939753912710504,1,1,SFA,lorenz
10,0.14062886271776703,1,1,SFA,lorenz
11,0.1040841263776773,1,1,SFA,lorenz
12,0.08583284086548784,1,1,SFA,lorenz
13,0.12317483217596986,1,1,SFA,lorenz
14,0.3881138033681509,1,1,SFA,lorenz
15,0.40346952020202026,1,1,SFA,lorenz
16,0.17286197796026997,1,1,SFA,lorenz
17,0.7536696420608932,1,1,SFA,lorenz
18,0.14703229464158338,1,1,SFA,lorenz
19,0.13408329394045465,1,1,SFA,lorenz
20,0.25544225529917153,1,1,SFA,lorenz
21,0.18740963816731307,1,1,SFA,lorenz
22,0.11743623155480097,1,1,SFA,lorenz
23,0.29946504623642156,1,1,SFA,lorenz
24,0.3082222721580079,1,1,SFA,lorenz
25,0.10894347283869492,1,1,SFA,lorenz
26,0.2187415511806246,1,1,SFA,lorenz
27,0.14118364214387866,1,1,SFA,lorenz
28,0.2586428951876071,1,1,SFA,lorenz
29,0.10047979443768437,1,1,SFA,lorenz
30,0.17363549105886827,1,1,SFA,lorenz
31,0.09599894397527196,1,1,SFA,lorenz
32,0.8343827906557634,1,1,SFA,lorenz
33,0.12625366879847683,1,1,SFA,lorenz
34,0.17150740562175176,1,1,SFA,lorenz
35,0.09647649684664619,1,1,SFA,lorenz
36,0.13123384792965986,1,1,SFA,lorenz
37,0.09626832138374412,1,1,SFA,lorenz
38,0.4408621329677294,1,1,SFA,lorenz
39,0.12450379626137324,1,1,SFA,lorenz
40,0.5399934662244026,1,1,SFA,lorenz
41,0.21952053385856587,1,1,SFA,lorenz
42,0.10740640610561597,1,1,SFA,lorenz
43,0.09536869474291323,1,1,SFA,lorenz
44,0.17047758533269522,1,1,SFA,lorenz
45,0.10304933611389216,1,1,SFA,lorenz
46,0.3145992447911096,1,1,SFA,lorenz
47,0.08377150560966606,1,1,SFA,lorenz
48,0.1273223351743338,1,1,SFA,lorenz
49,0.12520589850467265,1,1,SFA,lorenz
0,0.48643954814166435,2,2,SFA,lorenz
1,0.3368235748017974,1,2,SFA,lorenz
2,0.24779910096787663,2,2,SFA,lorenz
3,0.26358755195234856,2,2,SFA,lorenz
4,0.8729873980724725,2,2,SFA,lorenz
5,0.3067680278419462,2,2,SFA,lorenz
6,0.3016322246319997,2,2,SFA,lorenz
7,0.20476199063706024,2,2,SFA,lorenz
8,0.6538962344609635,2,2,SFA,lorenz
9,0.6728538408321425,2,2,SFA,lorenz
