data_id,r,method,dataset
0,0.8223543705895495,CCA,lorenz
1,0.7620202997979085,CCA,lorenz
2,0.7035233288822578,CCA,lorenz
3,0.7792398867080879,CCA,lorenz
4,0.9198097919680908,CCA,lorenz
5,0.8776736387789001,CCA,lorenz
6,0.7810089308078283,CCA,lorenz
7,0.8802929361553367,CCA,lorenz
8,0.8966866111538407,CCA,lorenz
9,0.882455116902112,CCA,lorenz
10,0.6209296727612226,CCA,lorenz
11,0.8964835138071796,CCA,lorenz
12,0.8792743553529336,CCA,lorenz
13,0.8514817527436112,CCA,lorenz
14,0.8895075993319916,CCA,lorenz
15,0.8145587227810159,CCA,lorenz
16,0.8693341040716296,CCA,lorenz
17,0.8791344527539235,CCA,lorenz
18,0.8289327265767465,CCA,lorenz
19,0.8424012698935226,CCA,lorenz
20,0.7300870698326152,CCA,lorenz
21,0.685749482407255,CCA,lorenz
22,0.7751759023514324,CCA,lorenz
23,0.9072365090162917,CCA,lorenz
24,0.8572654723123803,CCA,lorenz
25,0.788405882563453,CCA,lorenz
26,0.8398336025055104,CCA,lorenz
27,0.8502144859907441,CCA,lorenz
28,0.8162493210251167,CCA,lorenz
29,0.8652327832379549,CCA,lorenz
30,0.8734981976711209,CCA,lorenz
31,0.40462438349328966,CCA,lorenz
32,0.8748949963105056,CCA,lorenz
33,0.8908352725355051,CCA,lorenz
34,0.8454412880685047,CCA,lorenz
35,0.89277759209726,CCA,lorenz
36,0.8886960003417554,CCA,lorenz
37,0.830866342831712,CCA,lorenz
38,0.8122623394066621,CCA,lorenz
39,0.792354872777947,CCA,lorenz
40,0.9066980210039957,CCA,lorenz
41,0.8427977213499083,CCA,lorenz
42,0.761891877879576,CCA,lorenz
43,0.8159661103839211,CCA,lorenz
44,0.8221620457016355,CCA,lorenz
45,0.7450097901444788,CCA,lorenz
46,0.8523814095430161,CCA,lorenz
47,0.7481278209274569,CCA,lorenz
48,0.9153735193838504,CCA,lorenz
49,0.8206028136579925,CCA,lorenz
