data_id,r,method,dataset
0,0.4445344036685075,DCA,lorenz
1,0.28436316882921653,DCA,lorenz
2,0.285567313533035,DCA,lorenz
3,0.19419687846494088,DCA,lorenz
4,0.8203668447937026,DCA,lorenz
5,0.4167998214904434,DCA,lorenz
6,0.32534866240323607,DCA,lorenz
7,0.22837557678576603,DCA,lorenz
8,0.7975171615524038,DCA,lorenz
9,0.6642783886849415,DCA,lorenz
10,0.08800624647427699,DCA,lorenz
11,0.5796633005349383,DCA,lorenz
12,0.3298101937972231,DCA,lorenz
13,0.44938468191145936,DCA,lorenz
14,0.6733309669641829,DCA,lorenz
15,0.7189009834869419,DCA,lorenz
16,0.7745614387576935,DCA,lorenz
17,0.7827577950350764,DCA,lorenz
18,0.3082208763376361,DCA,lorenz
19,0.6860086045781156,DCA,lorenz
20,0.20682721621196568,DCA,lorenz
21,0.2430104717223336,DCA,lorenz
22,0.4065271901348063,DCA,lorenz
23,0.6699231833118661,DCA,lorenz
24,0.43129470375469214,DCA,lorenz
25,0.43520062892706335,DCA,lorenz
26,0.5214216463335122,DCA,lorenz
27,0.7303522734849566,DCA,lorenz
28,0.3974333864975811,DCA,lorenz
29,0.5831660839510928,DCA,lorenz
30,0.712041733558145,DCA,lorenz
31,0.13480513000412103,DCA,lorenz
32,0.6982863485332467,DCA,lorenz
33,0.7723131417876405,DCA,lorenz
34,0.5780460926901196,DCA,lorenz
35,0.7188826867466556,DCA,lorenz
36,0.5488295602039013,DCA,lorenz
37,0.42727440920573123,DCA,lorenz
38,0.4985884197432854,DCA,lorenz
39,0.817420868879045,DCA,lorenz
40,0.5552468016548112,DCA,lorenz
41,0.19816816351502775,DCA,lorenz
42,0.27978369889903065,DCA,lorenz
43,0.8591617203454103,DCA,lorenz
44,0.691198161755742,DCA,lorenz
45,0.24768811505390298,DCA,lorenz
46,0.29659937261274405,DCA,lorenz
47,0.556684413060332,DCA,lorenz
48,0.8993248190310456,DCA,lorenz
49,0.7005755351716115,DCA,lorenz
