data_id,r,method,dataset
0,0.9287862996875853,DCCA,lorenz
1,0.9143665547670099,DCCA,lorenz
2,0.9090985911717626,DCCA,lorenz
3,0.0779464897740873,DCCA,lorenz
4,0.9434004218403729,DCCA,lorenz
5,0.9432485414350857,DCCA,lorenz
6,0.9257448907172421,DCCA,lorenz
7,0.9490674659821919,DCCA,lorenz
8,0.9427425986909167,DCCA,lorenz
9,0.9408722445528771,DCCA,lorenz
10,0.11243562588541019,DCCA,lorenz
11,0.9459185190850062,DCCA,lorenz
12,0.9428388170690606,DCCA,lorenz
13,0.9327733574346392,DCCA,lorenz
14,0.9512326608945836,DCCA,lorenz
15,0.9184854884511017,DCCA,lorenz
16,0.928135372447543,DCCA,lorenz
17,0.9288895854810416,DCCA,lorenz
18,0.925492187069303,DCCA,lorenz
19,0.9305047304409154,DCCA,lorenz
20,0.9107424821383877,DCCA,lorenz
21,0.9117076443771067,DCCA,lorenz
22,0.9096081765623178,DCCA,lorenz
23,0.9517529371259597,DCCA,lorenz
24,0.9313064776476055,DCCA,lorenz
25,0.9136494989415266,DCCA,lorenz
26,0.9253499844002583,DCCA,lorenz
27,0.9240612622151136,DCCA,lorenz
28,0.9239900866946668,DCCA,lorenz
29,0.9378532973758729,DCCA,lorenz
30,0.9325281708194549,DCCA,lorenz
31,0.882781083834568,DCCA,lorenz
32,0.934919840198987,DCCA,lorenz
33,0.9433021039972058,DCCA,lorenz
34,0.9266460544431387,DCCA,lorenz
35,0.9384735446658473,DCCA,lorenz
36,0.9404886405129397,DCCA,lorenz
37,0.9203399637799625,DCCA,lorenz
38,0.9163264655607313,DCCA,lorenz
39,0.9081470582169976,DCCA,lorenz
40,0.9573231552250182,DCCA,lorenz
41,0.9338327256430461,DCCA,lorenz
42,0.2727569627507305,DCCA,lorenz
43,0.9240357385375614,DCCA,lorenz
44,0.8901888579762145,DCCA,lorenz
45,0.9147174786037673,DCCA,lorenz
46,0.9399352394310658,DCCA,lorenz
47,0.9031950312173037,DCCA,lorenz
48,0.9490065634259687,DCCA,lorenz
49,0.9176147625424211,DCCA,lorenz
