data_id,r,method,dataset
0,0.5914677550296334,ICA,lorenz
1,0.4644295471218206,ICA,lorenz
2,0.5089631014250414,ICA,lorenz
3,0.5225326386204685,ICA,lorenz
4,0.7747895983968712,ICA,lorenz
5,0.6755653911453344,ICA,lorenz
6,0.6474323070033251,ICA,lorenz
7,0.6930643522452747,ICA,lorenz
8,0.733529593067122,ICA,lorenz
9,0.6961147074908605,ICA,lorenz
10,0.372301636419705,ICA,lorenz
11,0.6818465800157713,ICA,lorenz
12,0.7528261820171642,ICA,lorenz
13,0.6178488440482013,ICA,lorenz
14,0.811697715232492,ICA,lorenz
15,0.6671793137428192,ICA,lorenz
16,0.6630517079646727,ICA,lorenz
17,0.7031973841722234,ICA,lorenz
18,0.7685130747743267,ICA,lorenz
19,0.6907381798031786,ICA,lorenz
20,0.5179068013280754,ICA,lorenz
21,0.400000076361663,ICA,lorenz
22,0.5245957238442087,ICA,lorenz
23,0.8504228377317467,ICA,lorenz
24,0.6984727920745493,ICA,lorenz
25,0.7181790922550498,ICA,lorenz
26,0.6202057879348788,ICA,lorenz
27,0.7841965635741976,ICA,lorenz
28,0.5287224736797792,ICA,lorenz
29,0.706966299970097,ICA,lorenz
30,0.7011910471982219,ICA,lorenz
31,0.2639261782348693,ICA,lorenz
32,0.7025348834488185,ICA,lorenz
33,0.787085895072861,ICA,lorenz
34,0.6771777656608966,ICA,lorenz
35,0.584930970992282,ICA,lorenz
36,0.7571420506366872,ICA,lorenz
37,0.751329360111683,ICA,lorenz
38,0.5733167712398113,ICA,lorenz
39,0.5852342806984182,ICA,lorenz
40,0.5341503152796088,ICA,lorenz
41,0.6141118478462791,ICA,lorenz
42,0.6208211020363774,ICA,lorenz
43,0.5352693382451068,ICA,lorenz
44,0.8098735577980365,ICA,lorenz
45,0.47696416356818633,ICA,lorenz
46,0.7187207272687567,ICA,lorenz
47,0.6858135099982752,ICA,lorenz
48,0.7161364846347144,ICA,lorenz
49,0.7977637510395182,ICA,lorenz
