data_id,r,method,dataset
0,0.917839137352164,MaCo,lorenz
1,0.9214743127814502,MaCo,lorenz
2,0.8561897932305256,MaCo,lorenz
3,0.8486120505827741,MaCo,lorenz
4,0.9400185715319058,MaCo,lorenz
5,0.955594981971662,MaCo,lorenz
6,0.9336152148015444,MaCo,lorenz
7,0.9612744819469067,MaCo,lorenz
8,0.9256893255184471,MaCo,lorenz
9,0.9357470281713449,MaCo,lorenz
10,0.07216300552153537,MaCo,lorenz
11,0.9456169825474892,MaCo,lorenz
12,0.8998384640380112,MaCo,lorenz
13,0.9307696697387112,MaCo,lorenz
14,0.9301936476926929,MaCo,lorenz
15,0.8965259742884829,MaCo,lorenz
16,0.9152760443330644,MaCo,lorenz
17,0.9465100542609914,MaCo,lorenz
18,0.9409986483966633,MaCo,lorenz
19,0.9296017468812398,MaCo,lorenz
20,0.9122345995616519,MaCo,lorenz
21,0.8754131811674326,MaCo,lorenz
22,0.6808964026092907,MaCo,lorenz
23,0.9522366014594352,MaCo,lorenz
24,0.894880946189895,MaCo,lorenz
25,0.9253487767749351,MaCo,lorenz
26,0.918586233714018,MaCo,lorenz
27,0.939902258667342,MaCo,lorenz
28,0.9103142553852793,MaCo,lorenz
29,0.9246805012140465,MaCo,lorenz
30,0.927336764832168,MaCo,lorenz
31,0.0522205223227178,MaCo,lorenz
32,0.9482555291257505,MaCo,lorenz
33,0.9188779335958942,MaCo,lorenz
34,0.9311031802048416,MaCo,lorenz
35,0.9252987961733133,MaCo,lorenz
36,0.936607627845459,MaCo,lorenz
37,0.9353607926228439,MaCo,lorenz
38,0.9102361830101482,MaCo,lorenz
39,0.8753666457193976,MaCo,lorenz
40,0.9681467493893874,MaCo,lorenz
41,0.9057300521122235,MaCo,lorenz
42,0.9195704634567763,MaCo,lorenz
43,0.9165867088339528,MaCo,lorenz
44,0.16338511817649287,MaCo,lorenz
45,0.8131581719700894,MaCo,lorenz
46,0.937161352415182,MaCo,lorenz
47,0.45322170425000885,MaCo,lorenz
48,0.9354078845135433,MaCo,lorenz
49,0.6997444711402644,MaCo,lorenz
